mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	tempo	qpm	metronome_base	metronome_number	tempo_visible
1	1	0	0	0.0		0	0	Tempo	9/8	1	1	0				𝅘𝅥.=120	180.0	𝅘𝅥.	120.0	0.0
1	1	0	0	0.5		0	0	Chord	9/8	1	1	1/8	1/8	1	0					
1	1	1/2	1/2	0.5		1/8	1/8	Chord	9/8	1	1	1/8	1/8	1	1					
1	1	1	1	0.5		1/4	1/4	Chord	9/8	1	1	1/8	1/8	1	2					
1	1	3/2	3/2	0.5		3/8	3/8	Chord	9/8	1	1	1/8	1/8	1	3					
1	1	2	2	0.5		1/2	1/2	Chord	9/8	1	1	1/8	1/8	1	4					
1	1	5/2	5/2	0.5		5/8	5/8	Chord	9/8	1	1	1/8	1/8	1	5					
1	1	3	3	0.5		3/4	3/4	Chord	9/8	1	1	1/8	1/8	1	6					
1	1	7/2	7/2	0.5		7/8	7/8	Chord	9/8	1	1	1/8	1/8	1	7					
1	1	4	4	0.5		1	1	Chord	9/8	1	1	1/8	1/8	1	8					
2	2	9/2	9/2	0.5		0	0	Chord	9/8	1	1	1/8	1/8	1	9					
2	2	5	5	0.5		1/8	1/8	Chord	9/8	1	1	1/8	1/8	1	10					
2	2	11/2	11/2	0.5		1/4	1/4	Chord	9/8	1	1	1/8	1/8	1	11					
2	2	6	6	0.5		3/8	3/8	Chord	9/8	1	1	1/8	1/8	1	12					
2	2	13/2	13/2	0.5		1/2	1/2	Chord	9/8	1	1	1/8	1/8	1	13					
2	2	7	7	0.5		5/8	5/8	Chord	9/8	1	1	1/8	1/8	1	14					
2	2	15/2	15/2	0.5		3/4	3/4	Chord	9/8	1	1	1/8	1/8	1	15					
2	2	8	8	0.5		7/8	7/8	Chord	9/8	1	1	1/8	1/8	1	16					
2	2	17/2	17/2	0.5		1	1	Chord	9/8	1	1	1/8	1/8	1	17					
3	3	9	9	0.5		0	0	Chord	9/8	1	1	1/8	1/8	1	18					
3	3	19/2	19/2	0.5		1/8	1/8	Chord	9/8	1	1	1/8	1/8	1	19					
3	3	10	10	0.5		1/4	1/4	Chord	9/8	1	1	1/8	1/8	1	20					
3	3	21/2	21/2	0.5		3/8	3/8	Chord	9/8	1	1	1/8	1/8	1	21					
3	3	11	11	0.5		1/2	1/2	Chord	9/8	1	1	1/8	1/8	1	22					
3	3	23/2	23/2	0.5		5/8	5/8	Chord	9/8	1	1	1/8	1/8	1	23					
3	3	12	12	0.5		3/4	3/4	Chord	9/8	1	1	1/8	1/8	1	24					
3	3	25/2	25/2	0.5		7/8	7/8	Chord	9/8	1	1	1/8	1/8	1	25					
3	3	13	13	0.5		1	1	Chord	9/8	1	1	1/8	1/8	1	26					
4	4	27/2	27/2	0.5		0	0	Chord	9/8	1	1	1/8	1/8	1	27					
4	4	14	14	0.5		1/8	1/8	Chord	9/8	1	1	1/8	1/8	1	28					
4	4	29/2	29/2	0.5		1/4	1/4	Chord	9/8	1	1	1/8	1/8	1	29					
4	4	15	15	0.5		3/8	3/8	Chord	9/8	1	1	1/8	1/8	1	30					
4	4	31/2	31/2	0.5		1/2	1/2	Chord	9/8	1	1	1/8	1/8	1	31					
4	4	16	16	0.5		5/8	5/8	Chord	9/8	1	1	1/8	1/8	1	32					
4	4	33/2	33/2	0.5		3/4	3/4	Chord	9/8	1	1	1/8	1/8	1	33					
4	4	17	17	0.5		7/8	7/8	Chord	9/8	1	1	1/8	1/8	1	34					
4	4	35/2	35/2	0.5		1	1	Chord	9/8	1	1	1/8	1/8	1	35					
5	5	18	18	0.5		0	0	Chord	9/8	1	1	1/8	1/8	1	36					
5	5	37/2	37/2	0.5		1/8	1/8	Chord	9/8	1	1	1/8	1/8	1	37					
5	5	19	19	0.5		1/4	1/4	Chord	9/8	1	1	1/8	1/8	1	38					
5	5	39/2	39/2	0.5		3/8	3/8	Chord	9/8	1	1	1/8	1/8	1	39					
5	5	20	20	0.5		1/2	1/2	Chord	9/8	1	1	1/8	1/8	1	40					
5	5	41/2	41/2	0.5		5/8	5/8	Chord	9/8	1	1	1/8	1/8	1	41					
5	5	21	21	0.5		3/4	3/4	Chord	9/8	1	1	1/8	1/8	1	42					
5	5	43/2	43/2	0.5		7/8	7/8	Chord	9/8	1	1	1/8	1/8	1	43					
5	5	22	22	0.5		1	1	Chord	9/8	1	1	1/8	1/8	1	44					
6	6	45/2	45/2	0.5		0	0	Chord	9/8	1	1	1/8	1/8	1	45					
6	6	23	23	0.5		1/8	1/8	Chord	9/8	1	1	1/8	1/8	1	46					
6	6	47/2	47/2	0.5		1/4	1/4	Chord	9/8	1	1	1/8	1/8	1	47					
