mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible
1	1	0	0	0.0	0	0	Tempo	2/2	1	1	0					𝅗𝅥=63	126.0	𝅗𝅥	63.0	0.0
1	1	1/2	1/2	0.5	1/8	1/8	Chord	2/2	1	2	1/8	1/8	1	0						
1	1	1	1	0.5	1/4	1/4	Chord	2/2	1	2	1/8	1/8	1	1						
1	1	3/2	3/2	0.5	3/8	3/8	Chord	2/2	1	2	1/8	1/8	1	2						
1	1	2	2	0.5	1/2	1/2	Chord	2/2	1	2	1/8	1/8	1	3						
1	1	5/2	5/2	0.25	5/8	5/8	Chord	2/2	1	2	1/16	1/16	1	4						
1	1	11/4	11/4	0.25	11/16	11/16	Chord	2/2	1	2	1/16	1/16	1	5						
1	1	3	3	0.5	3/4	3/4	Chord	2/2	1	2	1/8	1/8	1	6						
1	1	7/2	7/2	0.5	7/8	7/8	Chord	2/2	1	2	1/8	1/8	1	7						
2	2	4	4	0.5	0	0	Chord	2/2	1	1	1/8	1/8	1	8						
2	2	5	5	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	9						
2	2	6	6	0.5	1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	10						
2	2	7	7	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	11						
2	2	9/2	9/2	0.5	1/8	1/8	Chord	2/2	1	2	1/8	1/8	1	12						
2	2	5	5	0.5	1/4	1/4	Chord	2/2	1	2	1/8	1/8	1	13						
2	2	11/2	11/2	0.5	3/8	3/8	Chord	2/2	1	2	1/8	1/8	1	14						
2	2	6	6	0.5	1/2	1/2	Chord	2/2	1	2	1/8	1/8	1	15						
2	2	13/2	13/2	0.25	5/8	5/8	Chord	2/2	1	2	1/16	1/16	1	16						
2	2	27/4	27/4	0.25	11/16	11/16	Chord	2/2	1	2	1/16	1/16	1	17						
2	2	7	7	0.5	3/4	3/4	Chord	2/2	1	2	1/8	1/8	1	18						
2	2	15/2	15/2	0.5	7/8	7/8	Chord	2/2	1	2	1/8	1/8	1	19						
3	3	8	8	0.5	0	0	Chord	2/2	1	1	1/8	1/8	1	20						
3	3	17/2	17/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	21						
3	3	9	9	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	22						
3	3	19/2	19/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	23						
3	3	10	10	0.5	1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	24						
3	3	21/2	21/2	0.25	5/8	5/8	Chord	2/2	1	1	1/16	1/16	1	25						
3	3	43/4	43/4	0.25	11/16	11/16	Chord	2/2	1	1	1/16	1/16	1	26						
3	3	11	11	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	27						
3	3	23/2	23/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	28						
3	3	8	8	0.5	0	0	Chord	2/2	1	2	1/8	1/8	1	29						
3	3	9	9	0.5	1/4	1/4	Chord	2/2	1	2	1/8	1/8	1	30						
3	3	10	10	0.5	1/2	1/2	Chord	2/2	1	2	1/8	1/8	1	31						
3	3	11	11	0.5	3/4	3/4	Chord	2/2	1	2	1/8	1/8	1	32						
4	4	12	12	0.5	0	0	Chord	2/2	1	1	1/8	1/8	1	33						
4	4	25/2	25/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	34						
4	4	13	13	0.25	1/4	1/4	Chord	2/2	1	1	1/16	1/16	1	35						
4	4	53/4	53/4	0.25	5/16	5/16	Chord	2/2	1	1	1/16	1/16	1	36						
4	4	27/2	27/2	0.25	3/8	3/8	Chord	2/2	1	1	1/16	1/16	1	37						
4	4	55/4	55/4	0.125	7/16	7/16	Chord	2/2	1	1	1/32	1/32	1	38						
4	4	111/8	111/8	0.125	15/32	15/32	Chord	2/2	1	1	1/32	1/32	1	39						
4	4	14	14	0.5	1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	40						
4	4	29/2	29/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	41						
4	4	15	15	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	42						
4	4	31/2	31/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	43						
4	4	14	14	0.5	1/2	1/2	Chord	2/2	1	2	1/8	1/8	1	44						
4	4	15	15	0.5	3/4	3/4	Chord	2/2	1	2	1/8	1/8	1	45						
5	5	16	16	0.5	0	0	Chord	2/2	1	1	1/8	1/8	1	46						
5	5	33/2	33/2	0.25	1/8	1/8	Chord	2/2	1	1	1/16	1/16	1	47						
5	5	67/4	67/4	0.25	3/16	3/16	Chord	2/2	1	1	1/16	1/16	1	48						
5	5	17	17	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	49						
5	5	35/2	35/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	50						
5	5	18	18	0.5	1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	51						
5	5	37/2	37/2	0.25	5/8	5/8	Chord	2/2	1	1	1/16	1/16	1	52						
5	5	75/4	75/4	0.25	11/16	11/16	Chord	2/2	1	1	1/16	1/16	1	53						
5	5	19	19	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	54						
5	5	39/2	39/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	55						
5	5	16	16	0.5	0	0	Chord	2/2	1	2	1/8	1/8	1	56						
5	5	17	17	0.5	1/4	1/4	Chord	2/2	1	2	1/8	1/8	1	57						
5	5	18	18	0.5	1/2	1/2	Chord	2/2	1	2	1/8	1/8	1	58						
6	6	20	20	0.5	0	0	Chord	2/2	1	1	1/8	1/8	1	59						
6	6	41/2	41/2	0.25	1/8	1/8	Chord	2/2	1	1	1/16	1/16	1	60						
6	6	83/4	83/4	0.25	3/16	3/16	Chord	2/2	1	1	1/16	1/16	1	61						
6	6	21	21	0.25	1/4	1/4	Chord	2/2	1	1	1/16	1/16	1	62						
6	6	85/4	85/4	0.25	5/16	5/16	Chord	2/2	1	1	1/16	1/16	1	63						
6	6	43/2	43/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	64						
6	6	22	22	0.25	1/2	1/2	Chord	2/2	1	1	1/16	1/16	1	65						
6	6	89/4	89/4	0.25	9/16	9/16	Chord	2/2	1	1	1/16	1/16	1	66						
6	6	45/2	45/2	0.25	5/8	5/8	Chord	2/2	1	1	1/16	1/16	1	67						
6	6	91/4	91/4	0.25	11/16	11/16	Chord	2/2	1	1	1/16	1/16	1	68						
6	6	20	20	0.5	0	0	Chord	2/2	1	2	1/8	1/8	1	69						
6	6	22	22	0.25	1/2	1/2	Chord	2/2	1	2	1/16	1/16	1	70						
6	6	23	23	0.25	3/4	3/4	Chord	2/2	1	2	1/16	1/16	1	71						
6	6	93/4	93/4	0.25	13/16	13/16	Chord	2/2	1	2	1/16	1/16	1	72						
6	6	47/2	47/2	0.25	7/8	7/8	Chord	2/2	1	2	1/16	1/16	1	73						
6	6	95/4	95/4	0.25	15/16	15/16	Chord	2/2	1	2	1/16	1/16	1	74						
7	7	24	24	0.25	0	0	Chord	2/2	1	1	1/16	1/16	1	75						
7	7	97/4	97/4	0.25	1/16	1/16	Chord	2/2	1	1	1/16	1/16	1	76						
7	7	49/2	49/2	0.25	1/8	1/8	Chord	2/2	1	1	1/16	1/16	1	77						
7	7	99/4	99/4	0.25	3/16	3/16	Chord	2/2	1	1	1/16	1/16	1	78						
7	7	25	25	0.25	1/4	1/4	Chord	2/2	1	2	1/16	1/16	1	79						
7	7	101/4	101/4	0.25	5/16	5/16	Chord	2/2	1	2	1/16	1/16	1	80						
7	7	51/2	51/2	0.25	3/8	3/8	Chord	2/2	1	2	1/16	1/16	1	81						
7	7	103/4	103/4	0.25	7/16	7/16	Chord	2/2	1	2	1/16	1/16	1	82						
7	7	26	26	0.25	1/2	1/2	Chord	2/2	1	2	1/16	1/16	1	83						
7	7	105/4	105/4	0.25	9/16	9/16	Chord	2/2	1	2	1/16	1/16	1	84						
7	7	53/2	53/2	0.25	5/8	5/8	Chord	2/2	1	2	1/16	1/16	1	85						
7	7	107/4	107/4	0.25	11/16	11/16	Chord	2/2	1	2	1/16	1/16	1	86						
7	7	27	27	0.25	3/4	3/4	Chord	2/2	1	2	1/16	1/16	1	87						
7	7	109/4	109/4	0.25	13/16	13/16	Chord	2/2	1	2	1/16	1/16	1	88						
7	7	55/2	55/2	0.25	7/8	7/8	Chord	2/2	1	2	1/16	1/16	1	89						
7	7	111/4	111/4	0.25	15/16	15/16	Chord	2/2	1	2	1/16	1/16	1	90						
8	8	28	28	0.25	0	0	Chord	2/2	1	2	1/16	1/16	1	91						
8	8	113/4	113/4	0.25	1/16	1/16	Chord	2/2	1	2	1/16	1/16	1	92						
8	8	57/2	57/2	0.25	1/8	1/8	Chord	2/2	1	2	1/16	1/16	1	93						
8	8	115/4	115/4	0.25	3/16	3/16	Chord	2/2	1	2	1/16	1/16	1	94						
8	8	29	29	0.25	1/4	1/4	Chord	2/2	1	2	1/16	1/16	1	95						
8	8	117/4	117/4	0.25	5/16	5/16	Chord	2/2	1	2	1/16	1/16	1	96						
8	8	59/2	59/2	0.25	3/8	3/8	Chord	2/2	1	2	1/16	1/16	1	97						
8	8	119/4	119/4	0.25	7/16	7/16	Chord	2/2	1	2	1/16	1/16	1	98						
8	8	30	30	0.25	1/2	1/2	Chord	2/2	1	2	1/16	1/16	1	99						
8	8	121/4	121/4	0.25	9/16	9/16	Chord	2/2	1	2	1/16	1/16	1	100						
8	8	61/2	61/2	0.25	5/8	5/8	Chord	2/2	1	2	1/16	1/16	1	101						
8	8	123/4	123/4	0.25	11/16	11/16	Chord	2/2	1	2	1/16	1/16	1	102						
8	8	31	31	0.25	3/4	3/4	Chord	2/2	1	2	1/16	1/16	1	103						
8	8	125/4	125/4	0.25	13/16	13/16	Chord	2/2	1	2	1/16	1/16	1	104						
8	8	63/2	63/2	0.25	7/8	7/8	Chord	2/2	1	2	1/16	1/16	1	105						
8	8	127/4	127/4	0.25	15/16	15/16	Chord	2/2	1	2	1/16	1/16	1	106						
9	9	32	32	0.25	0	0	Chord	2/2	1	1	1/16	1/16	1	107						
9	9	129/4	129/4	0.25	1/16	1/16	Chord	2/2	1	1	1/16	1/16	1	108						
9	9	65/2	65/2	0.25	1/8	1/8	Chord	2/2	1	1	1/16	1/16	1	109						
9	9	131/4	131/4	0.25	3/16	3/16	Chord	2/2	1	1	1/16	1/16	1	110						
9	9	33	33	0.25	1/4	1/4	Chord	2/2	1	1	1/16	1/16	1	111						
9	9	133/4	133/4	0.25	5/16	5/16	Chord	2/2	1	1	1/16	1/16	1	112						
9	9	67/2	67/2	0.25	3/8	3/8	Chord	2/2	1	1	1/16	1/16	1	113						
9	9	135/4	135/4	0.25	7/16	7/16	Chord	2/2	1	1	1/16	1/16	1	114						
9	9	34	34	0.25	1/2	1/2	Chord	2/2	1	1	1/16	1/16	1	115						
9	9	137/4	137/4	0.25	9/16	9/16	Chord	2/2	1	1	1/16	1/16	1	116						
9	9	69/2	69/2	0.25	5/8	5/8	Chord	2/2	1	1	1/16	1/16	1	117						
9	9	139/4	139/4	0.25	11/16	11/16	Chord	2/2	1	1	1/16	1/16	1	118						
9	9	35	35	0.25	3/4	3/4	Chord	2/2	1	1	1/16	1/16	1	119						
9	9	141/4	141/4	0.25	13/16	13/16	Chord	2/2	1	1	1/16	1/16	1	120						
9	9	71/2	71/2	0.25	7/8	7/8	Chord	2/2	1	1	1/16	1/16	1	121						
9	9	143/4	143/4	0.25	15/16	15/16	Chord	2/2	1	1	1/16	1/16	1	122						
10	10	38	38	0.25	1/2	1/2	Chord	2/2	1	1	1/16	1/16	1	123						
10	10	153/4	153/4	0.25	9/16	9/16	Chord	2/2	1	1	1/16	1/16	1	124						
10	10	77/2	77/2	0.25	5/8	5/8	Chord	2/2	1	1	1/16	1/16	1	125						
10	10	155/4	155/4	0.25	11/16	11/16	Chord	2/2	1	1	1/16	1/16	1	126						
10	10	39	39	0.25	3/4	3/4	Chord	2/2	1	1	1/16	1/16	1	127						
10	10	157/4	157/4	0.25	13/16	13/16	Chord	2/2	1	1	1/16	1/16	1	128						
10	10	79/2	79/2	0.25	7/8	7/8	Chord	2/2	1	1	1/16	1/16	1	129						
10	10	159/4	159/4	0.25	15/16	15/16	Chord	2/2	1	1	1/16	1/16	1	130						
10	10	36	36	0.25	0	0	Chord	2/2	1	2	1/16	1/16	1	131						
10	10	145/4	145/4	0.25	1/16	1/16	Chord	2/2	1	2	1/16	1/16	1	132						
10	10	73/2	73/2	0.25	1/8	1/8	Chord	2/2	1	2	1/16	1/16	1	133						
10	10	147/4	147/4	0.25	3/16	3/16	Chord	2/2	1	2	1/16	1/16	1	134						
10	10	37	37	0.25	1/4	1/4	Chord	2/2	1	2	1/16	1/16	1	135						
10	10	149/4	149/4	0.25	5/16	5/16	Chord	2/2	1	2	1/16	1/16	1	136						
10	10	75/2	75/2	0.25	3/8	3/8	Chord	2/2	1	2	1/16	1/16	1	137						
10	10	151/4	151/4	0.25	7/16	7/16	Chord	2/2	1	2	1/16	1/16	1	138						
11	11	40	40	0.5	0	0	Chord	2/2	1	1	1/8	1/8	1	139						
11	11	41	41	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	140						
11	11	83/2	83/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	141						
11	11	42	42	0.5	1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	142						
11	11	85/2	85/2	0.25	5/8	5/8	Chord	2/2	1	1	1/16	1/16	1	143						
11	11	171/4	171/4	0.25	11/16	11/16	Chord	2/2	1	1	1/16	1/16	1	144						
11	11	43	43	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	145						
11	11	87/2	87/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	146						
11	11	40	40	0.5	0	0	Chord	2/2	1	2	1/8	1/8	1	147						
11	11	81/2	81/2	0.5	1/8	1/8	Chord	2/2	1	2	1/8	1/8	1	148						
11	11	41	41	0.5	1/4	1/4	Chord	2/2	1	2	1/8	1/8	1	149						
11	11	83/2	83/2	0.5	3/8	3/8	Chord	2/2	1	2	1/8	1/8	1	150						
11	11	42	42	0.5	1/2	1/2	Chord	2/2	1	2	1/8	1/8	1	151						
11	11	43	43	0.5	3/4	3/4	Chord	2/2	1	2	1/8	1/8	1	152						
11	11	87/2	87/2	0.5	7/8	7/8	Chord	2/2	1	2	1/8	1/8	1	153						
12	12	44	44	0.25	0	0	Chord	2/2	1	1	1/16	1/16	1	154						
12	12	177/4	177/4	0.25	1/16	1/16	Chord	2/2	1	1	1/16	1/16	1	155						
12	12	89/2	89/2	0.25	1/8	1/8	Chord	2/2	1	1	1/16	1/16	1	156						
12	12	179/4	179/4	0.25	3/16	3/16	Chord	2/2	1	1	1/16	1/16	1	157						
12	12	45	45	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	158						
12	12	91/2	91/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	159						
12	12	46	46	0.5	1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	160						
12	12	93/2	93/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	161						
12	12	47	47	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	162						
12	12	95/2	95/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	163						
12	12	44	44	0.5	0	0	Chord	2/2	1	2	1/8	1/8	1	164						
12	12	45	45	0.5	1/4	1/4	Chord	2/2	1	2	1/8	1/8	1	165						
12	12	91/2	91/2	0.5	3/8	3/8	Chord	2/2	1	2	1/8	1/8	1	166						
12	12	46	46	0.25	1/2	1/2	Chord	2/2	1	2	1/16	1/16	1	167						
12	12	185/4	185/4	0.25	9/16	9/16	Chord	2/2	1	2	1/16	1/16	1	168						
12	12	93/2	93/2	0.25	5/8	5/8	Chord	2/2	1	2	1/16	1/16	1	169						
12	12	187/4	187/4	0.25	11/16	11/16	Chord	2/2	1	2	1/16	1/16	1	170						
12	12	47	47	0.25	3/4	3/4	Chord	2/2	1	2	1/16	1/16	1	171						
12	12	189/4	189/4	0.25	13/16	13/16	Chord	2/2	1	2	1/16	1/16	1	172						
12	12	95/2	95/2	0.25	7/8	7/8	Chord	2/2	1	2	1/16	1/16	1	173						
12	12	191/4	191/4	0.25	15/16	15/16	Chord	2/2	1	2	1/16	1/16	1	174						
13	13	48	48	0.25	0	0	Chord	2/2	1	1	1/16	1/16	1	175						
13	13	193/4	193/4	0.25	1/16	1/16	Chord	2/2	1	1	1/16	1/16	1	176						
13	13	97/2	97/2	0.25	1/8	1/8	Chord	2/2	1	1	1/16	1/16	1	177						
13	13	195/4	195/4	0.25	3/16	3/16	Chord	2/2	1	1	1/16	1/16	1	178						
13	13	49	49	0.25	1/4	1/4	Chord	2/2	1	1	1/16	1/16	1	179						
13	13	197/4	197/4	0.25	5/16	5/16	Chord	2/2	1	1	1/16	1/16	1	180						
13	13	99/2	99/2	0.25	3/8	3/8	Chord	2/2	1	1	1/16	1/16	1	181						
13	13	199/4	199/4	0.25	7/16	7/16	Chord	2/2	1	1	1/16	1/16	1	182						
13	13	50	50	0.25	1/2	1/2	Chord	2/2	1	1	1/16	1/16	1	183						
13	13	201/4	201/4	0.25	9/16	9/16	Chord	2/2	1	1	1/16	1/16	1	184						
13	13	101/2	101/2	0.25	5/8	5/8	Chord	2/2	1	1	1/16	1/16	1	185						
13	13	203/4	203/4	0.25	11/16	11/16	Chord	2/2	1	1	1/16	1/16	1	186						
13	13	51	51	0.25	3/4	3/4	Chord	2/2	1	1	1/16	1/16	1	187						
13	13	205/4	205/4	0.25	13/16	13/16	Chord	2/2	1	1	1/16	1/16	1	188						
13	13	103/2	103/2	0.25	7/8	7/8	Chord	2/2	1	1	1/16	1/16	1	189						
13	13	207/4	207/4	0.25	15/16	15/16	Chord	2/2	1	1	1/16	1/16	1	190						
13	13	48	48	0.5	0	0	Chord	2/2	1	2	1/8	1/8	1	191						
14	14	52	52	0.5	0	0	Chord	2/2	1	2	1/8	1/8	1	192						
14	14	105/2	105/2	0.5	1/8	1/8	Chord	2/2	1	2	1/8	1/8	1	193						
14	14	53	53	0.5	1/4	1/4	Chord	2/2	1	2	1/8	1/8	1	194						
14	14	107/2	107/2	0.5	3/8	3/8	Chord	2/2	1	2	1/8	1/8	1	195						
14	14	54	54	0.5	1/2	1/2	Chord	2/2	1	2	1/8	1/8	1	196						
14	14	109/2	109/2	0.25	5/8	5/8	Chord	2/2	1	2	1/16	1/16	1	197						
14	14	219/4	219/4	0.25	11/16	11/16	Chord	2/2	1	2	1/16	1/16	1	198						
14	14	55	55	0.5	3/4	3/4	Chord	2/2	1	2	1/8	1/8	1	199						
