mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	1	0	0	0.0	0	0	Tempo	3/4	1	1	0					𝅘𝅥=60	60.0	𝅘𝅥	60.0	0.0	
1	1	0	0	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	0							
1	1	1	1	0.75	1/4	1/4	Chord	3/4	1	1	3/16	1/8	3/2	1							
1	1	7/4	7/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	2							
1	1	2	2	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	3							
1	1	0	0	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	4							
1	1	1	1	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	5							
1	1	0	0	1.0	0	0	Chord	3/4	1	3	1/4	1/4	1	6							
1	1	0	0	1.0	0	0	Chord	3/4	1	4	1/4	1/4	1	7							
2	2	3	3	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	8							
2	2	4	4	0.75	1/4	1/4	Chord	3/4	1	1	3/16	1/8	3/2	9							
2	2	19/4	19/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	10							
2	2	5	5	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	11							
2	2	3	3	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	12							
2	2	4	4	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	13							
2	2	3	3	1.0	0	0	Chord	3/4	1	3	1/4	1/4	1	14							
2	2	3	3	1.0	0	0	Chord	3/4	1	4	1/4	1/4	1	15							
3	3	6	6	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	16							
3	3	13/2	13/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	17							0
3	3	27/4	27/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	18							
3	3	7	7	0.75	1/4	1/4	Chord	3/4	1	1	3/16	1/8	3/2	19							
3	3	31/4	31/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	20							
3	3	8	8	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	21							
3	3	17/2	17/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	22							
3	3	6	6	0.5	0	0	Chord	3/4	1	2	1/8	1/8	1	23							
3	3	7	7	0.5	1/4	1/4	Chord	3/4	1	2	1/8	1/8	1	24							
3	3	7	7	0.5	1/4	1/4	Chord	3/4	1	3	1/8	1/8	1	25							
