mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	1	1/2	1/2	0.0	1/8	1/8	Tempo	2/4	1	1	0						𝅘𝅥=100	100.0	𝅘𝅥	100.0	0.0	
1	1	1/2	1/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	0								
1	1	3/4	3/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	1								
1	1	1	1	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	2								
1	1	3/2	3/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	3								
2	2	2	2	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	4								
2	2	5/2	5/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	5								
2	2	3	3	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	6								
2	2	7/2	7/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	7								
3	3	4	4	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	8								
3	3	9/2	9/2	0.25	1/8	1/8	Chord	2/4	1	2	1/16	1/16	1	9								
3	3	19/4	19/4	0.25	3/16	3/16	Chord	2/4	1	2	1/16	1/16	1	10								
3	3	5	5	0.5	1/4	1/4	Chord	2/4	1	2	1/8	1/8	1	11								
3	3	11/2	11/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8	1/8	1	12								
4	4	13/2	13/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	13								
4	4	7	7	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	14								
4	4	15/2	15/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	15								
4	4	6	6	0.5	0	0	Chord	2/4	1	2	1/8	1/8	1	16								
4	4	13/2	13/2	0.5	1/8	1/8	Chord	2/4	1	2	1/8	1/8	1	17								
4	4	7	7	0.5	1/4	1/4	Chord	2/4	1	2	1/8	1/8	1	18								
4	4	15/2	15/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8	1/8	1	19								
5	5	8	8	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	20								
5	5	17/2	17/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	21								
5	5	35/4	35/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	22								
5	5	9	9	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	23								
5	5	19/2	19/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	24								
5	5	8	8	1.0	0	0	Chord	2/4	1	2	1/4	1/4	1	25								
5	5	9	9	1.0	1/4	1/4	Chord	2/4	1	2	1/4	1/4	1	26								
6	6	10	10	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	27								
6	6	21/2	21/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	28								
6	6	43/4	43/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	29								
6	6	11	11	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	30								
6	6	23/2	23/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	31								
6	6	10	10	1.0	0	0	Chord	2/4	1	2	1/4	1/4	1	32								
6	6	11	11	1.0	1/4	1/4	Chord	2/4	1	2	1/4	1/4	1	33								
7	7	25/2	25/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	34								
7	7	51/4	51/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	35								
7	7	13	13	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	36								
7	7	27/2	27/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	37								
7	7	12	12	1.0	0	0	Chord	2/4	1	2	1/4	1/4	1	38								
7	7	27/2	27/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8	1/8	1	39								
8	8	14	14	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	40								
8	8	29/2	29/2	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	41								
8	8	15	15	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	42								
8	8	31/2	31/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	43								
8	8	14	14	1.0	0	0	Chord	2/4	1	2	1/4	1/4	1	44								
8	8	15	15	1.0	1/4	1/4	Chord	2/4	1	2	1/4	1/4	1	45								
8	8	14	14	1.0	0	0	Chord	2/4	1	3	1/4	1/4	1	46								
8	8	15	15	1.0	1/4	1/4	Chord	2/4	1	3	1/4	1/4	1	47								
9	9	16	16	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	48								
9	9	35/2	35/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	49								
9	9	16	16	1.0	0	0	Chord	2/4	1	2	1/4	1/4	1	50								
9	9	35/2	35/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8	1/8	1	51								
9	9	16	16	0.5	0	0	Chord	2/4	1	3	1/8	1/8	1	52								
9	9	33/2	33/2	0.25	1/8	1/8	Chord	2/4	1	3	1/16	1/16	1	53								
9	9	67/4	67/4	0.25	3/16	3/16	Chord	2/4	1	3	1/16	1/16	1	54								
9	9	17	17	0.5	1/4	1/4	Chord	2/4	1	3	1/8	1/8	1	55								
9	9	35/2	35/2	0.5	3/8	3/8	Chord	2/4	1	3	1/8	1/8	1	56								
10	10	18	18	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	57								
10	10	37/2	37/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	58								
10	10	75/4	75/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	59								
10	10	19	19	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	60								
10	10	39/2	39/2	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	61								
10	10	18	18	1.0	0	0	Chord	2/4	1	2	1/4	1/4	1	62								
10	10	39/2	39/2	0.5	3/8	3/8	Chord	2/4	1	2	1/8	1/8	1	63								
10	10	18	18	1.0	0	0	Chord	2/4	1	3	1/4	1/4	1	64								
