mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
5	4	13	13	1.0	0	0	Chord	2/2	1	1	1/4	1/4	1	23								
5	4	14	14	1.0	1/4	1/4	Chord	2/2	1	1	1/4	1/4	1	24								
5	4	15	15	1.0	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	25								
5	4	16	16	0.25	3/4	3/4	Chord	2/2	1	1	1/16	1/16	1	26								2
5	4	65/4	65/4	0.25	13/16	13/16	Chord	2/2	1	1	1/16	1/16	1	27								2
5	4	33/2	33/2	0.25	7/8	7/8	Chord	2/2	1	1	1/16	1/16	1	28								2
5	4	67/4	67/4	0.25	15/16	15/16	Chord	2/2	1	1	1/16	1/16	1	29								
6	5	17	17	1.0	0	0	Chord	2/2	1	1	1/4	1/4	1	30								
6	5	18	18	0.25	1/4	1/4	Chord	2/2	1	1	1/16	1/16	1	31								3
6	5	73/4	73/4	0.25	5/16	5/16	Chord	2/2	1	1	1/16	1/16	1	32								3
6	5	37/2	37/2	0.25	3/8	3/8	Chord	2/2	1	1	1/16	1/16	1	33								3
6	5	75/4	75/4	0.25	7/16	7/16	Chord	2/2	1	1	1/16	1/16	1	34								
6	5	19	19	1.0	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	35								
6	5	20	20	1.0	3/4	3/4	Chord	2/2	1	1	1/4	1/4	1	36								
7	6	21	21	0.5	0	0	Chord	2/2	1	1	1/8	1/8	1	37								4
7	6	43/2	43/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	38								
7	6	22	22	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	39								5
7	6	45/2	45/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	40								
7	6	23	23	1.0	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	41								
7	6	24	24	0.25	3/4	3/4	Chord	2/2	1	1	1/16	1/16	1	42								6
7	6	97/4	97/4	0.25	13/16	13/16	Chord	2/2	1	1	1/16	1/16	1	43								6
7	6	49/2	49/2	0.25	7/8	7/8	Chord	2/2	1	1	1/16	1/16	1	44								6
7	6	99/4	99/4	0.25	15/16	15/16	Chord	2/2	1	1	1/16	1/16	1	45								
8	7	25	25	1.0	0	0	Chord	2/2	1	1	1/4	1/4	1	46								
8	7	26	26	0.25	1/4	1/4	Chord	2/2	1	1	1/16	1/16	1	47								7
8	7	105/4	105/4	0.25	5/16	5/16	Chord	2/2	1	1	1/16	1/16	1	48								7
8	7	53/2	53/2	0.25	3/8	3/8	Chord	2/2	1	1	1/16	1/16	1	49								7
8	7	107/4	107/4	0.25	7/16	7/16	Chord	2/2	1	1	1/16	1/16	1	50								
8	7	27	27	1.0	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	51								
8	7	28	28	1.0	3/4	3/4	Chord	2/2	1	1	1/4	1/4	1	52								
9	8	29	29	0.5	0	0	Chord	2/2	1	1	1/8	1/8	1	53								8
9	8	59/2	59/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	54								
9	8	30	30	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	55								9
9	8	61/2	61/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	56								
9	8	31	31	1.0	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	57								
9	8	32	32	0.25	3/4	3/4	Chord	2/2	1	1	1/16	1/16	1	58								10
9	8	129/4	129/4	0.25	13/16	13/16	Chord	2/2	1	1	1/16	1/16	1	59								10
9	8	65/2	65/2	0.25	7/8	7/8	Chord	2/2	1	1	1/16	1/16	1	60								10
9	8	131/4	131/4	0.25	15/16	15/16	Chord	2/2	1	1	1/16	1/16	1	61								
10	9	33	33	1.0	0	0	Chord	2/2	1	1	1/4	1/4	1	62								
10	9	34	34	0.25	1/4	1/4	Chord	2/2	1	1	1/16	1/16	1	63								11
10	9	137/4	137/4	0.25	5/16	5/16	Chord	2/2	1	1	1/16	1/16	1	64								11
10	9	69/2	69/2	0.25	3/8	3/8	Chord	2/2	1	1	1/16	1/16	1	65								11
10	9	139/4	139/4	0.25	7/16	7/16	Chord	2/2	1	1	1/16	1/16	1	66								
10	9	35	35	1.0	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	67								
10	9	36	36	0.25	3/4	3/4	Chord	2/2	1	1	1/16	1/16	1	68								12
10	9	145/4	145/4	0.25	13/16	13/16	Chord	2/2	1	1	1/16	1/16	1	69								12
10	9	73/2	73/2	0.25	7/8	7/8	Chord	2/2	1	1	1/16	1/16	1	70								12
10	9	147/4	147/4	0.25	15/16	15/16	Chord	2/2	1	1	1/16	1/16	1	71								
11	10	37	37	1.0	0	0	Chord	2/2	1	1	1/4	1/4	1	72								
11	10	38	38	0.25	1/4	1/4	Chord	2/2	1	1	1/16	1/16	1	73								13
11	10	153/4	153/4	0.25	5/16	5/16	Chord	2/2	1	1	1/16	1/16	1	74								13
11	10	77/2	77/2	0.25	3/8	3/8	Chord	2/2	1	1	1/16	1/16	1	75								13
11	10	155/4	155/4	0.25	7/16	7/16	Chord	2/2	1	1	1/16	1/16	1	76								
11	10	39	39	1.0	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	77								
11	10	40	40	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	78								
11	10	81/2	81/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	79								
12	11	41	41	0.5	0	0	Chord	2/2	1	1	1/8	1/8	1	80								
12	11	83/2	83/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	81								
12	11	42	42	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	82								
12	11	85/2	85/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	83								
12	11	43	43	0.5	1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	84								
12	11	87/2	87/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	85								
12	11	44	44	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	86								
12	11	89/2	89/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	87								
13	12	45	45	1.0	0	0	Chord	2/2	1	1	1/4	1/4	1	88								
13	12	46	46	1.0	1/4	1/4	Chord	2/2	1	1	1/4	1/4	1	89								
13	12	47	47	1.0	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	90								
13	12	48	48	0.25	3/4	3/4	Chord	2/2	1	1	1/16	1/16	1	91								14
13	12	193/4	193/4	0.25	13/16	13/16	Chord	2/2	1	1	1/16	1/16	1	92								14
13	12	97/2	97/2	0.25	7/8	7/8	Chord	2/2	1	1	1/16	1/16	1	93								14
13	12	195/4	195/4	0.25	15/16	15/16	Chord	2/2	1	1	1/16	1/16	1	94								
14	13	49	49	1.0	0	0	Chord	2/2	1	1	1/4	1/4	1	95								
14	13	50	50	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	96								
14	13	101/2	101/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	97								
14	13	51	51	1.0	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	98								
14	13	52	52	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	99								
14	13	105/2	105/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	100								
15	14	53	53	1.0	0	0	Chord	2/2	1	1	1/4	1/4	1	101								
15	14	54	54	1.0	1/4	1/4	Chord	2/2	1	1	1/4	1/4	1	102								
15	14	55	55	1.0	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	103								
15	14	56	56	0.25	3/4	3/4	Chord	2/2	1	1	1/16	1/16	1	104								15
15	14	225/4	225/4	0.25	13/16	13/16	Chord	2/2	1	1	1/16	1/16	1	105								15
15	14	113/2	113/2	0.25	7/8	7/8	Chord	2/2	1	1	1/16	1/16	1	106								15
15	14	227/4	227/4	0.25	15/16	15/16	Chord	2/2	1	1	1/16	1/16	1	107								
16	15	57	57	1.0	0	0	Chord	2/2	1	1	1/4	1/4	1	108								
16	15	58	58	0.25	1/4	1/4	Chord	2/2	1	1	1/16	1/16	1	109								16
16	15	233/4	233/4	0.25	5/16	5/16	Chord	2/2	1	1	1/16	1/16	1	110								16
16	15	117/2	117/2	0.25	3/8	3/8	Chord	2/2	1	1	1/16	1/16	1	111								16
16	15	235/4	235/4	0.25	7/16	7/16	Chord	2/2	1	1	1/16	1/16	1	112								
16	15	59	59	1.0	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	113								
16	15	60	60	0.25	3/4	3/4	Chord	2/2	1	1	1/16	1/16	1	114								17
16	15	241/4	241/4	0.25	13/16	13/16	Chord	2/2	1	1	1/16	1/16	1	115								17
16	15	121/2	121/2	0.25	7/8	7/8	Chord	2/2	1	1	1/16	1/16	1	116								17
16	15	243/4	243/4	0.25	15/16	15/16	Chord	2/2	1	1	1/16	1/16	1	117								
17	16	61	61	0.5	0	0	Chord	2/2	1	1	1/8	1/8	1	118								
17	16	123/2	123/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	119								
17	16	62	62	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	120								
17	16	125/2	125/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	121								
17	16	63	63	1.0	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	122								
17	16	64	64	0.25	3/4	3/4	Chord	2/2	1	1	1/16	1/16	1	123								18
17	16	257/4	257/4	0.25	13/16	13/16	Chord	2/2	1	1	1/16	1/16	1	124								18
17	16	129/2	129/2	0.25	7/8	7/8	Chord	2/2	1	1	1/16	1/16	1	125								18
17	16	259/4	259/4	0.25	15/16	15/16	Chord	2/2	1	1	1/16	1/16	1	126								
18	17	65	65	1.0	0	0	Chord	2/2	1	1	1/4	1/4	1	127								
18	17	66	66	0.25	1/4	1/4	Chord	2/2	1	1	1/16	1/16	1	128								19
18	17	265/4	265/4	0.25	5/16	5/16	Chord	2/2	1	1	1/16	1/16	1	129								19
18	17	133/2	133/2	0.25	3/8	3/8	Chord	2/2	1	1	1/16	1/16	1	130								19
18	17	267/4	267/4	0.25	7/16	7/16	Chord	2/2	1	1	1/16	1/16	1	131								
18	17	67	67	1.0	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	132								
18	17	68	68	0.25	3/4	3/4	Chord	2/2	1	1	1/16	1/16	1	133								20
18	17	273/4	273/4	0.25	13/16	13/16	Chord	2/2	1	1	1/16	1/16	1	134								20
18	17	137/2	137/2	0.25	7/8	7/8	Chord	2/2	1	1	1/16	1/16	1	135								20
18	17	275/4	275/4	0.25	15/16	15/16	Chord	2/2	1	1	1/16	1/16	1	136								
19	18	69	69	1.0	0	0	Chord	2/2	1	1	1/4	1/4	1	137								
19	18	70	70	0.25	1/4	1/4	Chord	2/2	1	1	1/16	1/16	1	138								21
19	18	281/4	281/4	0.25	5/16	5/16	Chord	2/2	1	1	1/16	1/16	1	139								21
19	18	141/2	141/2	0.25	3/8	3/8	Chord	2/2	1	1	1/16	1/16	1	140								21
19	18	283/4	283/4	0.25	7/16	7/16	Chord	2/2	1	1	1/16	1/16	1	141								
19	18	71	71	1.0	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	142								
19	18	72	72	0.25	3/4	3/4	Chord	2/2	1	1	1/16	1/16	1	143								22
19	18	289/4	289/4	0.25	13/16	13/16	Chord	2/2	1	1	1/16	1/16	1	144								22
19	18	145/2	145/2	0.25	7/8	7/8	Chord	2/2	1	1	1/16	1/16	1	145								22
19	18	291/4	291/4	0.25	15/16	15/16	Chord	2/2	1	1	1/16	1/16	1	146								
20	19	73	73	1.0	0	0	Chord	2/2	1	1	1/4	1/4	1	147								
20	19	74	74	0.25	1/4	1/4	Chord	2/2	1	1	1/16	1/16	1	148								23
20	19	297/4	297/4	0.25	5/16	5/16	Chord	2/2	1	1	1/16	1/16	1	149								23
20	19	149/2	149/2	0.25	3/8	3/8	Chord	2/2	1	1	1/16	1/16	1	150								23
20	19	299/4	299/4	0.25	7/16	7/16	Chord	2/2	1	1	1/16	1/16	1	151								
20	19	75	75	1.0	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	152								
20	19	76	76	0.25	3/4	3/4	Chord	2/2	1	1	1/16	1/16	1	153								24
20	19	305/4	305/4	0.25	13/16	13/16	Chord	2/2	1	1	1/16	1/16	1	154								24
20	19	153/2	153/2	0.25	7/8	7/8	Chord	2/2	1	1	1/16	1/16	1	155								24
20	19	307/4	307/4	0.25	15/16	15/16	Chord	2/2	1	1	1/16	1/16	1	156								
21	20	77	77	1.0	0	0	Chord	2/2	1	1	1/4	1/4	1	157								
21	20	78	78	0.25	1/4	1/4	Chord	2/2	1	1	1/16	1/16	1	158								25
21	20	313/4	313/4	0.25	5/16	5/16	Chord	2/2	1	1	1/16	1/16	1	159								25
21	20	157/2	157/2	0.25	3/8	3/8	Chord	2/2	1	1	1/16	1/16	1	160								25
21	20	315/4	315/4	0.25	7/16	7/16	Chord	2/2	1	1	1/16	1/16	1	161								
21	20	79	79	1.0	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	162								
21	20	80	80	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	163								
21	20	161/2	161/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	164								
22	21	81	81	0.5	0	0	Chord	2/2	1	1	1/8	1/8	1	165								
22	21	163/2	163/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	166								
22	21	82	82	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	167								
22	21	165/2	165/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	168								
22	21	83	83	0.5	1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	169								
22	21	167/2	167/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	170								
22	21	84	84	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	171								
22	21	169/2	169/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	172								
23	22	85	85	1.0	0	0	Chord	2/2	1	1	1/4	1/4	1	173								
23	22	86	86	1.0	1/4	1/4	Chord	2/2	1	1	1/4	1/4	1	174								
23	22	87	87	1.0	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	175								
23	22	88	88	0.25	3/4	3/4	Chord	2/2	1	1	1/16	1/16	1	176								26
23	22	353/4	353/4	0.25	13/16	13/16	Chord	2/2	1	1	1/16	1/16	1	177								26
23	22	177/2	177/2	0.25	7/8	7/8	Chord	2/2	1	1	1/16	1/16	1	178								26
23	22	355/4	355/4	0.25	15/16	15/16	Chord	2/2	1	1	1/16	1/16	1	179								
24	23	89	89	1.0	0	0	Chord	2/2	1	1	1/4	1/4	1	180								
24	23	90	90	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	181								
24	23	181/2	181/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	182								
24	23	91	91	1.0	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	183								
24	23	92	92	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	184								
24	23	185/2	185/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	185								
25	24	93	93	0.5	0	0	Chord	2/2	1	1	1/8	1/8	1	186								27
25	24	187/2	187/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	187								27
25	24	94	94	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	188								27
25	24	189/2	189/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	189								
25	24	95	95	0.5	1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	190								28
25	24	191/2	191/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	191								28
25	24	96	96	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	192								28
25	24	193/2	193/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	193								
26	25	97	97	1.0	0	0	Chord	2/2	1	1	1/4	1/4	1	194								
26	25	98	98	0.25	1/4	1/4	Chord	2/2	1	1	1/16	1/16	1	195								29
26	25	393/4	393/4	0.25	5/16	5/16	Chord	2/2	1	1	1/16	1/16	1	196								29
26	25	197/2	197/2	0.25	3/8	3/8	Chord	2/2	1	1	1/16	1/16	1	197								29
26	25	395/4	395/4	0.25	7/16	7/16	Chord	2/2	1	1	1/16	1/16	1	198								
26	25	99	99	1.0	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	199								
26	25	100	100	1.0	3/4	3/4	Chord	2/2	1	1	1/4	1/4	1	200								
27	26	101	101	0.5	0	0	Chord	2/2	1	1	1/8	1/8	1	201								30
27	26	203/2	203/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	202								
27	26	102	102	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	203								31
27	26	205/2	205/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	204								
27	26	103	103	1.0	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	205								
27	26	104	104	0.25	3/4	3/4	Chord	2/2	1	1	1/16	1/16	1	206								32
27	26	417/4	417/4	0.25	13/16	13/16	Chord	2/2	1	1	1/16	1/16	1	207								32
27	26	209/2	209/2	0.25	7/8	7/8	Chord	2/2	1	1	1/16	1/16	1	208								32
27	26	419/4	419/4	0.25	15/16	15/16	Chord	2/2	1	1	1/16	1/16	1	209								
28	27	105	105	1.0	0	0	Chord	2/2	1	1	1/4	1/4	1	210								
28	27	106	106	0.25	1/4	1/4	Chord	2/2	1	1	1/16	1/16	1	211								33
28	27	425/4	425/4	0.25	5/16	5/16	Chord	2/2	1	1	1/16	1/16	1	212								33
28	27	213/2	213/2	0.25	3/8	3/8	Chord	2/2	1	1	1/16	1/16	1	213								33
28	27	427/4	427/4	0.25	7/16	7/16	Chord	2/2	1	1	1/16	1/16	1	214								
28	27	107	107	1.0	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	215								
28	27	108	108	0.25	3/4	3/4	Chord	2/2	1	1	1/16	1/16	1	216								34
28	27	433/4	433/4	0.25	13/16	13/16	Chord	2/2	1	1	1/16	1/16	1	217								34
28	27	217/2	217/2	0.25	7/8	7/8	Chord	2/2	1	1	1/16	1/16	1	218								34
28	27	435/4	435/4	0.25	15/16	15/16	Chord	2/2	1	1	1/16	1/16	1	219								
29	28	109	109	1.0	0	0	Chord	2/2	1	1	1/4	1/4	1	220								
29	28	110	110	0.25	1/4	1/4	Chord	2/2	1	1	1/16	1/16	1	221								35
29	28	441/4	441/4	0.25	5/16	5/16	Chord	2/2	1	1	1/16	1/16	1	222								35
29	28	221/2	221/2	0.25	3/8	3/8	Chord	2/2	1	1	1/16	1/16	1	223								35
29	28	443/4	443/4	0.25	7/16	7/16	Chord	2/2	1	1	1/16	1/16	1	224								
29	28	111	111	1.0	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	225								
29	28	112	112	0.25	3/4	3/4	Chord	2/2	1	1	1/16	1/16	1	226								36
29	28	449/4	449/4	0.25	13/16	13/16	Chord	2/2	1	1	1/16	1/16	1	227								36
29	28	225/2	225/2	0.25	7/8	7/8	Chord	2/2	1	1	1/16	1/16	1	228								36
29	28	451/4	451/4	0.25	15/16	15/16	Chord	2/2	1	1	1/16	1/16	1	229								
30	29	113	113	1.0	0	0	Chord	2/2	1	1	1/4	1/4	1	230								
30	29	114	114	0.25	1/4	1/4	Chord	2/2	1	1	1/16	1/16	1	231								37
30	29	457/4	457/4	0.25	5/16	5/16	Chord	2/2	1	1	1/16	1/16	1	232								37
30	29	229/2	229/2	0.25	3/8	3/8	Chord	2/2	1	1	1/16	1/16	1	233								37
30	29	459/4	459/4	0.25	7/16	7/16	Chord	2/2	1	1	1/16	1/16	1	234								
30	29	115	115	1.0	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	235								
30	29	116	116	0.25	3/4	3/4	Chord	2/2	1	1	1/16	1/16	1	236								38
30	29	465/4	465/4	0.25	13/16	13/16	Chord	2/2	1	1	1/16	1/16	1	237								38
30	29	233/2	233/2	0.25	7/8	7/8	Chord	2/2	1	1	1/16	1/16	1	238								38
30	29	467/4	467/4	0.25	15/16	15/16	Chord	2/2	1	1	1/16	1/16	1	239								
31	30	117	117	1.0	0	0	Chord	2/2	1	1	1/4	1/4	1	240								
31	30	118	118	0.25	1/4	1/4	Chord	2/2	1	1	1/16	1/16	1	241								39
31	30	473/4	473/4	0.25	5/16	5/16	Chord	2/2	1	1	1/16	1/16	1	242								39
31	30	237/2	237/2	0.25	3/8	3/8	Chord	2/2	1	1	1/16	1/16	1	243								39
31	30	475/4	475/4	0.25	7/16	7/16	Chord	2/2	1	1	1/16	1/16	1	244								
31	30	119	119	1.0	1/2	1/2	Chord	2/2	1	1	1/4	1/4	1	245								
31	30	120	120	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	246								
31	30	241/2	241/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	247								
32	31	121	121	0.5	0	0	Chord	2/2	1	1	1/8	1/8	1	248								40
32	31	243/2	243/2	0.5	1/8	1/8	Chord	2/2	1	1	1/8	1/8	1	249								
32	31	122	122	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	250								41
32	31	245/2	245/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	251								
32	31	123	123	0.5	1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	252								
32	31	247/2	247/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	253								
32	31	124	124	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	254								
32	31	249/2	249/2	0.25	7/8	7/8	Chord	2/2	1	1	1/16	1/16	1	255								
32	31	499/4	499/4	0.25	15/16	15/16	Chord	2/2	1	1	1/16	1/16	1	256								
33	32	125	125	0.5	0	0	Chord	2/2	1	1	1/8	1/8	1	257								
33	32	251/2	251/2	0.25	1/8	1/8	Chord	2/2	1	1	1/16	1/16	1	258								
33	32	503/4	503/4	0.25	3/16	3/16	Chord	2/2	1	1	1/16	1/16	1	259								
33	32	126	126	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	260								
33	32	253/2	253/2	0.25	3/8	3/8	Chord	2/2	1	1	1/16	1/16	1	261								
33	32	507/4	507/4	0.25	7/16	7/16	Chord	2/2	1	1	1/16	1/16	1	262								
33	32	127	127	0.5	1/2	1/2	Chord	2/2	1	1	1/8	1/8	1	263								
33	32	255/2	255/2	0.5	5/8	5/8	Chord	2/2	1	1	1/8	1/8	1	264								
33	32	128	128	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	265								
33	32	257/2	257/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	266								
34	33	129	129	0.25	0	0	Chord	2/2	1	1	1/16	1/16	1	267								42
34	33	517/4	517/4	0.25	1/16	1/16	Chord	2/2	1	1	1/16	1/16	1	268								42
34	33	259/2	259/2	0.25	1/8	1/8	Chord	2/2	1	1	1/16	1/16	1	269								42
34	33	519/4	519/4	0.25	3/16	3/16	Chord	2/2	1	1	1/16	1/16	1	270								
34	33	130	130	0.5	1/4	1/4	Chord	2/2	1	1	1/8	1/8	1	271								
34	33	261/2	261/2	0.5	3/8	3/8	Chord	2/2	1	1	1/8	1/8	1	272								
34	33	131	131	0.25	1/2	1/2	Chord	2/2	1	1	1/16	1/16	1	273								43
34	33	525/4	525/4	0.25	9/16	9/16	Chord	2/2	1	1	1/16	1/16	1	274								43
34	33	263/2	263/2	0.25	5/8	5/8	Chord	2/2	1	1	1/16	1/16	1	275								43
34	33	527/4	527/4	0.25	11/16	11/16	Chord	2/2	1	1	1/16	1/16	1	276								
34	33	132	132	0.5	3/4	3/4	Chord	2/2	1	1	1/8	1/8	1	277								
34	33	265/2	265/2	0.5	7/8	7/8	Chord	2/2	1	1	1/8	1/8	1	278								
35	34	133	133	0.25	0	0	Chord	2/2	1	1	1/16	1/16	1	279								44
35	34	533/4	533/4	0.25	1/16	1/16	Chord	2/2	1	1	1/16	1/16	1	280								44
35	34	267/2	267/2	0.25	1/8	1/8	Chord	2/2	1	1	1/16	1/16	1	281								44
35	34	535/4	535/4	0.25	3/16	3/16	Chord	2/2	1	1	1/16	1/16	1	282								44
35	34	134	134	0.25	1/4	1/4	Chord	2/2	1	1	1/16	1/16	1	283								44
35	34	537/4	537/4	0.25	5/16	5/16	Chord	2/2	1	1	1/16	1/16	1	284								44
35	34	269/2	269/2	0.25	3/8	3/8	Chord	2/2	1	1	1/16	1/16	1	285								44
35	34	539/4	539/4	0.25	7/16	7/16	Chord	2/2	1	1	1/16	1/16	1	286								44
35	34	135	135	0.25	1/2	1/2	Chord	2/2	1	1	1/16	1/16	1	287								44
35	34	541/4	541/4	0.25	9/16	9/16	Chord	2/2	1	1	1/16	1/16	1	288								44
35	34	271/2	271/2	0.25	5/8	5/8	Chord	2/2	1	1	1/16	1/16	1	289								44
