mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	1	0	0	0.0	0	0	Tempo	3/4	1	1	0						𝅘𝅥=50	50.0	𝅘𝅥	50.0	0.0	
1	1	0	0	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	0								
1	1	1	1	1.5	1/4	1/4	Chord	3/4	1	1	3/8	1/4	3/2	1								0
1	1	5/2	5/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	2								
1	1	0	0	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	3								
1	1	1	1	2.0	1/4	1/4	Chord	3/4	1	2	1/2	1/2	1	4								
1	1	0	0	1.0	0	0	Chord	3/4	1	3	1/4	1/4	1	5								
1	1	1	1	2.0	1/4	1/4	Chord	3/4	1	3	1/2	1/2	1	6								
2	2	3	3	0.25	0	0	Chord	3/4	1	1	1/16	1/16	1	7								1
2	2	13/4	13/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16	1/16	1	8								1
2	2	7/2	7/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	9								1
2	2	15/4	15/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	10								
2	2	4	4	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	11		ornamentTrill						
2	2	5	5	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	12								2
2	2	11/2	11/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	13								
2	2	4	4	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	14								
2	2	4	4	1.0	1/4	1/4	Chord	3/4	1	3	1/4	1/4	1	15								
3	3	6	6	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	16								3
3	3	13/2	13/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	17								
3	3	7	7	0.75	1/4	1/4	Chord	3/4	1	1	3/16	1/8	3/2	18								
3	3	31/4	31/4	0.08333333333333333	7/16	7/16	Chord	3/4	1	1	1/48	1/32	2/3	19								
3	3	47/6	47/6	0.08333333333333333	11/24	11/24	Chord	3/4	1	1	1/48	1/32	2/3	20								
3	3	95/12	95/12	0.08333333333333333	23/48	23/48	Chord	3/4	1	1	1/48	1/32	2/3	21								
3	3	8	8	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	22								
3	3	17/2	17/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	23								
4	4	9	9	0.25	0	0	Chord	3/4	1	1	1/16	1/16	1	24								
4	4	37/4	37/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16	1/16	1	25								
4	4	19/2	19/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	26								
4	4	39/4	39/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	27								
4	4	10	10	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	28		ornamentTrill						
4	4	11	11	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	29								4
4	4	23/2	23/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	30								
5	5	12	12	0.25	0	0	Chord	3/4	1	1	1/16	1/16	1	31								5
5	5	49/4	49/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16	1/16	1	32								5
5	5	25/2	25/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	33								5
5	5	51/4	51/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	34								
5	5	13	13	0.75	1/4	1/4	Chord	3/4	1	1	3/16	1/8	3/2	35		ornamentTrill						
5	5	55/4	55/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	36								
5	5	14	14	0.25	1/2	1/2	Chord	3/4	1	1	1/16	1/16	1	37								6
5	5	57/4	57/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	38								6
5	5	29/2	29/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	39								6
5	5	59/4	59/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	40								
6	6	15	15	0.25	0	0	Chord	3/4	1	1	1/16	1/16	1	41								
6	6	61/4	61/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16	1/16	1	42								7
6	6	31/2	31/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	43								7
6	6	63/4	63/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	44								
6	6	16	16	0.75	1/4	1/4	Chord	3/4	1	1	3/16	1/8	3/2	45		ornamentTrill						
6	6	67/4	67/4	0.125	7/16	7/16	Chord	3/4	1	1	1/32	1/32	1	46								8
6	6	135/8	135/8	0.125	15/32	15/32	Chord	3/4	1	1	1/32	1/32	1	47								8
6	6	17	17	0.25	1/2	1/2	Chord	3/4	1	1	1/16	1/16	1	48								8
6	6	69/4	69/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	49								8
6	6	35/2	35/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	50								8
6	6	71/4	71/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	51								
7	7	18	18	0.25	0	0	Chord	3/4	1	1	1/16	1/16	1	52								9
7	7	73/4	73/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16	1/16	1	53								9
7	7	37/2	37/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	54								9
7	7	75/4	75/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	55								
7	7	19	19	0.25	1/4	1/4	Chord	3/4	1	1	1/16	1/16	1	56								
7	7	77/4	77/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16	1/16	1	57								
7	7	39/2	39/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16	1/16	1	58								
7	7	79/4	79/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	59								
7	7	20	20	0.25	1/2	1/2	Chord	3/4	1	1	1/16	1/16	1	60								10
