mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	0	0	0	0.0	0	5/8	Tempo	3/4	1	1	0						𝅘𝅥=132	132.0	𝅘𝅥	132.0	1.0	
1	0	0	0	0.5	0	5/8	Chord	3/4	1	1	1/8	1/8	1	0								
2	1	1/2	1/2	0.25	0	0	Chord	3/4	1	1	1/16	1/16	1	1								0
2	1	3/4	3/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16	1/16	1	2								0
2	1	1	1	0.25	1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	3								0
2	1	5/4	5/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	4								0
2	1	3/2	3/2	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	5								0
2	1	2	2	0.25	3/8	3/8	Chord	3/4	1	1	1/16	1/16	1	6								0
2	1	9/4	9/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	7								
2	1	5/2	5/2	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	8								
2	1	3	3	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	9								
3	2	7/2	7/2	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	10								
3	2	4	4	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	11								
3	2	9/2	9/2	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	12								
3	2	11/2	11/2	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	13								
4	3	13/2	13/2	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	14								
4	3	7	7	0.25	1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	15								
4	3	29/4	29/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	16								
4	3	15/2	15/2	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	17								
4	3	8	8	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	18								
4	3	17/2	17/2	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	19								
4	3	9	9	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	20								
5	4	19/2	19/2	1.5	0	0	Chord	3/4	1	1	3/8	1/4	3/2	21		ornamentTrill						
5	4	11	11	0.25	3/8	3/8	Chord	3/4	1	1	1/16	1/16	1	22								
5	4	45/4	45/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	23								
5	4	23/2	23/2	0.25	1/2	1/2	Chord	3/4	1	1	1/16	1/16	1	24								
5	4	47/4	47/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	25								
5	4	12	12	0.25	5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	26								
5	4	49/4	49/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	27								
6	5	25/2	25/2	0.25	0	0	Chord	3/4	1	1	1/16	1/16	1	28								
6	5	51/4	51/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16	1/16	1	29								
6	5	13	13	0.25	1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	30								
6	5	53/4	53/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	31								
6	5	27/2	27/2	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	32								
6	5	14	14	0.25	3/8	3/8	Chord	3/4	1	1	1/16	1/16	1	33								
6	5	57/4	57/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	34								
6	5	29/2	29/2	0.25	1/2	1/2	Chord	3/4	1	1	1/16	1/16	1	35								
6	5	59/4	59/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	36								
6	5	15	15	0.25	5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	37								
6	5	61/4	61/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	38								
7	6	31/2	31/2	0.25	0	0	Chord	3/4	1	1	1/16	1/16	1	39								
7	6	63/4	63/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16	1/16	1	40								
7	6	16	16	0.25	1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	41								
7	6	65/4	65/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	42								
7	6	33/2	33/2	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	43								
7	6	17	17	0.25	3/8	3/8	Chord	3/4	1	1	1/16	1/16	1	44								
7	6	69/4	69/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	45								
7	6	35/2	35/2	0.25	1/2	1/2	Chord	3/4	1	1	1/16	1/16	1	46								
7	6	71/4	71/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	47								
7	6	18	18	0.25	5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	48								
7	6	73/4	73/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	49								
8	7	37/2	37/2	0.25	0	0	Chord	3/4	1	1	1/16	1/16	1	50								
8	7	75/4	75/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16	1/16	1	51								
8	7	19	19	0.25	1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	52								
8	7	77/4	77/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	53								
8	7	39/2	39/2	0.25	1/4	1/4	Chord	3/4	1	1	1/16	1/16	1	54								
8	7	79/4	79/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16	1/16	1	55								
8	7	20	20	0.25	3/8	3/8	Chord	3/4	1	1	1/16	1/16	1	56								
8	7	81/4	81/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	57								
8	7	41/2	41/2	0.25	1/2	1/2	Chord	3/4	1	1	1/16	1/16	1	58								
