mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
8	7	83/4	83/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	59								
8	7	21	21	0.25	5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	60								
8	7	85/4	85/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	61								
9	8	43/2	43/2	0.25	0	0	Chord	3/4	1	1	1/16	1/16	1	62								
9	8	87/4	87/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16	1/16	1	63								
9	8	22	22	0.25	1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	64								
9	8	89/4	89/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	65								
9	8	45/2	45/2	0.25	1/4	1/4	Chord	3/4	1	1	1/16	1/16	1	66								
9	8	91/4	91/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16	1/16	1	67								
9	8	23	23	0.25	3/8	3/8	Chord	3/4	1	1	1/16	1/16	1	68								
9	8	93/4	93/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	69								
9	8	47/2	47/2	0.25	1/2	1/2	Chord	3/4	1	1	1/16	1/16	1	70								
9	8	95/4	95/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	71								
9	8	24	24	0.25	5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	72								
9	8	97/4	97/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	73								
10	9	49/2	49/2	0.25	0	0	Chord	3/4	1	1	1/16	1/16	1	74								
10	9	99/4	99/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16	1/16	1	75								
10	9	25	25	0.25	1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	76								
10	9	101/4	101/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	77								
10	9	51/2	51/2	0.25	1/4	1/4	Chord	3/4	1	1	1/16	1/16	1	78								
10	9	103/4	103/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16	1/16	1	79								
10	9	26	26	0.25	3/8	3/8	Chord	3/4	1	1	1/16	1/16	1	80								
10	9	105/4	105/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	81								
10	9	53/2	53/2	0.25	1/2	1/2	Chord	3/4	1	1	1/16	1/16	1	82								
10	9	107/4	107/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	83								
10	9	27	27	0.25	5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	84								
10	9	109/4	109/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	85								
11	10	55/2	55/2	1.5	0	0	Chord	3/4	1	1	3/8	1/4	3/2	86		ornamentTrill						
11	10	29	29	0.25	3/8	3/8	Chord	3/4	1	1	1/16	1/16	1	87								
11	10	117/4	117/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	88								
11	10	59/2	59/2	0.25	1/2	1/2	Chord	3/4	1	1	1/16	1/16	1	89								
11	10	119/4	119/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	90								
11	10	30	30	0.25	5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	91								
11	10	121/4	121/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	92								
12	11	61/2	61/2	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	93								
12	11	31	31	0.25	1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	94								
12	11	125/4	125/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	95								
12	11	63/2	63/2	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	96								
12	11	32	32	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	97								
12	11	65/2	65/2	0.25	1/2	1/2	Chord	3/4	1	1	1/16	1/16	1	98								
12	11	131/4	131/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	99								
12	11	33	33	0.25	5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	100								
12	11	133/4	133/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	101								
13	12	67/2	67/2	0.25	0	0	Chord	3/4	1	1	1/16	1/16	1	102								
13	12	135/4	135/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16	1/16	1	103								
13	12	34	34	0.25	1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	104								
13	12	137/4	137/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	105								
13	12	69/2	69/2	0.25	1/4	1/4	Chord	3/4	1	1	1/16	1/16	1	106								
13	12	139/4	139/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16	1/16	1	107								
13	12	35	35	0.25	3/8	3/8	Chord	3/4	1	1	1/16	1/16	1	108								
13	12	141/4	141/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	109								
13	12	71/2	71/2	0.25	1/2	1/2	Chord	3/4	1	1	1/16	1/16	1	110								
13	12	143/4	143/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	111								
13	12	36	36	0.25	5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	112								
13	12	145/4	145/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	113								
14	13	73/2	73/2	0.25	0	0	Chord	3/4	1	1	1/16	1/16	1	114								
14	13	147/4	147/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16	1/16	1	115								
14	13	37	37	0.25	1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	116								
14	13	149/4	149/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	117								
14	13	75/2	75/2	0.25	1/4	1/4	Chord	3/4	1	1	1/16	1/16	1	118								
14	13	151/4	151/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16	1/16	1	119								
14	13	38	38	0.25	3/8	3/8	Chord	3/4	1	1	1/16	1/16	1	120								
14	13	153/4	153/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	121								
14	13	77/2	77/2	0.25	1/2	1/2	Chord	3/4	1	1	1/16	1/16	1	122								
14	13	155/4	155/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	123								
14	13	39	39	0.25	5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	124								
14	13	157/4	157/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	125								
15	14	79/2	79/2	0.25	0	0	Chord	3/4	1	1	1/16	1/16	1	126								
15	14	159/4	159/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16	1/16	1	127								
15	14	40	40	0.25	1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	128								
15	14	161/4	161/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	129								
15	14	81/2	81/2	0.25	1/4	1/4	Chord	3/4	1	1	1/16	1/16	1	130								
15	14	163/4	163/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16	1/16	1	131								
15	14	41	41	0.25	3/8	3/8	Chord	3/4	1	1	1/16	1/16	1	132								
15	14	165/4	165/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	133								
15	14	83/2	83/2	0.25	1/2	1/2	Chord	3/4	1	1	1/16	1/16	1	134								
15	14	167/4	167/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	135								
15	14	42	42	0.25	5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	136								
15	14	169/4	169/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	137								
16	15	85/2	85/2	0.25	0	0	Chord	3/4	1	1	1/16	1/16	1	138								
16	15	171/4	171/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16	1/16	1	139								
16	15	43	43	0.25	1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	140								
16	15	173/4	173/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	141								
16	15	87/2	87/2	0.25	1/4	1/4	Chord	3/4	1	1	1/16	1/16	1	142								
16	15	175/4	175/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16	1/16	1	143								
16	15	44	44	0.25	3/8	3/8	Chord	3/4	1	1	1/16	1/16	1	144								
16	15	177/4	177/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	145								
16	15	89/2	89/2	0.25	1/2	1/2	Chord	3/4	1	1	1/16	1/16	1	146								
16	15	179/4	179/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	147								
16	15	45	45	0.25	5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	148								
16	15	181/4	181/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	149								
17	16	91/2	91/2	0.25	0	0	Chord	3/4	1	1	1/16	1/16	1	150								1
17	16	183/4	183/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16	1/16	1	151								1
17	16	46	46	0.25	1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	152								1
17	16	185/4	185/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	153								
17	16	93/2	93/2	0.25	1/4	1/4	Chord	3/4	1	1	1/16	1/16	1	154								2
17	16	187/4	187/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16	1/16	1	155								2
17	16	47	47	0.25	3/8	3/8	Chord	3/4	1	1	1/16	1/16	1	156								2
17	16	189/4	189/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	157								
17	16	95/2	95/2	0.25	1/2	1/2	Chord	3/4	1	1	1/16	1/16	1	158								
17	16	191/4	191/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	159								
17	16	48	48	0.25	5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	160								
17	16	193/4	193/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	161								
18	17	97/2	97/2	1.5	0	0	Chord	3/4	1	1	3/8	1/4	3/2	162								
18	17	50	50	0.25	3/8	3/8	Chord	3/4	1	1	1/16	1/16	1	163								
18	17	201/4	201/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	164								
18	17	101/2	101/2	0.25	1/2	1/2	Chord	3/4	1	1	1/16	1/16	1	165								
18	17	203/4	203/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	166								
18	17	51	51	0.25	5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	167								
18	17	205/4	205/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	168								
19	18	103/2	103/2	0.25	0	0	Chord	3/4	1	1	1/16	1/16	1	169								
19	18	207/4	207/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16	1/16	1	170								
19	18	52	52	0.25	1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	171								
19	18	209/4	209/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	172								
19	18	105/2	105/2	0.25	1/4	1/4	Chord	3/4	1	1	1/16	1/16	1	173								
19	18	211/4	211/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16	1/16	1	174								
19	18	53	53	0.25	3/8	3/8	Chord	3/4	1	1	1/16	1/16	1	175								
19	18	213/4	213/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	176								
19	18	107/2	107/2	0.25	1/2	1/2	Chord	3/4	1	1	1/16	1/16	1	177								
19	18	215/4	215/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	178								
19	18	54	54	0.25	5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	179								
19	18	217/4	217/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	180								
20	19	109/2	109/2	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	181								
20	19	55	55	0.25	1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	182								
20	19	221/4	221/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	183								
20	19	111/2	111/2	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	184								
20	19	56	56	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	185								
20	19	113/2	113/2	0.25	1/2	1/2	Chord	3/4	1	1	1/16	1/16	1	186								
20	19	227/4	227/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	187								
20	19	57	57	0.25	5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	188								
20	19	229/4	229/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	189								
21	20	115/2	115/2	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	190								
21	20	58	58	0.25	1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	191								
21	20	233/4	233/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	192								
21	20	117/2	117/2	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	193								
21	20	59	59	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	194								
21	20	119/2	119/2	0.25	1/2	1/2	Chord	3/4	1	1	1/16	1/16	1	195								
21	20	239/4	239/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	196								
21	20	60	60	0.25	5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	197								
21	20	241/4	241/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	198								
22	21	121/2	121/2	0.25	0	0	Chord	3/4	1	1	1/16	1/16	1	199								
22	21	243/4	243/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16	1/16	1	200								
22	21	61	61	0.25	1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	201								
22	21	245/4	245/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	202								
22	21	123/2	123/2	0.25	1/4	1/4	Chord	3/4	1	1	1/16	1/16	1	203								
22	21	247/4	247/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16	1/16	1	204								
22	21	62	62	0.25	3/8	3/8	Chord	3/4	1	1	1/16	1/16	1	205								
22	21	249/4	249/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	206								
22	21	125/2	125/2	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	207								
22	21	63	63	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	208								
23	22	127/2	127/2	0.25	0	0	Chord	3/4	1	1	1/16	1/16	1	209								
23	22	255/4	255/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16	1/16	1	210								
23	22	64	64	0.25	1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	211								
23	22	257/4	257/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	212								
23	22	129/2	129/2	0.25	1/4	1/4	Chord	3/4	1	1	1/16	1/16	1	213								
23	22	259/4	259/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16	1/16	1	214								
23	22	65	65	0.25	3/8	3/8	Chord	3/4	1	1	1/16	1/16	1	215								
23	22	261/4	261/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	216								
23	22	131/2	131/2	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	217								
23	22	66	66	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	218								
24	23	133/2	133/2	0.25	0	0	Chord	3/4	1	1	1/16	1/16	1	219								
24	23	267/4	267/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16	1/16	1	220								
24	23	67	67	0.25	1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	221								
24	23	269/4	269/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	222								
24	23	135/2	135/2	0.25	1/4	1/4	Chord	3/4	1	1	1/16	1/16	1	223								
24	23	271/4	271/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16	1/16	1	224								
24	23	68	68	0.25	3/8	3/8	Chord	3/4	1	1	1/16	1/16	1	225								
24	23	273/4	273/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	226								
24	23	137/2	137/2	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	227								
24	23	69	69	0.25	5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	228								
24	23	277/4	277/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	229								
25	24	139/2	139/2	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	230								
25	24	70	70	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	231								
25	24	141/2	141/2	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	232								
25	24	143/2	143/2	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	233								
26	25	145/2	145/2	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	234								
26	25	73	73	0.25	1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	235								
26	25	293/4	293/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	236								
26	25	147/2	147/2	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	237								
26	25	74	74	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	238								
26	25	149/2	149/2	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	239								
26	25	75	75	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	240								
27	26	151/2	151/2	0.25	0	0	Chord	3/4	1	1	1/16	1/16	1	241								
27	26	303/4	303/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16	1/16	1	242								
27	26	76	76	0.25	1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	243								
27	26	305/4	305/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	244								
27	26	153/2	153/2	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	245								
27	26	155/2	155/2	0.25	1/2	1/2	Chord	3/4	1	1	1/16	1/16	1	246								
27	26	311/4	311/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	247								
27	26	78	78	0.25	5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	248								
27	26	313/4	313/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	249								
28	27	157/2	157/2	0.25	0	0	Chord	3/4	1	1	1/16	1/16	1	250								
28	27	315/4	315/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16	1/16	1	251								
28	27	79	79	0.25	1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	252								
28	27	317/4	317/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	253								
28	27	159/2	159/2	0.25	1/4	1/4	Chord	3/4	1	1	1/16	1/16	1	254								
28	27	319/4	319/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16	1/16	1	255								
28	27	80	80	0.25	3/8	3/8	Chord	3/4	1	1	1/16	1/16	1	256								
28	27	321/4	321/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	257								
28	27	161/2	161/2	0.25	1/2	1/2	Chord	3/4	1	1	1/16	1/16	1	258								
28	27	323/4	323/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	259								
28	27	81	81	0.25	5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	260								
28	27	325/4	325/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	261								
29	28	163/2	163/2	0.25	0	0	Chord	3/4	1	1	1/16	1/16	1	262								
29	28	327/4	327/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16	1/16	1	263								
29	28	82	82	0.25	1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	264								
29	28	329/4	329/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	265								
29	28	165/2	165/2	0.25	1/4	1/4	Chord	3/4	1	1	1/16	1/16	1	266								
29	28	331/4	331/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16	1/16	1	267								
29	28	83	83	0.25	3/8	3/8	Chord	3/4	1	1	1/16	1/16	1	268								
29	28	333/4	333/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	269								
29	28	167/2	167/2	0.25	1/2	1/2	Chord	3/4	1	1	1/16	1/16	1	270								
29	28	335/4	335/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	271								
29	28	84	84	0.25	5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	272								
29	28	337/4	337/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	273								
30	29	169/2	169/2	0.25	0	0	Chord	3/4	1	1	1/16	1/16	1	274								
30	29	339/4	339/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16	1/16	1	275								
30	29	85	85	0.25	1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	276								
30	29	341/4	341/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	277								
30	29	171/2	171/2	0.25	1/4	1/4	Chord	3/4	1	1	1/16	1/16	1	278								
30	29	343/4	343/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16	1/16	1	279								
30	29	86	86	0.25	3/8	3/8	Chord	3/4	1	1	1/16	1/16	1	280								
30	29	345/4	345/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	281								
30	29	173/2	173/2	0.25	1/2	1/2	Chord	3/4	1	1	1/16	1/16	1	282								
30	29	347/4	347/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	283								
30	29	87	87	0.25	5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	284								
30	29	349/4	349/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	285								
31	30	175/2	175/2	0.25	0	0	Chord	3/4	1	1	1/16	1/16	1	286								
