mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	Trill:prallprall
1	0	0	0	0.0	0	1/4	Tempo	3/8	1	1	0					𝅘𝅥.=84	126.0	𝅘𝅥.	84.0	0.0		
1	0	0	0	0.5	0	1/4	Chord	3/8	1	1	1/8	1/8	1	0								
2	1	1/2	1/2	0.75	0	0	Chord	3/8	1	1	3/16	1/8	3/2	1								
2	1	5/4	5/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	2								
2	1	3/2	3/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	3								
3	2	2	2	0.75	0	0	Chord	3/8	1	1	3/16	1/8	3/2	4								
3	2	11/4	11/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	5								
3	2	3	3	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	6								
4	3	7/2	7/2	0.75	0	0	Chord	3/8	1	1	3/16	1/8	3/2	7								
4	3	17/4	17/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	8							0	
4	3	9/2	9/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	9							0	
4	3	19/4	19/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	10							0	
5	4	5	5	0.75	0	0	Chord	3/8	1	1	3/16	1/8	3/2	11								
5	4	23/4	23/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	12								
5	4	6	6	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	13								
6	5	13/2	13/2	0.75	0	0	Chord	3/8	1	1	3/16	1/8	3/2	14								
6	5	29/4	29/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	15								
6	5	15/2	15/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	16								
7	6	8	8	0.75	0	0	Chord	3/8	1	1	3/16	1/8	3/2	17								
7	6	35/4	35/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	18								
7	6	9	9	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	19								
8	7	19/2	19/2	0.75	0	0	Chord	3/8	1	1	3/16	1/8	3/2	20								
8	7	41/4	41/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	21								
8	7	21/2	21/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	22								
9	8	11	11	0.75	0	0	Chord	3/8	1	1	3/16	1/8	3/2	23								
9	8	47/4	47/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	24							1	
9	8	12	12	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	25							1	
9	8	49/4	49/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	26							1	
10	9	25/2	25/2	0.75	0	0	Chord	3/8	1	1	3/16	1/8	3/2	27								
10	9	53/4	53/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	28								
10	9	27/2	27/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	29								
11	10	14	14	0.75	0	0	Chord	3/8	1	1	3/16	1/8	3/2	30								
11	10	59/4	59/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	31							2	
11	10	15	15	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	32							2	
11	10	61/4	61/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	33							2	
12	11	31/2	31/2	0.75	0	0	Chord	3/8	1	1	3/16	1/8	3/2	34								
12	11	65/4	65/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	35								
12	11	33/2	33/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	36								
13	12	17	17	0.75	0	0	Chord	3/8	1	1	3/16	1/8	3/2	37								
13	12	71/4	71/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	38							3	
13	12	18	18	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	39							3	
13	12	73/4	73/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	40							3	
14	13	37/2	37/2	0.75	0	0	Chord	3/8	1	1	3/16	1/8	3/2	41								
14	13	77/4	77/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	42								
14	13	39/2	39/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	43								
15	14	20	20	0.75	0	0	Chord	3/8	1	1	3/16	1/8	3/2	44								
15	14	83/4	83/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	45								
15	14	21	21	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	46								
16	15	43/2	43/2	1.5	0	0	Chord	3/8	1	1	3/8	1/4	3/2	47								
17	16	23	23	0.75	0	0	Chord	3/8	1	1	3/16	1/8	3/2	48								
17	16	95/4	95/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	49							4	
17	16	24	24	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	50							4	
17	16	97/4	97/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	51							4	
18	17	49/2	49/2	0.75	0	0	Chord	3/8	1	1	3/16	1/8	3/2	52								
18	17	101/4	101/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	53							5	
18	17	51/2	51/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	54							5	
18	17	103/4	103/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	55							5	
19	18	26	26	1.5	0	0	Chord	3/8	1	1	3/8	1/4	3/2	56								
20	19	55/2	55/2	0.75	0	0	Chord	3/8	1	1	3/16	1/8	3/2	57								
20	19	113/4	113/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	58							6	
20	19	57/2	57/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	59							6	
20	19	115/4	115/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	60							6	
21	20	29	29	0.75	0	0	Chord	3/8	1	1	3/16	1/8	3/2	61								
21	20	119/4	119/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	62							7	
21	20	30	30	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	63							7	
21	20	121/4	121/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	64							7	
22	21	61/2	61/2	0.75	0	0	Chord	3/8	1	1	3/16	1/8	3/2	65								
22	21	125/4	125/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	66								
22	21	63/2	63/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	67								
23	22	32	32	0.75	0	0	Chord	3/8	1	1	3/16	1/8	3/2	68								
23	22	131/4	131/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	69								
23	22	33	33	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	70								
24	23	67/2	67/2	0.75	0	0	Chord	3/8	1	1	3/16	1/8	3/2	71								
24	23	137/4	137/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	72								
24	23	69/2	69/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	73								
25	24	35	35	1.0	0	0	Chord	3/8	1	1	1/4	1/4	1	74								
25	24	36	36	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	75								
26	25	73/2	73/2	0.75	0	0	Chord	3/8	1	1	3/16	1/8	3/2	76								
26	25	149/4	149/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	77								
26	25	75/2	75/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	78								
27	26	38	38	0.75	0	0	Chord	3/8	1	1	3/16	1/8	3/2	79								
27	26	155/4	155/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	80								
27	26	39	39	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	81								
28	27	79/2	79/2	0.75	0	0	Chord	3/8	1	1	3/16	1/8	3/2	82								
28	27	161/4	161/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	83							8	
28	27	81/2	81/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	84							8	
28	27	163/4	163/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	85								
29	28	41	41	0.75	0	0	Chord	3/8	1	1	3/16	1/8	3/2	86								
29	28	167/4	167/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	87								
29	28	42	42	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	88								
30	29	85/2	85/2	0.75	0	0	Chord	3/8	1	1	3/16	1/8	3/2	89								
30	29	173/4	173/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	90								
30	29	87/2	87/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	91								
31	30	44	44	0.75	0	0	Chord	3/8	1	1	3/16	1/8	3/2	92								
31	30	179/4	179/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	93								
31	30	45	45	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	94								
32	31	91/2	91/2	0.75	0	0	Chord	3/8	1	1	3/16	1/8	3/2	95								
32	31	185/4	185/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	96								
32	31	93/2	93/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	97								
33	32	47	47	0.75	0	0	Chord	3/8	1	1	3/16	1/8	3/2	98								
33	32	191/4	191/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	99							9	
33	32	48	48	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	100							9	
33	32	193/4	193/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	101							9	
34	33	97/2	97/2	0.75	0	0	Chord	3/8	1	1	3/16	1/8	3/2	102								
34	33	197/4	197/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	103								
34	33	99/2	99/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	104								
35	34	50	50	0.75	0	0	Chord	3/8	1	1	3/16	1/8	3/2	105								
35	34	203/4	203/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	106								
