mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	1	0	0	0.0	0	0	StaffText	3/4	1	1	0						MENUET I						
1	1	0	0	0.0	0	0	Tempo	3/4	1	1	0							𝅘𝅥=110	110.0	𝅘𝅥	110.0	0.0	
1	1	0	0	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	0								0
1	1	1/2	1/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	1								
1	1	1	1	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	2								
1	1	2	2	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	3								1
1	1	5/2	5/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	4								1
1	1	11/4	11/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	5								
2	2	3	3	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	6								2
2	2	7/2	7/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	7								
2	2	4	4	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	8								3
2	2	9/2	9/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	9								
2	2	5	5	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	10								4
2	2	11/2	11/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	11								
3	3	6	6	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	12								5
3	3	13/2	13/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	13								
3	3	7	7	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	14								6
3	3	15/2	15/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	15								
3	3	8	8	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	16								7
3	3	17/2	17/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	17								
4	4	9	9	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	18	ornamentTrill							8
4	4	11	11	0.0	1/2	1/2	Chord	3/4	1	1	0	grace16	1/16	1	19								
4	4	11	11	0.0	1/2	1/2	Chord	3/4	1	1	0	grace16	1/16	1	20								
4	4	11	11	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	21								
4	4	9	9	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	22								
4	4	11	11	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	23								
4	4	9	9	2.0	0	0	Chord	3/4	1	3	1/2		1/2	1	24								
5	5	12	12	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	25								9
5	5	25/2	25/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	26								
5	5	13	13	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	27								
5	5	14	14	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	28								10
5	5	29/2	29/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	29								10
5	5	59/4	59/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	30								
6	6	15	15	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	31								11
6	6	31/2	31/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	32								
