mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	1	0	0	0.0	0	0	Tempo	3/4	1	1	0					𝅘𝅥=76	76.0	𝅘𝅥	76.0	0.0	
1	1	0	0	0.0	0	0	StaffText	3/4	1	1	0				SARABANDE						
1	1	0	0	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	0							0
1	1	1/2	1/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	1							0
1	1	1	1	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	2							0
1	1	3/2	3/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	3							
1	1	2	2	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	4							
2	2	3	3	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	5							1
2	2	7/2	7/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	6							1
2	2	4	4	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	7							1
2	2	9/2	9/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	8							
2	2	5	5	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	9							
3	3	6	6	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	10							2
3	3	13/2	13/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	11							2
3	3	7	7	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	12							2
3	3	15/2	15/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	13							
3	3	8	8	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	14							3
3	3	17/2	17/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	15							
4	4	9	9	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	16							4
4	4	19/2	19/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	17							4
4	4	10	10	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	18							4
4	4	21/2	21/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	19							
4	4	11	11	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	20							
5	5	12	12	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	21							5
5	5	25/2	25/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	22							5
5	5	13	13	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	23							5
5	5	27/2	27/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	24							
5	5	14	14	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	25							6
5	5	29/2	29/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	26							
6	6	15	15	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	27							7
6	6	31/2	31/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	28							7
6	6	16	16	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	29							7
6	6	33/2	33/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	30							
6	6	17	17	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	31							8
6	6	35/2	35/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	32							
7	7	18	18	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	33							9
7	7	37/2	37/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	34							9
7	7	19	19	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	35							9
7	7	39/2	39/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	36							
7	7	20	20	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	37							10
7	7	41/2	41/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	38							
8	8	21	21	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	39							
9	9	24	24	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	40							11
9	9	49/2	49/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	41							11
9	9	25	25	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	42							11
9	9	51/2	51/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	43							
9	9	26	26	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	44							
10	10	27	27	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	45							12
10	10	55/2	55/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	46							12
10	10	28	28	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	47							12
10	10	57/2	57/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	48							
10	10	29	29	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	49							
11	11	30	30	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	50							
11	11	61/2	61/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	51							13
11	11	31	31	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	52							13
11	11	63/2	63/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	53							
11	11	32	32	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	54							14
11	11	65/2	65/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	55							
12	12	33	33	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	56							15
12	12	67/2	67/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	57							15
12	12	34	34	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	58							15
12	12	69/2	69/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	59							
12	12	35	35	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	60							
13	13	36	36	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	61							16
