mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	1	0	0	0.0		0	0	Tempo	3/4	1	1	0						𝅘𝅥=80	80.0	𝅘𝅥	80.0	0.0	
1	1	0	0	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	0								
1	1	3/2	3/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	1								
1	1	2	2	0.25		1/2	1/2	Chord	3/4	1	1	1/16	1/16	1	2								
1	1	9/4	9/4	0.25		9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	3								
1	1	5/2	5/2	0.25		5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	4								
1	1	11/4	11/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	5								
1	1	0	0	0.0		0	0	StaffText	3/4	1	2	0					Andante						
1	1	0	0	0.5		0	0	Chord	3/4	1	2	1/8	1/8	1	6								
1	1	1/2	1/2	0.5		1/8	1/8	Chord	3/4	1	2	1/8	1/8	1	7								
1	1	1	1	0.5		1/4	1/4	Chord	3/4	1	2	1/8	1/8	1	8								
1	1	3/2	3/2	0.5		3/8	3/8	Chord	3/4	1	2	1/8	1/8	1	9								
1	1	2	2	0.5		1/2	1/2	Chord	3/4	1	2	1/8	1/8	1	10								
1	1	5/2	5/2	0.5		5/8	5/8	Chord	3/4	1	2	1/8	1/8	1	11								
2	2	3	3	0.25		0	0	Chord	3/4	1	1	1/16	1/16	1	12								
2	2	13/4	13/4	0.25		1/16	1/16	Chord	3/4	1	1	1/16	1/16	1	13								
2	2	7/2	7/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	14								
2	2	4	4	0.5		1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	15								
2	2	9/2	9/2	0.5		3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	16								
2	2	5	5	0.25		1/2	1/2	Chord	3/4	1	1	1/16	1/16	1	17								
2	2	21/4	21/4	0.25		9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	18								
2	2	11/2	11/2	0.25		5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	19								
2	2	23/4	23/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	20								
2	2	3	3	0.5		0	0	Chord	3/4	1	2	1/8	1/8	1	21								
2	2	7/2	7/2	0.5		1/8	1/8	Chord	3/4	1	2	1/8	1/8	1	22								
2	2	4	4	0.5		1/4	1/4	Chord	3/4	1	2	1/8	1/8	1	23								
2	2	9/2	9/2	0.5		3/8	3/8	Chord	3/4	1	2	1/8	1/8	1	24								
2	2	5	5	0.5		1/2	1/2	Chord	3/4	1	2	1/8	1/8	1	25								
2	2	11/2	11/2	0.5		5/8	5/8	Chord	3/4	1	2	1/8	1/8	1	26								
3	3	6	6	0.25		0	0	Chord	3/4	1	1	1/16	1/16	1	27								
3	3	25/4	25/4	0.25		1/16	1/16	Chord	3/4	1	1	1/16	1/16	1	28								
3	3	13/2	13/2	0.25		1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	29								
3	3	27/4	27/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	30								
3	3	7	7	0.25		1/4	1/4	Chord	3/4	1	1	1/16	1/16	1	31								
3	3	29/4	29/4	0.25		5/16	5/16	Chord	3/4	1	1	1/16	1/16	1	32								
3	3	15/2	15/2	0.25		3/8	3/8	Chord	3/4	1	1	1/16	1/16	1	33								
3	3	31/4	31/4	0.25		7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	34								
3	3	8	8	0.25		1/2	1/2	Chord	3/4	1	1	1/16	1/16	1	35								
3	3	33/4	33/4	0.25		9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	36								
3	3	17/2	17/2	0.25		5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	37								
3	3	35/4	35/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	38								
3	3	6	6	0.5		0	0	Chord	3/4	1	2	1/8	1/8	1	39								
3	3	13/2	13/2	0.5		1/8	1/8	Chord	3/4	1	2	1/8	1/8	1	40								
3	3	7	7	0.5		1/4	1/4	Chord	3/4	1	2	1/8	1/8	1	41								
3	3	15/2	15/2	0.5		3/8	3/8	Chord	3/4	1	2	1/8	1/8	1	42								
3	3	8	8	0.5		1/2	1/2	Chord	3/4	1	2	1/8	1/8	1	43								
3	3	17/2	17/2	0.5		5/8	5/8	Chord	3/4	1	2	1/8	1/8	1	44								
3	3	7	7	0.5		1/4	1/4	Chord	3/4	1	3	1/8	1/8	1	45								
4	4	9	9	0.25		0	0	Chord	3/4	1	1	1/16	1/16	1	46								
4	4	37/4	37/4	0.25		1/16	1/16	Chord	3/4	1	1	1/16	1/16	1	47								
4	4	19/2	19/2	0.5		1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	48								
4	4	21/2	21/2	0.25		3/8	3/8	Chord	3/4	1	1	1/16	1/16	1	49								
4	4	43/4	43/4	0.25		7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	50								
4	4	11	11	0.25		1/2	1/2	Chord	3/4	1	1	1/16	1/16	1	51								
4	4	45/4	45/4	0.25		9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	52								
4	4	23/2	23/2	0.25		5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	53								
4	4	47/4	47/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	54								
4	4	9	9	0.5		0	0	Chord	3/4	1	2	1/8	1/8	1	55								
4	4	19/2	19/2	0.5		1/8	1/8	Chord	3/4	1	2	1/8	1/8	1	56								
4	4	10	10	0.5		1/4	1/4	Chord	3/4	1	2	1/8	1/8	1	57								
4	4	21/2	21/2	0.5		3/8	3/8	Chord	3/4	1	2	1/8	1/8	1	58								
4	4	11	11	0.5		1/2	1/2	Chord	3/4	1	2	1/8	1/8	1	59								
4	4	23/2	23/2	0.5		5/8	5/8	Chord	3/4	1	2	1/8	1/8	1	60								
4	4	9	9	0.5		0	0	Chord	3/4	1	3	1/8	1/8	1	61								
5	5	12	12	1.0		0	0	Chord	3/4	1	1	1/4	1/4	1	62								
5	5	27/2	27/2	0.25		3/8	3/8	Chord	3/4	1	1	1/16	1/16	1	63								
5	5	55/4	55/4	0.25		7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	64								
5	5	14	14	0.25		1/2	1/2	Chord	3/4	1	1	1/16	1/16	1	65								
5	5	57/4	57/4	0.25		9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	66								
5	5	29/2	29/2	0.25		5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	67								
5	5	59/4	59/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	68								
5	5	12	12	0.5		0	0	Chord	3/4	1	2	1/8	1/8	1	69								
5	5	25/2	25/2	0.5		1/8	1/8	Chord	3/4	1	2	1/8	1/8	1	70								
5	5	13	13	0.5		1/4	1/4	Chord	3/4	1	2	1/8	1/8	1	71								
5	5	27/2	27/2	0.5		3/8	3/8	Chord	3/4	1	2	1/8	1/8	1	72								
5	5	14	14	0.5		1/2	1/2	Chord	3/4	1	2	1/8	1/8	1	73								
5	5	29/2	29/2	0.5		5/8	5/8	Chord	3/4	1	2	1/8	1/8	1	74								
6	6	15	15	0.25		0	0	Chord	3/4	1	1	1/16	1/16	1	75								
6	6	61/4	61/4	0.25		1/16	1/16	Chord	3/4	1	1	1/16	1/16	1	76								
6	6	31/2	31/2	0.25		1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	77								
6	6	63/4	63/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	78								
6	6	16	16	0.25		1/4	1/4	Chord	3/4	1	1	1/16	1/16	1	79								
6	6	65/4	65/4	0.25		5/16	5/16	Chord	3/4	1	1	1/16	1/16	1	80								
6	6	33/2	33/2	0.25		3/8	3/8	Chord	3/4	1	1	1/16	1/16	1	81								
6	6	67/4	67/4	0.25		7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	82								
6	6	17	17	0.25		1/2	1/2	Chord	3/4	1	1	1/16	1/16	1	83								
6	6	69/4	69/4	0.25		9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	84								
6	6	35/2	35/2	0.25		5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	85								
6	6	71/4	71/4	0.25		11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	86								
6	6	15	15	0.5		0	0	Chord	3/4	1	2	1/8	1/8	1	87								
6	6	31/2	31/2	0.5		1/8	1/8	Chord	3/4	1	2	1/8	1/8	1	88								
6	6	16	16	0.5		1/4	1/4	Chord	3/4	1	2	1/8	1/8	1	89								
6	6	33/2	33/2	0.5		3/8	3/8	Chord	3/4	1	2	1/8	1/8	1	90								
6	6	17	17	0.5		1/2	1/2	Chord	3/4	1	2	1/8	1/8	1	91								
6	6	35/2	35/2	0.5		5/8	5/8	Chord	3/4	1	2	1/8	1/8	1	92								
6	6	16	16	0.5		1/4	1/4	Chord	3/4	1	3	1/8	1/8	1	93								
7	7	18	18	0.25		0	0	Chord	3/4	1	1	1/16	1/16	1	94								
7	7	73/4	73/4	0.25		1/16	1/16	Chord	3/4	1	1	1/16	1/16	1	95								
7	7	37/2	37/2	0.25		1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	96								
7	7	75/4	75/4	0.25		3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	97								
7	7	19	19	0.25		1/4	1/4	Chord	3/4	1	1	1/16	1/16	1	98								
7	7	77/4	77/4	0.25		5/16	5/16	Chord	3/4	1	1	1/16	1/16	1	99								
7	7	39/2	39/2	0.25		3/8	3/8	Chord	3/4	1	1	1/16	1/16	1	100								
7	7	79/4	79/4	0.25		7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	101								
