mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	0	0	0	0.0	0	1/4	StaffText	3/8	1	1	0					GIGUE						
1	0	0	0	0.0	0	1/4	Tempo	3/8	1	1	0						𝅘𝅥.=88	132.0	𝅘𝅥.	88.0	0.0	
1	0	0	0	0.5	0	1/4	Chord	3/8	1	1	1/8	1/8	1	0								
2	1	1/2	1/2	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	1								
2	1	1	1	0.25	1/8	1/8	Chord	3/8	1	1	1/16	1/16	1	2								0
2	1	5/4	5/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	3								0
2	1	3/2	3/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	4								0
2	1	7/4	7/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	5								
3	2	2	2	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	6								1
3	2	5/2	5/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8	1/8	1	7								1
3	2	3	3	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	8								
4	3	7/2	7/2	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	9								2
4	3	4	4	0.5	1/8	1/8	Chord	3/8	1	1	1/8	1/8	1	10								
4	3	9/2	9/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	11								
5	4	5	5	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	12								3
5	4	11/2	11/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8	1/8	1	13								
5	4	6	6	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	14								
6	5	13/2	13/2	0.25	0	0	Chord	3/8	1	1	1/16	1/16	1	15								4
6	5	27/4	27/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	16								4
6	5	7	7	0.25	1/8	1/8	Chord	3/8	1	1	1/16	1/16	1	17								4
6	5	29/4	29/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	18								
6	5	15/2	15/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	19								
7	6	8	8	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	20								5
7	6	17/2	17/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8	1/8	1	21								
7	6	9	9	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	22								
8	7	19/2	19/2	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	23								6
8	7	10	10	0.5	1/8	1/8	Chord	3/8	1	1	1/8	1/8	1	24								
8	7	21/2	21/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	25								
9	8	11	11	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	26								7
9	8	23/2	23/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8	1/8	1	27								
9	8	12	12	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	28								
10	9	25/2	25/2	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	29								
10	9	13	13	0.5	1/8	1/8	Chord	3/8	1	1	1/8	1/8	1	30								8
10	9	27/2	27/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	31								
11	10	14	14	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	32								
11	10	29/2	29/2	0.25	1/8	1/8	Chord	3/8	1	1	1/16	1/16	1	33								9
11	10	59/4	59/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	34								9
11	10	15	15	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	35								9
