mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	0	0	0	0.0	0	1/4	Tempo	3/8	1	1	0					𝅘𝅥.=72	108.0	𝅘𝅥.	72.0	0.0	
1	0	0	0	0.5	0	1/4	Chord	3/8	1	1	1/8	1/8	1	0							
2	1	1/2	1/2	1.0	0	0	Chord	3/8	1	1	1/4	1/4	1	1							
2	1	3/2	3/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	2							
3	2	2	2	1.0	0	0	Chord	3/8	1	1	1/4	1/4	1	3							
3	2	3	3	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	4							
4	3	7/2	7/2	0.25	0	0	Chord	3/8	1	1	1/16	1/16	1	5							
4	3	15/4	15/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	6							
4	3	4	4	0.25	1/8	1/8	Chord	3/8	1	1	1/16	1/16	1	7							
4	3	17/4	17/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	8							
4	3	9/2	9/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	9							
5	4	5	5	1.0	0	0	Chord	3/8	1	1	1/4	1/4	1	10							
5	4	6	6	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	11							
6	5	13/2	13/2	0.25	0	0	Chord	3/8	1	1	1/16	1/16	1	12							0
6	5	27/4	27/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	13							0
6	5	7	7	0.5	1/8	1/8	Chord	3/8	1	1	1/8	1/8	1	14							
6	5	15/2	15/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	15							
7	6	8	8	0.25	0	0	Chord	3/8	1	1	1/16	1/16	1	16							1
7	6	33/4	33/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	17							1
7	6	17/2	17/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8	1/8	1	18							
7	6	9	9	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	19							
8	7	19/2	19/2	0.25	0	0	Chord	3/8	1	1	1/16	1/16	1	20							
8	7	39/4	39/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	21							
8	7	10	10	0.25	1/8	1/8	Chord	3/8	1	1	1/16	1/16	1	22							
8	7	41/4	41/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	23							
8	7	21/2	21/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	24							
8	7	43/4	43/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	25							
9	8	11	11	1.0	0	0	Chord	3/8	1	1	1/4	1/4	1	26	ornamentTrill						
9	8	12	12	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	27							
10	9	25/2	25/2	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	28							2
10	9	13	13	0.5	1/8	1/8	Chord	3/8	1	1	1/8	1/8	1	29							
10	9	27/2	27/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	30							
11	10	14	14	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	31							3
11	10	29/2	29/2	0.25	1/8	1/8	Chord	3/8	1	1	1/16	1/16	1	32							
11	10	59/4	59/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	33							4
11	10	15	15	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	34							4
11	10	61/4	61/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	35							
12	11	31/2	31/2	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	36							5
12	11	16	16	0.5	1/8	1/8	Chord	3/8	1	1	1/8	1/8	1	37							
12	11	33/2	33/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	38							
13	12	17	17	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	39							6
13	12	35/2	35/2	0.25	1/8	1/8	Chord	3/8	1	1	1/16	1/16	1	40							
13	12	71/4	71/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	41							7
13	12	18	18	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	42							7
13	12	73/4	73/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	43							
14	13	37/2	37/2	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	44							8
14	13	19	19	0.5	1/8	1/8	Chord	3/8	1	1	1/8	1/8	1	45							
14	13	39/2	39/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	46							
15	14	20	20	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	47							
15	14	41/2	41/2	0.25	1/8	1/8	Chord	3/8	1	1	1/16	1/16	1	48							9
15	14	83/4	83/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	49							9
15	14	21	21	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	50							9
15	14	85/4	85/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	51							
16	15	43/2	43/2	0.25	0	0	Chord	3/8	1	1	1/16	1/16	1	52							10
16	15	87/4	87/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	53							10
16	15	22	22	0.25	1/8	1/8	Chord	3/8	1	1	1/16	1/16	1	54							10
16	15	89/4	89/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	55							10
16	15	45/2	45/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	56							10
16	15	91/4	91/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	57							
16	15	43/2	43/2	1.5	0	0	Chord	3/8	1	2	3/8	1/4	3/2	58							
17	16	23	23	0.5	0	0	Chord	3/8	1	1	1/8	1/8	1	59							11
17	16	47/2	47/2	0.5	1/8	1/8	Chord	3/8	1	1	1/8	1/8	1	60							
17	16	24	24	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	61							
18	17	49/2	49/2	0.25	0	0	Chord	3/8	1	1	1/16	1/16	1	62							12
