mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	1	0	0	0.0	0	0	Tempo	3/2	1	1	0				𝅗𝅥=52	104.0	𝅗𝅥	52.0	0.0	
1	1	0	0	2.0	0	0	Chord	3/2	1	1	1/2	1/2	1	0						
1	1	2	2	3.0	1/2	1/2	Chord	3/2	1	1	3/4	1/2	3/2	1						
1	1	5	5	1.0	5/4	5/4	Chord	3/2	1	1	1/4	1/4	1	2						
1	1	0	0	2.0	0	0	Chord	3/2	1	2	1/2	1/2	1	3						
1	1	2	2	3.0	1/2	1/2	Chord	3/2	1	2	3/4	1/2	3/2	4						
1	1	0	0	2.0	0	0	Chord	3/2	1	3	1/2	1/2	1	5						
2	2	6	6	1.0	0	0	Chord	3/2	1	1	1/4	1/4	1	6						
2	2	7	7	1.0	1/4	1/4	Chord	3/2	1	1	1/4	1/4	1	7						
2	2	8	8	3.0	1/2	1/2	Chord	3/2	1	1	3/4	1/2	3/2	8						
2	2	11	11	1.0	5/4	5/4	Chord	3/2	1	1	1/4	1/4	1	9						
2	2	6	6	2.0	0	0	Chord	3/2	1	2	1/2	1/2	1	10						
2	2	8	8	3.0	1/2	1/2	Chord	3/2	1	2	3/4	1/2	3/2	11						
2	2	6	6	2.0	0	0	Chord	3/2	1	3	1/2	1/2	1	12						
2	2	6	6	2.0	0	0	Chord	3/2	1	4	1/2	1/2	1	13						
3	3	12	12	1.0	0	0	Chord	3/2	1	1	1/4	1/4	1	14						
3	3	13	13	1.0	1/4	1/4	Chord	3/2	1	1	1/4	1/4	1	15						
3	3	14	14	3.0	1/2	1/2	Chord	3/2	1	1	3/4	1/2	3/2	16						
3	3	17	17	1.0	5/4	5/4	Chord	3/2	1	1	1/4	1/4	1	17						
3	3	12	12	2.0	0	0	Chord	3/2	1	2	1/2	1/2	1	18						
3	3	14	14	3.0	1/2	1/2	Chord	3/2	1	2	3/4	1/2	3/2	19						
3	3	12	12	2.0	0	0	Chord	3/2	1	3	1/2	1/2	1	20						
3	3	14	14	3.0	1/2	1/2	Chord	3/2	1	3	3/4	1/2	3/2	21						
3	3	12	12	2.0	0	0	Chord	3/2	1	4	1/2	1/2	1	22						
4	4	18	18	1.0	0	0	Chord	3/2	1	1	1/4	1/4	1	23						0
4	4	19	19	1.0	1/4	1/4	Chord	3/2	1	1	1/4	1/4	1	24						
4	4	20	20	1.0	1/2	1/2	Chord	3/2	1	1	1/4	1/4	1	25						1
4	4	21	21	1.0	3/4	3/4	Chord	3/2	1	1	1/4	1/4	1	26						
4	4	22	22	2.0	1	1	Chord	3/2	1	1	1/2	1/2	1	27						
4	4	18	18	2.0	0	0	Chord	3/2	1	2	1/2	1/2	1	28						
4	4	18	18	2.0	0	0	Chord	3/2	1	3	1/2	1/2	1	29						
5	5	24	24	2.0	0	0	Chord	3/2	1	1	1/2	1/2	1	30						
5	5	26	26	3.0	1/2	1/2	Chord	3/2	1	1	3/4	1/2	3/2	31						
5	5	29	29	1.0	5/4	5/4	Chord	3/2	1	1	1/4	1/4	1	32						
5	5	24	24	2.0	0	0	Chord	3/2	1	2	1/2	1/2	1	33						
5	5	26	26	3.0	1/2	1/2	Chord	3/2	1	2	3/4	1/2	3/2	34						
