mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	0	0	0	0.0	0	1/2	Tempo	4/4	1	1	0					𝅘𝅥=144	144.0	𝅘𝅥	144.0	0.0	
1	0	0	0	0.5	0	1/2	Chord	4/4	1	1	1/8	1/8	1	0							
1	0	1/2	1/2	0.5	1/8	5/8	Chord	4/4	1	1	1/8	1/8	1	1							
1	0	1	1	1.0	1/4	3/4	Chord	4/4	1	1	1/4	1/4	1	2							
1	0	0	0	0.5	0	1/2	Chord	4/4	1	2	1/8	1/8	1	3							
2	1	2	2	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	4							
2	1	3	3	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	5							
2	1	4	4	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	6							
2	1	5	5	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	7							
2	1	3	3	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	8							
2	1	4	4	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	9							
2	1	5	5	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	10							
3	2	6	6	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	11							
3	2	13/2	13/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	12							
3	2	7	7	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	13							
3	2	15/2	15/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	14							
3	2	8	8	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	15							
3	2	17/2	17/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	16							
3	2	9	9	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	17							
3	2	6	6	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	18							
3	2	8	8	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	19							
3	2	8	8	0.5	1/2	1/2	Chord	4/4	1	3	1/8	1/8	1	20							
3	2	8	8	0.5	1/2	1/2	Chord	4/4	1	4	1/8	1/8	1	21							
4	3	10	10	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	22							
4	3	11	11	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	23							
4	3	12	12	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	24							
4	3	13	13	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	25							
4	3	11	11	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	26							
4	3	12	12	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	27							
4	3	13	13	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	28							
5	4	14	14	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	29							
5	4	16	16	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	30							
5	4	33/2	33/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	31							
5	4	17	17	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	32							
5	4	14	14	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	33							
5	4	16	16	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	34							
5	4	17	17	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	35							
6	5	18	18	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	36							
6	5	19	19	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	37							
6	5	20	20	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	38							0
6	5	41/2	41/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	39							0
6	5	21	21	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	40							0
6	5	43/2	43/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	41							
6	5	18	18	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	42							
6	5	19	19	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	43							
6	5	20	20	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	44							
6	5	21	21	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	45							
7	6	22	22	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	46							
7	6	24	24	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	47							
7	6	25	25	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	48							
7	6	22	22	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	49							
7	6	23	23	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	50							
7	6	24	24	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	51							
7	6	25	25	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	52							
8	7	26	26	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	53							
8	7	27	27	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	54							
8	7	28	28	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	55							
8	7	57/2	57/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	56							
8	7	29	29	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	57							
8	7	59/2	59/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	58							
8	7	26	26	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	59							
8	7	27	27	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	60							
8	7	28	28	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	61							
8	7	29	29	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	62							
9	8	30	30	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	63							
9	8	32	32	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	64							
9	8	65/2	65/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	65							
9	8	33	33	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	66							
9	8	30	30	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	67							
9	8	32	32	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	68							
9	8	30	30	2.0	0	0	Chord	4/4	1	3	1/2	1/2	1	69							
9	8	32	32	0.5	1/2	1/2	Chord	4/4	1	3	1/8	1/8	1	70							
10	9	34	34	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	71							
10	9	35	35	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	72							
10	9	36	36	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	73							
10	9	37	37	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	74							
10	9	35	35	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	75							
10	9	36	36	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	76							
10	9	37	37	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	77							
11	10	38	38	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	78							
11	10	77/2	77/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	79							
11	10	39	39	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	80							
11	10	79/2	79/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	81							
11	10	40	40	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	82							
11	10	81/2	81/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	83							
11	10	41	41	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	84							
11	10	38	38	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	85							
11	10	40	40	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	86							
12	11	42	42	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	87							
12	11	43	43	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	88							
12	11	44	44	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	89							
12	11	45	45	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	90							
12	11	43	43	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	91							
12	11	44	44	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	92							
12	11	45	45	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	93							
13	12	46	46	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	94							
13	12	48	48	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	95							1
13	12	97/2	97/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	96							1
13	12	49	49	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	97							1
13	12	99/2	99/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	98							
13	12	46	46	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	99							
13	12	48	48	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	100							
14	13	50	50	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	101							
14	13	101/2	101/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	102							
14	13	51	51	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	103							
14	13	103/2	103/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	104							
14	13	52	52	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	105							
14	13	105/2	105/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	106							
14	13	53	53	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	107							
14	13	107/2	107/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	108							
14	13	50	50	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	109							
14	13	51	51	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	110							
14	13	52	52	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	111							
14	13	53	53	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	112							
15	14	54	54	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	113							
15	14	109/2	109/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	114							
15	14	55	55	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	115							
15	14	111/2	111/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	116							
15	14	56	56	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	117							
15	14	113/2	113/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	118							
15	14	57	57	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	119							
15	14	115/2	115/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	120							
15	14	54	54	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	121							
15	14	55	55	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	122							
15	14	56	56	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	123							
15	14	57	57	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	124							
16	15	58	58	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	125							
16	15	117/2	117/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	126							
16	15	59	59	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	127							
16	15	119/2	119/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	128							
16	15	60	60	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	129							
16	15	121/2	121/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	130							
16	15	61	61	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	131							
16	15	123/2	123/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	132							
16	15	58	58	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	133							
16	15	60	60	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	134							
17	16	62	62	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	135							2
17	16	125/2	125/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	136							2
17	16	63	63	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	137							2
17	16	127/2	127/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	138							2
17	16	64	64	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	139							2
17	16	129/2	129/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	140							2
17	16	65	65	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	141							2
17	16	131/2	131/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	142							
17	16	62	62	4.0	0	0	Chord	4/4	1	2	1	1	1	143							
18	17	66	66	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	144							
18	17	133/2	133/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	145							
18	17	67	67	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	146							
18	17	135/2	135/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	147							
18	17	68	68	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	148							
18	17	137/2	137/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	149							
18	17	69	69	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	150							
18	17	139/2	139/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	151							
18	17	66	66	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	152							
18	17	67	67	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	153							
18	17	68	68	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	154							
18	17	69	69	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	155							
19	18	70	70	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	156							
19	18	141/2	141/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	157							
19	18	71	71	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	158							
19	18	143/2	143/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	159							
19	18	72	72	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	160							
19	18	145/2	145/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	161							
19	18	73	73	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	162							
19	18	147/2	147/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	163							
19	18	70	70	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	164							
19	18	71	71	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	165							
19	18	72	72	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	166							
19	18	73	73	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	167							
20	19	74	74	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	168							
20	19	149/2	149/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	169							
20	19	75	75	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	170							
20	19	151/2	151/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	171							
20	19	76	76	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	172							
20	19	153/2	153/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	173							
20	19	77	77	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	174							
20	19	155/2	155/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	175							
20	19	74	74	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	176							
20	19	76	76	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	177							
21	20	78	78	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	178							
21	20	80	80	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	179							
21	20	161/2	161/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	180							
21	20	81	81	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	181							
21	20	78	78	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	182							
21	20	80	80	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	183							
21	20	80	80	0.5	1/2	1/2	Chord	4/4	1	3	1/8	1/8	1	184							
22	21	82	82	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	185							
22	21	83	83	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	186							
22	21	84	84	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	187							
22	21	85	85	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	188							
22	21	83	83	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	189							
22	21	84	84	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	190							
22	21	85	85	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	191							
23	22	86	86	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	192							
23	22	173/2	173/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	193							
23	22	87	87	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	194							
23	22	175/2	175/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	195							
23	22	88	88	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	196							
23	22	177/2	177/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	197							
23	22	89	89	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	198							
23	22	86	86	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	199							
23	22	88	88	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	200							
23	22	88	88	0.5	1/2	1/2	Chord	4/4	1	3	1/8	1/8	1	201							
23	22	88	88	0.5	1/2	1/2	Chord	4/4	1	4	1/8	1/8	1	202							
24	23	90	90	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	203							
24	23	91	91	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	204							
24	23	92	92	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	205							
24	23	93	93	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	206							
24	23	91	91	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	207							
24	23	92	92	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	208							
24	23	93	93	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	209							
25	24	94	94	0.0	0	0	StaffText	4/4	1	1	0				Gavotte I da Capo						
25	24	94	94	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	210							
25	24	94	94	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	211							
