mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	0	0	0	0.0		0	15/16	Tempo	4/4	1	1	0					𝅘𝅥=66	66.0	𝅘𝅥	66.0	0.0	
1	0	0	0	0.25		0	15/16	Chord	4/4	1	1	1/16	1/16	1	0							
2	1	1/4	1/4	0.75		0	0	Chord	4/4	1	1	3/16	1/8	3/2	1							
2	1	1	1	0.25		3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	2							
2	1	5/4	5/4	0.75		1/4	1/4	Chord	4/4	1	1	3/16	1/8	3/2	3	ornamentTrill						
2	1	2	2	0.125		7/16	7/16	Chord	4/4	1	1	1/32	1/32	1	4							
2	1	17/8	17/8	0.125		15/32	15/32	Chord	4/4	1	1	1/32	1/32	1	5							
2	1	9/4	9/4	0.75		1/2	1/2	Chord	4/4	1	1	3/16	1/8	3/2	6							
2	1	3	3	0.125		11/16	11/16	Chord	4/4	1	1	1/32	1/32	1	7							
2	1	25/8	25/8	0.125		23/32	23/32	Chord	4/4	1	1	1/32	1/32	1	8							
2	1	13/4	13/4	0.375		3/4	3/4	Chord	4/4	1	1	3/32	1/16	3/2	9							
2	1	29/8	29/8	0.125		27/32	27/32	Chord	4/4	1	1	1/32	1/32	1	10							
2	1	15/4	15/4	0.375		7/8	7/8	Chord	4/4	1	1	3/32	1/16	3/2	11							
2	1	33/8	33/8	0.125		31/32	31/32	Chord	4/4	1	1	1/32	1/32	1	12							
2	1	1/4	1/4	0.75		0	0	Chord	4/4	1	2	3/16	1/8	3/2	13							
2	1	5/4	5/4	0.75		1/4	1/4	Chord	4/4	1	2	3/16	1/8	3/2	14							
2	1	9/4	9/4	0.75		1/2	1/2	Chord	4/4	1	2	3/16	1/8	3/2	15							
2	1	1/4	1/4	0.75		0	0	Chord	4/4	1	3	3/16	1/8	3/2	16							
2	1	9/4	9/4	0.75		1/2	1/2	Chord	4/4	1	3	3/16	1/8	3/2	17							
2	1	1/4	1/4	0.75		0	0	Chord	4/4	1	4	3/16	1/8	3/2	18							
2	1	9/4	9/4	0.75		1/2	1/2	Chord	4/4	1	4	3/16	1/8	3/2	19							
3	2	17/4	17/4	0.75		0	0	Chord	4/4	1	1	3/16	1/8	3/2	20							
3	2	5	5	0.125		3/16	3/16	Chord	4/4	1	1	1/32	1/32	1	21							
3	2	41/8	41/8	0.125		7/32	7/32	Chord	4/4	1	1	1/32	1/32	1	22							
3	2	21/4	21/4	0.375		1/4	1/4	Chord	4/4	1	1	3/32	1/16	3/2	23							
3	2	45/8	45/8	0.125		11/32	11/32	Chord	4/4	1	1	1/32	1/32	1	24							
3	2	23/4	23/4	0.375		3/8	3/8	Chord	4/4	1	1	3/32	1/16	3/2	25	ornamentTrill						
3	2	49/8	49/8	0.125		15/32	15/32	Chord	4/4	1	1	1/32	1/32	1	26							
3	2	25/4	25/4	0.375		1/2	1/2	Chord	4/4	1	1	3/32	1/16	3/2	27							
3	2	53/8	53/8	0.125		19/32	19/32	Chord	4/4	1	1	1/32	1/32	1	28							
3	2	27/4	27/4	0.375		5/8	5/8	Chord	4/4	1	1	3/32	1/16	3/2	29							
3	2	57/8	57/8	0.125		23/32	23/32	Chord	4/4	1	1	1/32	1/32	1	30							
3	2	29/4	29/4	0.375		3/4	3/4	Chord	4/4	1	1	3/32	1/16	3/2	31							
