mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible
1	1	0	0	0.0	0	0	StaffText	3/4	1	1	0					Sarabande					
1	1	0	0	0.0	0	0	Tempo	3/4	1	1	0						𝅘𝅥=96	96.0	𝅘𝅥	96.0	0.0
1	1	0	0	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	0							
1	1	1/2	1/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	1							
1	1	1	1	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	2							
1	1	3/2	3/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	3							
1	1	2	2	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	4							
1	1	5/2	5/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	5							
2	2	3	3	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	6							
2	2	5	5	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	7							
2	2	11/2	11/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	8							
3	3	6	6	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	9							
3	3	13/2	13/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	10							
3	3	7	7	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	11							
3	3	15/2	15/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	12							
3	3	8	8	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	13							
3	3	17/2	17/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	14							
4	4	9	9	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	15							
4	4	19/2	19/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	16							
4	4	10	10	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	17							
4	4	21/2	21/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	18							
4	4	11	11	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	19							
5	5	12	12	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	20							
5	5	25/2	25/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	21							
5	5	13	13	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	22							
5	5	27/2	27/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	23							
5	5	14	14	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	24							
5	5	29/2	29/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	25							
6	6	15	15	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	26							
6	6	16	16	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	27	ornamentShortTrill						
6	6	17	17	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	28							
7	7	18	18	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	29							
7	7	37/2	37/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	30							
7	7	19	19	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	31							
7	7	39/2	39/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	32							
7	7	20	20	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	33							
7	7	41/2	41/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	34							
8	8	21	21	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	35							
8	8	22	22	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	36	ornamentShortTrill						
8	8	23	23	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	37							
8	8	47/2	47/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	38							
9	9	24	24	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	39							
9	9	49/2	49/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	40							
9	9	25	25	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	41							
9	9	51/2	51/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	42							
9	9	26	26	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	43							
9	9	53/2	53/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	44							
10	10	27	27	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	45							
10	10	28	28	0.25	1/4	1/4	Chord	3/4	1	1	1/16	1/16	1	46							
10	10	113/4	113/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16	1/16	1	47							
10	10	57/2	57/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16	1/16	1	48							
10	10	115/4	115/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	49							
10	10	29	29	0.25	1/2	1/2	Chord	3/4	1	1	1/16	1/16	1	50							
10	10	117/4	117/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	51							
10	10	59/2	59/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	52							
11	11	30	30	0.25	0	0	Chord	3/4	1	1	1/16	1/16	1	53							
11	11	121/4	121/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16	1/16	1	54							
11	11	61/2	61/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16	1/16	1	55							
