piece	TimeSig	KeySig	last_mc	last_mn	length_qb	last_mc_unfolded	last_mn_unfolded	length_qb_unfolded	volta_mcs	all_notes_qb	n_onsets	n_onset_positions	guitar_chord_count	form_label_count	label_count	annotated_key	harmony_version	annotators	composed_start	composed_end	composed_source	composer	workTitle	movementNumber	movementTitle	workNumber	poet	lyricist	arranger	copyright	creationDate	mscVersion	platform	source	translator	title_text	subtitle_text	lyricist_text	composer_text	musescore	ms3_version	subdirectory	rel_path	has_drumset	ambitus	originalFormat	P86 (composer)	wikidata	viaf	musicbrainz	imslp	pdf	staff_1_ambitus	staff_1_instrument
BWV1001_01_Adagio	1: 4/4	1: -1	22	22	88.0	22	22	88.0		157.5	526	420	0	0	95	g	2.3.0	Adrian Nagel	1720	1720	https://en.wikipedia.org/wiki/Sonatas_and_Partitas_for_Solo_Violin_(Bach)	Johann Sebastian Bach	Sonata No. 1 in G minor	1	Adagio	BWV 1001					2020-02-19	3.02	Linux			1. Adagio	from: Sonata No. 1 in G minor, BWV 1001		Johann Sebastian Bach	3.6.2	2.5.2	MS3	MS3/BWV1001_01_Adagio.mscx	False	55-82 (G3-Bb5)	cap	Q1339	https://www.wikidata.org/wiki/Q20646569	https://viaf.org/viaf/178649074/	https://musicbrainz.org/work/a7c0ad42-a277-35c3-973f-e69c2214263d	https://imslp.org/wiki/Violin_Sonata_No.1_in_G_minor,_BWV_1001_(Bach,_Johann_Sebastian)	https://imslp.org/wiki/Special:ReverseLookup/497205	55-82 (G3-Bb5)	Violin
BWV1001_02_Fuga	1: 2/2	1: -1	94	94	376.0	94	94	376.0		642.5	1619	1143	0	0	324	g	2.3.0	Adrian Nagel	1720	1720	https://en.wikipedia.org/wiki/Sonatas_and_Partitas_for_Solo_Violin_(Bach)	Johann Sebastian Bach	Sonata No. 1 in G minor	2	Fuga (Allegro)	BWV 1001					2020-02-19	3.02	Linux			2. Fuga (Allegro)	from: Sonata No. 1 in G minor, BWV 1001		Johann Sebastian Bach	3.6.2	2.5.2	MS3	MS3/BWV1001_02_Fuga.mscx	False	55-89 (G3-F6)	cap	Q1339	https://www.wikidata.org/wiki/Q20646569	https://viaf.org/viaf/178649074/	https://musicbrainz.org/work/20a9c7e7-6d81-3e11-b886-566906b758b8	https://imslp.org/wiki/Violin_Sonata_No.1_in_G_minor,_BWV_1001_(Bach,_Johann_Sebastian)	https://imslp.org/wiki/Special:ReverseLookup/497205	55-89 (G3-F6)	Violin
BWV1001_03_Siciliano	1: 12/8	1: -1	20	20	120.0	20	20	120.0		196.0	511	356	0	0	113	Bb	2.3.0	Adrian Nagel	1720	1720	https://en.wikipedia.org/wiki/Sonatas_and_Partitas_for_Solo_Violin_(Bach)	Johann Sebastian Bach	Sonata No. 1 in G minor	3	Siciliana	BWV 1001					2020-02-19	3.02	Linux			3. Siciliana	from: Sonata No. 1 in G minor, BWV 1001		Johann Sebastian Bach	3.6.2	2.5.2	MS3	MS3/BWV1001_03_Siciliano.mscx	False	55-86 (G3-D6)	cap	Q1339	https://www.wikidata.org/wiki/Q20646569	https://viaf.org/viaf/178649074/	https://musicbrainz.org/work/b89f8b50-b671-3bc8-9640-c1cf23ce157b	https://imslp.org/wiki/Violin_Sonata_No.1_in_G_minor,_BWV_1001_(Bach,_Johann_Sebastian)	https://imslp.org/wiki/Special:ReverseLookup/497205	55-86 (G3-D6)	Violin
BWV1001_04_Presto	1: 3/8	1: -1	136	136	204.0	272	272	408.0		214.0	812	802	0	0	213	g	2.3.0	Adrian Nagel	1720	1720	https://en.wikipedia.org/wiki/Sonatas_and_Partitas_for_Solo_Violin_(Bach)	Johann Sebastian Bach	Sonata No. 1 in G minor	4	Presto	BWV 1001					2020-02-19	3.02	Linux			4. Presto	from: Sonata No. 1 in G minor, BWV 1001		Johann Sebastian Bach	3.6.2	2.5.2	MS3	MS3/BWV1001_04_Presto.mscx	False	55-86 (G3-D6)	cap	Q1339	https://www.wikidata.org/wiki/Q20646569	https://viaf.org/viaf/178649074/	https://musicbrainz.org/work/d3c98683-e7ed-33e9-be1d-e577f54bf16f	https://imslp.org/wiki/Violin_Sonata_No.1_in_G_minor,_BWV_1001_(Bach,_Johann_Sebastian)	https://imslp.org/wiki/Special:ReverseLookup/497205	55-86 (G3-D6)	Violin
BWV1002_01_Allemanda	1: 4/4	1: 2	27	24	104.25	49	48	192.25	[[[13], [14]], [[26], [27]]]	149.63	536	460	0	0	97	b	2.3.0	Adrian Nagel	1720	1720	https://en.wikipedia.org/wiki/Sonatas_and_Partitas_for_Solo_Violin_(Bach)	Johann Sebastian Bach	Partita No. 1 in B minor	1	Allemanda	BWV 1002					2020-02-19	3.02	Linux			1. Allemanda	from: Partita No. 1 in B minor, BWV 1002		Johann Sebastian Bach	3.6.2	2.5.2	MS3	MS3/BWV1002_01_Allemanda.mscx	False	55-86 (G3-D6)	cap	Q1339	https://www.wikidata.org/wiki/Q7140627	https://viaf.org/viaf/178649074/	https://musicbrainz.org/work/0d94a02f-68d6-308f-bb9c-285df919ea02	https://imslp.org/wiki/Violin_Partita_No.1_in_B_minor,_BWV_1002_(Bach,_Johann_Sebastian)	https://imslp.org/wiki/Special:ReverseLookup/497205	55-86 (G3-D6)	Violin
BWV1002_02_Double	1: 2/2	1: 2	26	24	96.0	52	48	192.0		96.0	380	380	0	0	87	b	2.3.0	Adrian Nagel	1720	1720	https://en.wikipedia.org/wiki/Sonatas_and_Partitas_for_Solo_Violin_(Bach)	Johann Sebastian Bach	Partita No. 1 in B minor	2	Double	BWV 1002					2020-02-19	3.02	Linux			2. Double	from: Partita No. 1 in B minor, BWV 1002		Johann Sebastian Bach	3.6.2	2.5.2	MS3	MS3/BWV1002_02_Double.mscx	False	55-86 (G3-D6)	cap	Q1339	https://www.wikidata.org/wiki/Q7140627	https://viaf.org/viaf/178649074/	https://musicbrainz.org/work/d626b918-56e7-3d5a-9b4d-be6fedfe0288	https://imslp.org/wiki/Violin_Partita_No.1_in_B_minor,_BWV_1002_(Bach,_Johann_Sebastian)	https://imslp.org/wiki/Special:ReverseLookup/497205	55-86 (G3-D6)	Violin
BWV1002_03_Corrente	1: 3/4	1: 2	82	80	240.0	164	160	480.0		240.5	476	474	0	0	109	b	2.3.0	Adrian Nagel	1720	1720	https://en.wikipedia.org/wiki/Sonatas_and_Partitas_for_Solo_Violin_(Bach)	Johann Sebastian Bach	Partita No. 1 in B minor	3	Corrente	BWV 1002					2020-02-19	3.02	Linux			3. Corrente	from: Partita No. 1 in B minor, BWV 1002		Johann Sebastian Bach	3.6.2	2.5.2	MS3	MS3/BWV1002_03_Corrente.mscx	False	55-86 (G3-D6)	cap	Q1339	https://www.wikidata.org/wiki/Q7140627	https://viaf.org/viaf/178649074/	https://musicbrainz.org/work/042655ab-73f8-3330-bc76-f78a0a6b246c	https://imslp.org/wiki/Violin_Partita_No.1_in_B_minor,_BWV_1002_(Bach,_Johann_Sebastian)	https://imslp.org/wiki/Special:ReverseLookup/497205	55-86 (G3-D6)	Violin
BWV1002_04_Double	1: 3/4	1: 2	82	80	240.0	164	160	480.0		240.0	955	955	0	0	121	b	2.3.0	Adrian Nagel	1720	1720	https://en.wikipedia.org/wiki/Sonatas_and_Partitas_for_Solo_Violin_(Bach)	Johann Sebastian Bach	Partita No. 1 in B minor	4	Double (Presto)	BWV 1002					2020-02-19	3.02	Linux			4. Double (Presto)	from: Partita No. 1 in B minor, BWV 1002		Johann Sebastian Bach	3.6.2	2.5.2	MS3	MS3/BWV1002_04_Double.mscx	False	56-88 (G#3-E6)	cap	Q1339	https://www.wikidata.org/wiki/Q7140627	https://viaf.org/viaf/178649074/	https://musicbrainz.org/work/eac41a90-ba07-3a21-9c3f-2bd0191cfb0c	https://imslp.org/wiki/Violin_Partita_No.1_in_B_minor,_BWV_1002_(Bach,_Johann_Sebastian)	https://imslp.org/wiki/Special:ReverseLookup/497205	56-88 (G#3-E6)	Violin
BWV1002_05_Sarabande	1: 3/4	1: 2	33	32	99.0	64	64	192.0	[[[8], [9]]]	240.5	268	146	0	0	68	b	2.3.0	Adrian Nagel	1720	1720	https://en.wikipedia.org/wiki/Sonatas_and_Partitas_for_Solo_Violin_(Bach)	Johann Sebastian Bach	Partita No. 1 in B minor	5	Sarabande	BWV 1002					2020-02-19	3.02	Linux			5. Sarabande	from: Partita No. 1 in B minor, BWV 1002		Johann Sebastian Bach	3.6.2	2.5.2	MS3	MS3/BWV1002_05_Sarabande.mscx	False	55-84 (G3-C6)	cap	Q1339	https://www.wikidata.org/wiki/Q7140627	https://viaf.org/viaf/178649074/	https://musicbrainz.org/work/ec70bb59-0aab-3da8-8264-287b23d4a5de	https://imslp.org/wiki/Violin_Partita_No.1_in_B_minor,_BWV_1002_(Bach,_Johann_Sebastian)	https://imslp.org/wiki/Special:ReverseLookup/497205	55-84 (G3-C6)	Violin
BWV1002_06_Double	1: 9/8	1: 2	34	32	153.0	64	64	288.0	[[[8], [9]], [[33], [34]]]	153.0	299	299	0	0	56	b	2.3.0	Adrian Nagel	1720	1720	https://en.wikipedia.org/wiki/Sonatas_and_Partitas_for_Solo_Violin_(Bach)	Johann Sebastian Bach	Partita No. 1 in B minor	6	Double	BWV 1002					2020-02-19	3.02	Linux			6. Double	from: Partita No. 1 in B minor, BWV 1002		Johann Sebastian Bach	3.6.2	2.5.2	MS3	MS3/BWV1002_06_Double.mscx	False	55-85 (G3-C#6)	cap	Q1339	https://www.wikidata.org/wiki/Q7140627	https://viaf.org/viaf/178649074/	https://musicbrainz.org/work/a0fa9f38-f167-39b3-8a95-7c8cd820d26c	https://imslp.org/wiki/Violin_Partita_No.1_in_B_minor,_BWV_1002_(Bach,_Johann_Sebastian)	https://imslp.org/wiki/Special:ReverseLookup/497205	55-85 (G3-C#6)	Violin
