mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	3/4	2/2	1	1	C.I6{		C	I		I6	I		6				{	M	0	0	4, 1, 0		0	4
2	1	1/4	1/4	2/2	1	1	I		C	I		I	I							M	0	0	0, 4, 1		0	0
3	2	0	0	2/2	1	1	V		C	I		V	V							M	0	0	1, 5, 2		1	1
4	3	0	0	2/2	1	1	viio		C	I		viio	vii	o						o	0	0	5, 2, -1		5	5
4	3	1/2	1/2	2/2	1	1	V6		C	I		V6	V		6					M	0	0	5, 2, 1		1	5
5	4	0	0	2/2	1	1	I(4)		C	I		I(4)	I			4				M	0	0	0, -1, 1		0	0
5	4	1/4	1/4	2/2	1	1	I|PAC}		C	I		I	I					PAC	}	M	0	0	0, 4, 1		0	0
5	4	3/4	3/4	2/2	1	1	{		C	I									{		0	0				
6	5	0	0	2/2	1	1	V.ii		C	V		ii	ii							m	0	0	2, -1, 3		2	2
6	5	1/4	1/4	2/2	1	1	IV64		C	V		IV64	IV		64					M	0	0	0, -1, 3		-1	0
6	5	1/2	1/2	2/2	1	1	viio		C	V		viio	vii	o						o	0	0	5, 2, -1		5	5
6	5	3/4	3/4	2/2	1	1	IV6		C	V		IV6	IV		6					M	0	0	3, 0, -1		-1	3
7	6	0	0	2/2	1	1	I64		C	V		I64	I		64					M	0	0	1, 0, 4		0	1
7	6	1/4	1/4	2/2	1	1	IV		C	V		IV	IV							M	0	0	-1, 3, 0		-1	-1
7	6	1/2	1/2	2/2	1	1	I6(72)		C	V		I6(72)	I		6	72				M	0	0	4, 1, 2, 5		0	4
8	7	0	0	2/2	1	1	I		C	V		I	I							M	0	0	0, 4, 1		0	0
8	7	1/2	1/2	2/2	1	1	V		C	V		V	V							M	0	0	1, 5, 2		1	1
9	8	0	0	2/2	1	1	I|PAC}		C	V		I	I					PAC	}	M	0	0	0, 4, 1		0	0
9	8	3/4	3/4	2/2	1	1	I6{		C	V		I6	I		6				{	M	0	0	4, 1, 0		0	4
10	9	1/4	1/4	2/2	1	1	I		C	V		I	I							M	0	0	0, 4, 1		0	0
10	9	1/2	1/2	2/2	1	1	V2/IV		C	V		V2/IV	V		2		IV			Mm7	0	0	-2, 0, 4, 1		0	-2
11	10	0	0	2/2	1	1	IV6		C	V		IV6	IV		6					M	0	0	3, 0, -1		-1	3
11	10	3/4	3/4	2/2	1	1	vi.V6		C	vi		V6	V		6					M	0	1	5, 2, 1		1	5
12	11	0	0	2/2	1	1	i		C	vi		i	i							m	0	1	0, -3, 1		0	0
12	11	1/4	1/4	2/2	1	1	iv6		C	vi		iv6	iv		6					m	0	1	-4, 0, -1		-1	-4
12	11	1/2	1/2	2/2	1	1	iv7		C	vi		iv7	iv		7					mm7	0	1	-1, -4, 0, -3		-1	-1
13	12	0	0	2/2	1	1	V|HC}		C	vi		V	V					HC	}	M	0	1	1, 5, 2		1	1
13	12	3/4	3/4	2/2	1	1	{		C	vi									{		0	1				
14	13	0	0	2/2	1	1	i		C	vi		i	i							m	0	1	0, -3, 1		0	0
14	13	1/2	1/2	2/2	1	1	V		C	vi		V	V							M	0	1	1, 5, 2		1	1
14	13	3/4	3/4	2/2	1	1	V(64)		C	vi		V(64)	V			64				M	0	1	1, 0, -3		1	1
15	14	0	0	2/2	1	1	V7		C	vi		V7	V		7					Mm7	0	1	1, 5, 2, -1		1	1
15	14	1/2	1/2	2/2	1	1	V(64)		C	vi		V(64)	V			64				M	0	1	1, 0, -3		1	1
15	14	3/4	3/4	2/2	1	1	iv	iio6	C	vi		iv	iv							m	0	1	-1, -4, 0		-1	-1
16	15	0	0	2/2	1	1	i6		C	vi		i6	i		6					m	0	1	-3, 1, 0		0	-3
16	15	1/2	1/2	2/2	1	1	V		C	vi		V	V							M	0	1	1, 5, 2		1	1
17	16	0	0	2/2	1	1	i|PAC}		C	vi		i	i					PAC	}	m	0	1	0, -3, 1		0	0
17	16	3/4	3/4	2/2	1	1	{		C	vi									{		0	1				
18	17	1/4	1/4	2/2	1	1	I.V/V		C	I		V/V	V				V			M	0	0	2, 6, 3		2	2
19	18	0	0	2/2	1	1	V(4)		C	I		V(4)	V			4				M	0	0	1, 0, 2		1	1
19	18	1/2	1/2	2/2	1	1	V		C	I		V	V							M	0	0	1, 5, 2		1	1
20	19	0	0	2/2	1	1	I6		C	I		I6	I		6					M	0	0	4, 1, 0		0	4
20	19	1/2	1/2	2/2	1	1	viio6		C	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
20	19	3/4	3/4	2/2	1	1	I		C	I		I	I							M	0	0	0, 4, 1		0	0
21	20	0	0	2/2	1	1	V|HC}		C	I		V	V					HC	}	M	0	0	1, 5, 2		1	1
21	20	3/4	3/4	2/2	1	1	V6{		C	I		V6	V		6				{	M	0	0	5, 2, 1		1	5
22	21	1/4	1/4	2/2	1	1	V		C	I		V	V							M	0	0	1, 5, 2		1	1
22	21	3/4	3/4	2/2	1	1	viio6		C	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
23	22	1/4	1/4	2/2	1	1	viio		C	I		viio	vii	o						o	0	0	5, 2, -1		5	5
23	22	3/4	3/4	2/2	1	1	V7		C	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
24	23	0	0	2/2	1	1	V(64)		C	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
25	24	0	0	2/2	1	1	I6		C	I		I6	I		6					M	0	0	4, 1, 0		0	4
25	24	1/4	1/4	2/2	1	1	viio6		C	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
25	24	1/2	1/2	2/2	1	1	V(64)		C	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
26	25	0	0	2/2	1	1	ii		C	I		ii	ii							m	0	0	2, -1, 3		2	2
26	25	1/4	1/4	2/2	1	1	IV64		C	I		IV64	IV		64					M	0	0	0, -1, 3		-1	0
26	25	1/2	1/2	2/2	1	1	viio		C	I		viio	vii	o						o	0	0	5, 2, -1		5	5
26	25	3/4	3/4	2/2	1	1	IV6		C	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
27	26	0	0	2/2	1	1	I64		C	I		I64	I		64					M	0	0	1, 0, 4		0	1
27	26	1/4	1/4	2/2	1	1	IV		C	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
27	26	1/2	1/2	2/2	1	1	I6(72)		C	I		I6(72)	I		6	72				M	0	0	4, 1, 2, 5		0	4
28	27	0	0	2/2	1	1	I		C	I		I	I							M	0	0	0, 4, 1		0	0
28	27	1/2	1/2	2/2	1	1	V		C	I		V	V							M	0	0	1, 5, 2		1	1
29	28	0	0	2/2	1	1	I|PAC}		C	I		I	I					PAC	}	M	0	0	0, 4, 1		0	0
