mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	1.0	0	0	4/4	1	1	.a.i{	a	i		i	i						{	m	1	1	0, -3, 1		0	0
1	1	1	1.0	1/4	1/4	4/4	1	1	v6	a	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
1	1	2	1.0	1/2	1/2	4/4	1	1	iv6	a	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
1	1	3	1.0	3/4	3/4	4/4	1	1	i64	a	i		i64	i		64					m	1	1	1, 0, -3		0	1
2	2	4	1.0	0	0	4/4	1	1	iv	a	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
2	2	5	1.0	1/4	1/4	4/4	1	1	V65/V	a	i		V65/V	V		65		V			Mm7	1	1	6, 3, 0, 2		2	6
2	2	6	1.0	1/2	1/2	4/4	1	1	V}	a	i		V	V						}	M	1	1	1, 5, 2		1	1
2	2	7	1.0	3/4	3/4	4/4	1	1	#viio7{	a	i		#viio7	#vii	o	7				{	o7	1	1	5, 2, -1, -4		5	5
3	3	8	1.0	0	0	4/4	1	1	i	a	i		i	i							m	1	1	0, -3, 1		0	0
3	3	9	1.0	1/4	1/4	4/4	1	1	VI6	a	i		VI6	VI		6					M	1	1	0, -3, -4		-4	0
3	3	10	1.5	1/2	1/2	4/4	1	1	V6/VI	a	i		V6/VI	V		6		VI			M	1	1	1, -2, -3		-3	1
3	3	23/2	0.5	7/8	7/8	4/4	1	1	V65/VI	a	i		V65/VI	V		65		VI			Mm7	1	1	1, -2, -5, -3		-3	1
4	4	12	1.0	0	0	4/4	1	1	VI	a	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
4	4	13	1.0	1/4	1/4	4/4	1	1	III	a	i		III	III							M	1	1	-3, 1, -2		-3	-3
4	4	14	1.0	1/2	1/2	4/4	1	1	V2/III	a	i		V2/III	V		2		III			Mm7	1	1	-4, -2, 2, -1		-2	-4
4	4	15	1.0	3/4	3/4	4/4	1	1	III6	a	i		III6	III		6					M	1	1	1, -2, -3		-3	1
5	5	16	1.0	0	0	4/4	1	1	V6/III	a	i		V6/III	V		6		III			M	1	1	2, -1, -2		-2	2
5	5	17	1.0	1/4	1/4	4/4	1	1	ii/III	a	i		ii/III	ii				III			m	1	1	-1, -4, 0		-1	-1
5	5	18	2.0	1/2	1/2	4/4	1	1	III	a	i		III	III							M	1	1	-3, 1, -2		-3	-3
6	6	20	1.0	0	0	4/4	1	1	viio6/V/III	a	i		viio6/V/III	vii	o	6		V/III			o	1	1	0, -3, 3		3	0
6	6	21	1.0	1/4	1/4	4/4	1	1	IV6/III	a	i		IV6/III	IV		6		III			M	1	1	0, -3, -4		-4	0
6	6	22	0.5	1/2	1/2	4/4	1	1	III64	a	i		III64	III		64					M	1	1	-2, -3, 1		-3	-2
6	6	45/2	0.5	5/8	5/8	4/4	1	1	IV/III	a	i		IV/III	IV				III			M	1	1	-4, 0, -3		-4	-4
6	6	23	1.0	3/4	3/4	4/4	1	1	V/III	a	i		V/III	V				III			M	1	1	-2, 2, -1		-2	-2
7	7	24	2.0	0	0	4/4	1	1	III}	a	i		III	III						}	M	1	1	-3, 1, -2		-3	-3
7	7	197/8	0.0	5/32	5/32	4/4	1	1	{	a	i									{		1	1				
7	7	26	0.5	1/2	1/2	4/4	1	1	V64	a	i		V64	V		64					M	1	1	2, 1, 5		1	2
7	7	53/2	0.5	5/8	5/8	4/4	1	1	iv64	a	i		iv64	iv		64					m	1	1	0, -1, -4		-1	0
