mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	2/2	1	1	.a.i{		a	i		i	i						{	m	1	1	0, -3, 1		0	0
2	2	3/8	3/8	2/2	1	1	V6		a	i		V6	V		6					M	1	1	5, 2, 1		1	5
2	2	1/2	1/2	2/2	1	1	i		a	i		i	i							m	1	1	0, -3, 1		0	0
2	2	7/8	7/8	2/2	1	1	V6		a	i		V6	V		6					M	1	1	5, 2, 1		1	5
3	3	0	0	2/2	1	1	i		a	i		i	i							m	1	1	0, -3, 1		0	0
3	3	1/8	1/8	2/2	1	1	#viio6		a	i		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
3	3	1/4	1/4	2/2	1	1	i6		a	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
3	3	3/8	3/8	2/2	1	1	iio6	iv	a	i		iio6	ii	o	6					o	1	1	-1, -4, 2		2	-1
3	3	1/2	1/2	2/2	1	1	V		a	i		V	V							M	1	1	1, 5, 2		1	1
3	3	5/8	5/8	2/2	1	1	iio6	iv	a	i		iio6	ii	o	6					o	1	1	-1, -4, 2		2	-1
3	3	3/4	3/4	2/2	1	1	V43		a	i		V43	V		43					Mm7	1	1	2, -1, 1, 5		1	2
4	4	0	0	2/2	1	1	i		a	i		i	i							m	1	1	0, -3, 1		0	0
4	4	1/8	1/8	2/2	1	1	#viio6		a	i		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
4	4	1/4	1/4	2/2	1	1	i6		a	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
4	4	3/8	3/8	2/2	1	1	iio6	iv	a	i		iio6	ii	o	6					o	1	1	-1, -4, 2		2	-1
4	4	1/2	1/2	2/2	1	1	V		a	i		V	V							M	1	1	1, 5, 2		1	1
4	4	5/8	5/8	2/2	1	1	iio6	iv	a	i		iio6	ii	o	6					o	1	1	-1, -4, 2		2	-1
4	4	3/4	3/4	2/2	1	1	V43		a	i		V43	V		43					Mm7	1	1	2, -1, 1, 5		1	2
5	5	0	0	2/2	1	1	i		a	i		i	i							m	1	1	0, -3, 1		0	0
5	5	1/2	1/2	2/2	1	1	V65		a	i		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
6	6	0	0	2/2	1	1	i		a	i		i	i							m	1	1	0, -3, 1		0	0
6	6	1/2	1/2	2/2	1	1	V65		a	i		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
7	7	0	0	2/2	1	1	i7		a	i		i7	i		7					mm7	1	1	0, -3, 1, -2		0	0
7	7	1/4	1/4	2/2	1	1	VI6		a	i		VI6	VI		6					M	1	1	0, -3, -4		-4	0
7	7	1/2	1/2	2/2	1	1	VII7		a	i		VII7	VII		7					Mm7	1	1	-2, 2, -1, -4		-2	-2
7	7	3/4	3/4	2/2	1	1	v6		a	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
