mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	1.5	0	1/4	3/8	1	1	.d.i{	d	i		i	i						{	m	1	1	0, -3, 1		0	0
2	1	3/2	2.0	1/4	1/4	3/8	1	1	#viio7	d	i		#viio7	#vii	o	7					o7	1	1	5, 2, -1, -4		5	5
4	3	7/2	1.5	0	0	3/8	1	1	i6	d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
5	4	5	1.5	0	0	3/8	1	1	i	d	i		i	i							m	1	1	0, -3, 1		0	0
6	5	13/2	1.5	0	0	3/8	1	1	viio/III	d	i		viio/III	vii	o			III			o	1	1	2, -1, -4		2	2
7	6	8	1.5	0	0	3/8	1	1	V/III	d	i		V/III	V				III			M	1	1	-2, 2, -1		-2	-2
8	7	19/2	1.5	0	0	3/8	1	1	III6	d	i		III6	III		6					M	1	1	1, -2, -3		-3	1
9	8	11	1.5	0	0	3/8	1	1	III}	d	i		III	III						}	M	1	1	-3, 1, -2		-3	-3
10	9	25/2	1.0	0	0	3/8	1	1	IV6{	d	i		IV6	IV		6				{	M	1	1	3, 0, -1		-1	3
10	9	27/2	0.5	1/4	1/4	3/8	1	1	#viio	d	i		#viio	#vii	o						o	1	1	5, 2, -1		5	5
11	10	14	1.0	0	0	3/8	1	1	i	d	i		i	i							m	1	1	0, -3, 1		0	0
11	10	15	0.5	1/4	1/4	3/8	1	1	VI	d	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
12	11	31/2	1.0	0	0	3/8	1	1	IV6/VI	d	i		IV6/VI	IV		6		VI			M	1	1	-1, -4, -5		-5	-1
12	11	33/2	0.5	1/4	1/4	3/8	1	1	viio/VI	d	i		viio/VI	vii	o			VI			o	1	1	1, -2, -5		1	1
13	12	17	1.0	0	0	3/8	1	1	VI	d	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
13	12	18	0.5	1/4	1/4	3/8	1	1	iv	d	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
