mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	1/2	2/2	1	1	.C.V{		C	I		V	V							{	M	0	0	1, 5, 2		1	1
2	2	0	0	2/2	1	1	vi		C	I		vi	vi								m	0	0	3, 0, 4		3	3
2	2	1/2	1/2	2/2	1	1	I6		C	I		I6	I		6						M	0	0	4, 1, 0		0	4
3	3	0	0	2/2	1	1	V		C	I		V	V								M	0	0	1, 5, 2		1	1
3	3	1/2	1/2	2/2	1	1	viio6		C	I		viio6	vii	o	6						o	0	0	2, -1, 5		5	2
5	5	0	0	2/2	1	1	I6		C	I		I6	I		6						M	0	0	4, 1, 0		0	4
5	5	1/2	1/2	2/2	1	1	vi		C	I		vi	vi								m	0	0	3, 0, 4		3	3
6	6	0	0	2/2	1	1	III6		C	I		III6	III		6						M	0	0	8, 5, 4		4	8
6	6	1/2	1/2	2/2	1	1	iii6		C	I		iii6	iii		6						m	0	0	1, 5, 4		4	1
6	6	3/4	3/4	2/2	1	1	viio64/II		C	I		viio64/II	vii	o	64		II				o	0	0	1, 7, 4		7	1
7	7	0	0	2/2	1	1	II6		C	I		II6	II		6						M	0	0	6, 3, 2		2	6
7	7	1/2	1/2	2/2	1	1	ii6		C	I		ii6	ii		6						m	0	0	-1, 3, 2		2	-1
7	7	3/4	3/4	2/2	1	1	viio64		C	I		viio64	vii	o	64						o	0	0	-1, 5, 2		5	-1
8	8	0	0	2/2	1	1	I6		C	I		I6	I		6						M	0	0	4, 1, 0		0	4
8	8	1/4	1/4	2/2	1	1	viio6		C	I		viio6	vii	o	6						o	0	0	2, -1, 5		5	2
8	8	1/2	1/2	2/2	1	1	I6		C	I		I6	I		6						M	0	0	4, 1, 0		0	4
8	8	3/4	3/4	2/2	1	1	V6/V		C	I		V6/V	V		6		V				M	0	0	6, 3, 2		2	6
