mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	1/8	1/8	2/2	1	1	.g.i{	V{	g	i		i		i						{	m	1	1	0, -3, 1		0	0
2	2	0	0	2/2	1	1	i		g	i		i		i							m	1	1	0, -3, 1		0	0
2	2	1/4	1/4	2/2	1	1	VI6		g	i		VI6		VI		6					M	1	1	0, -3, -4		-4	0
2	2	1/2	1/2	2/2	1	1	v6(42)		g	i		v6(42)		v		6	42				m	1	1	0, 2, -4		1	0
2	2	3/4	3/4	2/2	1	1	v		g	i		v		v							m	1	1	1, -2, 2		1	1
3	3	0	0	2/2	1	1	iv6(2)		g	i		iv6(2)		iv		6	2				m	1	1	-4, 0, 1		-1	-4
3	3	1/4	1/4	2/2	1	1	iv6		g	i		iv6		iv		6					m	1	1	-4, 0, -1		-1	-4
3	3	1/2	1/2	2/2	1	1	v(64)		g	i		v(64)		v			64				m	1	1	1, 0, -3		1	1
3	3	3/4	3/4	2/2	1	1	v		g	i		v		v							m	1	1	1, -2, 2		1	1
4	4	0	0	2/2	1	1	VI6		g	i		VI6		VI		6					M	1	1	0, -3, -4		-4	0
4	4	1/4	1/4	2/2	1	1	iio6(2)		g	i		iio6(2)		ii	o	6	2				o	1	1	-1, -4, -3		2	-1
4	4	1/2	1/2	2/2	1	1	V2		g	i		V2		V		2					Mm7	1	1	-1, 1, 5, 2		1	-1
4	4	3/4	3/4	2/2	1	1	i6		g	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
5	5	0	0	2/2	1	1	ii(4)		g	i		ii(4)		ii			4				m	1	1	2, 1, 3		2	2
5	5	1/4	1/4	2/2	1	1	V7		g	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
5	5	1/2	1/2	2/2	1	1	i}		g	i		i		i						}	m	1	1	0, -3, 1		0	0
5	5	3/4	3/4	2/2	1	1	III6{		g	i		III6		III		6				{	M	1	1	1, -2, -3		-3	1
6	6	0	0	2/2	1	1	iv65		g	i		iv65		iv		65					mm7	1	1	-4, 0, -3, -1		-1	-4
6	6	1/2	1/2	2/2	1	1	V7		g	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
6	6	3/4	3/4	2/2	1	1	i		g	i		i		i							m	1	1	0, -3, 1		0	0
7	7	0	0	2/2	1	1	v		g	i		v		v							m	1	1	1, -2, 2		1	1
7	7	1/2	1/2	2/2	1	1	#viio7/iv		g	i		#viio7/iv		#vii	o	7		iv			o7	1	1	4, 1, -2, -5		4	4
8	8	0	0	2/2	1	1	iv		g	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
8	8	1/2	1/2	2/2	1	1	vii%7/III		g	i		vii%7/III		vii	%	7		III			%7	1	1	2, -1, -4, 0		2	2
9	9	0	0	2/2	1	1	III		g	i		III		III							M	1	1	-3, 1, -2		-3	-3
9	9	1/4	1/4	2/2	1	1	i		g	i		i		i							m	1	1	0, -3, 1		0	0
9	9	1/2	1/2	2/2	1	1	#vi%7		g	i		#vi%7		#vi	%	7					%7	1	1	3, 0, -3, 1		3	3
10	10	0	0	2/2	1	1	#viio7		g	i		#viio7		#vii	o	7					o7	1	1	5, 2, -1, -4		5	5
10	10	1/2	1/2	2/2	1	1	i		g	i		i		i							m	1	1	0, -3, 1		0	0
10	10	5/8	5/8	2/2	1	1	v6		g	i		v6		v		6					m	1	1	-2, 2, 1		1	-2
10	10	3/4	3/4	2/2	1	1	iv6(2)		g	i		iv6(2)		iv		6	2				m	1	1	-4, 0, 1		-1	-4
10	10	7/8	7/8	2/2	1	1	iv6		g	i		iv6		iv		6					m	1	1	-4, 0, -1		-1	-4
11	11	0	0	2/2	1	1	V}		g	i		V		V						}	M	1	1	1, 5, 2		1	1
11	11	1/4	1/4	2/2	1	1	i{		g	i		i		i						{	m	1	1	0, -3, 1		0	0
11	11	1/2	1/2	2/2	1	1	iv65		g	i		iv65		iv		65					mm7	1	1	-4, 0, -3, -1		-1	-4
