mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	1/4	1/4	4.75	1/16	1/16	4/4	1	1		a.i{		a	i		i	i						{	m	1	1	0, -3, 1		0	0
2	2	5	5	1.0	1/4	1/4	4/4	1	1		#viio7		a	i		#viio7	#vii	o	7					o7	1	1	5, 2, -1, -4		5	5
2	2	6	6	1.0	1/2	1/2	4/4	1	1		i6		a	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
2	2	7	7	1.0	3/4	3/4	4/4	1	1		V7		a	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
3	3	8	8	1.0	0	0	4/4	1	1		i		a	i		i	i							m	1	1	0, -3, 1		0	0
3	3	9	9	1.0	1/4	1/4	4/4	1	1		#viio7		a	i		#viio7	#vii	o	7					o7	1	1	5, 2, -1, -4		5	5
3	3	10	10	1.0	1/2	1/2	4/4	1	1		i6		a	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
3	3	11	11	1.0	3/4	3/4	4/4	1	1		V7		a	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
4	4	12	12	1.0	0	0	4/4	1	1		i		a	i		i	i							m	1	1	0, -3, 1		0	0
4	4	13	13	1.0	1/4	1/4	4/4	1	1		iv6		a	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
4	4	14	14	1.0	1/2	1/2	4/4	1	1		i64		a	i		i64	i		64					m	1	1	1, 0, -3		0	1
4	4	15	15	1.0	3/4	3/4	4/4	1	1		iv7		a	i		iv7	iv		7					mm7	1	1	-1, -4, 0, -3		-1	-1
5	5	16	16	2.0	0	0	4/4	1	1		V7		a	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
5	5	18	18	2.0	1/2	1/2	4/4	1	1		#viio65		a	i		#viio65	#vii	o	65					o7	1	1	2, -1, -4, 5		5	2
6	6	20	20	2.0	0	0	4/4	1	1		i		a	i		i	i							m	1	1	0, -3, 1		0	0
6	6	22	22	2.0	1/2	1/2	4/4	1	1		V43/VI		a	i		V43/VI	V		43		VI			Mm7	1	1	-2, -5, -3, 1		-3	-2
7	7	24	24	1.0	0	0	4/4	1	1		VI		a	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
