mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	1.0	0	0	3/4	1	1		.b.i{		b	i		i	i						{	m	1	1	0, -3, 1		0	0
1	1	1	1.0	1/4	1/4	3/4	1	1		viio6(2)/III		b	i		viio6(2)/III	vii	o	6	2	III			o	1	1	-1, -4, -3		2	-1
1	1	2	1.0	1/2	1/2	3/4	1	1		V/III		b	i		V/III	V				III			M	1	1	-2, 2, -1		-2	-2
2	2	3	3.0	0	0	3/4	1	1		III		b	i		III	III							M	1	1	-3, 1, -2		-3	-3
3	3	6	1.0	0	0	3/4	1	1		iv6		b	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
3	3	7	1.0	1/4	1/4	3/4	1	1		iio6		b	i		iio6	ii	o	6					o	1	1	-1, -4, 2		2	-1
3	3	8	1.0	1/2	1/2	3/4	1	1		viio7/V		b	i		viio7/V	vii	o	7		V			o7	1	1	6, 3, 0, -3		6	6
4	4	9	3.0	0	0	3/4	1	1		V}		b	i		V	V						}	M	1	1	1, 5, 2		1	1
5	5	12	1.0	0	0	3/4	1	1		i6{		b	i		i6	i		6				{	m	1	1	-3, 1, 0		0	-3
5	5	13	1.0	1/4	1/4	3/4	1	1		VII6		b	i		VII6	VII		6					M	1	1	2, -1, -2		-2	2
5	5	14	1.0	1/2	1/2	3/4	1	1		VI6		b	i		VI6	VI		6					M	1	1	0, -3, -4		-4	0
6	6	15	2.0	0	0	3/4	1	1		V7/III		b	i		V7/III	V		7		III			Mm7	1	1	-2, 2, -1, -4		-2	-2
6	6	17	1.0	1/2	1/2	3/4	1	1		V65		b	i		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
7	7	18	1.0	0	0	3/4	1	1		i		b	i		i	i							m	1	1	0, -3, 1		0	0
7	7	19	2.0	1/4	1/4	3/4	1	1		iv6		b	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
8	8			0	0	3/4	1	1	1	V}		b	i		V	V						}	M	1	1	1, 5, 2		1	1
9	8	21	4.0	0	0	3/4	1	1	2	V}		b	i		V	V						}	M	1	1	1, 5, 2		1	1
10	9	24	0.0	0	0	3/4	1	1		{		b	i									{		1	1				
10	9	25	1.0	1/4	1/4	3/4	1	1		#viio64		b	i		#viio64	#vii	o	64					o	1	1	-1, 5, 2		5	-1
10	9	26	1.0	1/2	1/2	3/4	1	1		V		b	i		V	V							M	1	1	1, 5, 2		1	1
11	10	27	3.0	0	0	3/4	1	1		i6		b	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
12	11	30	1.0	0	0	3/4	1	1		V2/VII		b	i		V2/VII	V		2		VII			Mm7	1	1	-3, -1, 3, 0		-1	-3
12	11	31	1.0	1/4	1/4	3/4	1	1		vi64/VII		b	i		vi64/VII	vi		64		VII			m	1	1	2, 1, -2		1	2
12	11	32	1.0	1/2	1/2	3/4	1	1		V43/VII		b	i		V43/VII	V		43		VII			Mm7	1	1	0, -3, -1, 3		-1	0
13	12	33	3.0	0	0	3/4	1	1		VII		b	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
14	13	36	1.5	0	0	3/4	1	1		V2/iv		b	i		V2/iv	V		2		iv			Mm7	1	1	-2, 0, 4, 1		0	-2
14	13	75/2	0.5	3/8	3/8	3/4	1	1		iv6		b	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
14	13	38	1.0	1/2	1/2	3/4	1	1		#viio6/iv		b	i		#viio6/iv	#vii	o	6		iv			o	1	1	1, -2, 4		4	1
15	14	39	1.0	0	0	3/4	1	1		iv64/iv		b	i		iv64/iv	iv		64		iv			m	1	1	-1, -2, -5		-2	-1
15	14	40	1.0	1/4	1/4	3/4	1	1		V65/iv		b	i		V65/iv	V		65		iv			Mm7	1	1	4, 1, -2, 0		0	4
15	14	41	1.0	1/2	1/2	3/4	1	1		iv		b	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
16	15	42	1.0	0	0	3/4	1	1		iio6/iv		b	i		iio6/iv	ii	o	6		iv			o	1	1	-2, -5, 1		1	-2
16	15	43	1.0	1/4	1/4	3/4	1	1		V(64)/iv		b	i		V(64)/iv	V			64	iv			M	1	1	0, -1, -4		0	0
16	15	44	1.0	1/2	1/2	3/4	1	1		V7/iv		b	i		V7/iv	V		7		iv			Mm7	1	1	0, 4, 1, -2		0	0
17	16	45	3.0	0	0	3/4	1	1		iv}		b	i		iv	iv						}	m	1	1	-1, -4, 0		-1	-1
18	17	48	2.0	0	0	3/4	1	1		V7/III{		b	i		V7/III	V		7		III		{	Mm7	1	1	-2, 2, -1, -4		-2	-2
18	17	50	1.0	1/2	1/2	3/4	1	1		V2/III		b	i		V2/III	V		2		III			Mm7	1	1	-4, -2, 2, -1		-2	-4
19	18	51	1.0	0	0	3/4	1	1		III6		b	i		III6	III		6					M	1	1	1, -2, -3		-3	1
19	18	52	1.0	1/4	1/4	3/4	1	1		viio6/III		b	i		viio6/III	vii	o	6		III			o	1	1	-1, -4, 2		2	-1
19	18	53	1.0	1/2	1/2	3/4	1	1		III		b	i		III	III							M	1	1	-3, 1, -2		-3	-3
20	19	54	1.0	0	0	3/4	1	1		IV/III		b	i		IV/III	IV				III			M	1	1	-4, 0, -3		-4	-4
20	19	55	1.0	1/4	1/4	3/4	1	1		viio6/III		b	i		viio6/III	vii	o	6		III			o	1	1	-1, -4, 2		2	-1
20	19	56	1.0	1/2	1/2	3/4	1	1		III		b	i		III	III							M	1	1	-3, 1, -2		-3	-3
21	20	57	2.0	0	0	3/4	1	1		V/III		b	i		V/III	V				III			M	1	1	-2, 2, -1		-2	-2
21	20	59	1.0	1/2	1/2	3/4	1	1		viio/III		b	i		viio/III	vii	o			III			o	1	1	2, -1, -4		2	2
22	21	60	3.0	0	0	3/4	1	1		V43		b	i		V43	V		43					Mm7	1	1	2, -1, 1, 5		1	2
23	22	63	2.0	0	0	3/4	1	1		i		b	i		i	i							m	1	1	0, -3, 1		0	0
23	22	65	1.0	1/2	1/2	3/4	1	1		v6		b	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
24	23	66	1.0	0	0	3/4	1	1		iv6(2)		b	i		iv6(2)	iv		6	2				m	1	1	-4, 0, 1		-1	-4
24	23	67	1.0	1/4	1/4	3/4	1	1		iv6		b	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
24	23	68	1.0	1/2	1/2	3/4	1	1		iio6		b	i		iio6	ii	o	6					o	1	1	-1, -4, 2		2	-1
25	24	69	3.0	0	0	3/4	1	1		V}		b	i		V	V						}	M	1	1	1, 5, 2		1	1
26	25	72	1.0	0	0	3/4	1	1		i6{		b	i		i6	i		6				{	m	1	1	-3, 1, 0		0	-3
26	25	73	1.0	1/4	1/4	3/4	1	1		#viio6		b	i		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
26	25	74	1.0	1/2	1/2	3/4	1	1		i		b	i		i	i							m	1	1	0, -3, 1		0	0
27	26	75	3.0	0	0	3/4	1	1		V7/VII		b	i		V7/VII	V		7		VII			Mm7	1	1	-1, 3, 0, -3		-1	-1
28	27	78	1.0	0	0	3/4	1	1		VII64	iio6	b	i		VII64	VII		64					M	1	1	-1, -2, 2		-2	-1
28	27	79	1.0	1/4	1/4	3/4	1	1		i6		b	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
28	27	80	1.0	1/2	1/2	3/4	1	1		#viio6(2)		b	i		#viio6(2)	#vii	o	6	2				o	1	1	2, -1, 0		5	2
29	28	81	3.0	0	0	3/4	1	1		V7		b	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
30	29	84	1.0	0	0	3/4	1	1		i64		b	i		i64	i		64					m	1	1	1, 0, -3		0	1
30	29	85	1.0	1/4	1/4	3/4	1	1		VII64		b	i		VII64	VII		64					M	1	1	-1, -2, 2		-2	-1
30	29	86	1.0	1/2	1/2	3/4	1	1		VI64		b	i		VI64	VI		64					M	1	1	-3, -4, 0		-4	-3
31	30	87	2.0	0	0	3/4	1	1		V43		b	i		V43	V		43					Mm7	1	1	2, -1, 1, 5		1	2
31	30	89	1.0	1/2	1/2	3/4	1	1		i		b	i		i	i							m	1	1	0, -3, 1		0	0
32	31	90	1.0	0	0	3/4	1	1		iio6		b	i		iio6	ii	o	6					o	1	1	-1, -4, 2		2	-1
32	31	91	2.0	1/4	1/4	3/4	1	1		V		b	i		V	V							M	1	1	1, 5, 2		1	1
33	32	93	3.0	0	0	3/4	1	1		i}		b	i		i	i						}	m	1	1	0, -3, 1		0	0
