mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	1.25	0	15/16	2/2	1	1	.b.i{	b	i		i	i						{	m	1	1	0, -3, 1		0	0
2	2	5/4	5/4	1.0	1/4	1/4	2/2	1	1	iio	b	i		iio	ii	o						o	1	1	2, -1, -4		2	2
2	2	9/4	9/4	1.0	1/2	1/2	2/2	1	1	#viio7	b	i		#viio7	#vii	o	7					o7	1	1	5, 2, -1, -4		5	5
2	2	13/4	13/4	0.5	3/4	3/4	2/2	1	1	i	b	i		i	i							m	1	1	0, -3, 1		0	0
2	2	15/4	15/4	0.5	7/8	7/8	2/2	1	1	v	b	i		v	v							m	1	1	1, -2, 2		1	1
3	3	17/4	17/4	0.5	0	0	2/2	1	1	iv6(2)	b	i		iv6(2)	iv		6	2				m	1	1	-4, 0, 1		-1	-4
3	3	19/4	19/4	0.5	1/8	1/8	2/2	1	1	iv6	b	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
3	3	21/4	21/4	1.0	1/4	1/4	2/2	1	1	ii%2	b	i		ii%2	ii	%	2					%7	1	1	0, 2, -1, -4		2	0
3	3	25/4	25/4	1.0	1/2	1/2	2/2	1	1	V	b	i		V	V							M	1	1	1, 5, 2		1	1
3	3	29/4	29/4	0.5	3/4	3/4	2/2	1	1	i6	b	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
3	3	31/4	31/4	0.5	7/8	7/8	2/2	1	1	#viio6	b	i		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
4	4	33/4	33/4	2.0	0	0	2/2	1	1	i	b	i		i	i							m	1	1	0, -3, 1		0	0
4	4	41/4	41/4	2.0	1/2	1/2	2/2	1	1	III	b	i		III	III							M	1	1	-3, 1, -2		-3	-3
5	5	49/4	49/4	2.0	0	0	2/2	1	1	IV/III	b	i		IV/III	IV				III			M	1	1	-4, 0, -3		-4	-4
5	5	57/4	57/4	1.0	1/2	1/2	2/2	1	1	V65/III	b	i		V65/III	V		65		III			Mm7	1	1	2, -1, -4, -2		-2	2
5	5	61/4	61/4	0.5	3/4	3/4	2/2	1	1	III	b	i		III	III							M	1	1	-3, 1, -2		-3	-3
5	5	63/4	63/4	0.5	7/8	7/8	2/2	1	1	ii6/III	b	i		ii6/III	ii		6		III			m	1	1	-4, 0, -1		-1	-4
6	6	65/4	65/4	1.0	0	0	2/2	1	1	V/III	b	i		V/III	V				III			M	1	1	-2, 2, -1		-2	-2
