mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	1/2	4/4	1	1	D.I{	D	I		I	I							{	M	0	0	0, 4, 1		0	0
2	1	1/4	1/4	4/4	1	1	I6	D	I		I6	I		6						M	0	0	4, 1, 0		0	4
2	1	1/2	1/2	4/4	1	1	IV	D	I		IV	IV								M	0	0	-1, 3, 0		-1	-1
2	1	3/4	3/4	4/4	1	1	viio6	D	I		viio6	vii	o	6						o	0	0	2, -1, 5		5	2
3	2	0	0	4/4	1	1	I|PAC}	D	I		I	I						PAC	}	M	0	0	0, 4, 1		0	0
3	2	1/2	1/2	4/4	1	1	{	D	I										{		0	0				
4	3	1/4	1/4	4/4	1	1	I6	D	I		I6	I		6						M	0	0	4, 1, 0		0	4
4	3	1/2	1/2	4/4	1	1	IV	D	I		IV	IV								M	0	0	-1, 3, 0		-1	-1
4	3	3/4	3/4	4/4	1	1	viio6	D	I		viio6	vii	o	6						o	0	0	2, -1, 5		5	2
5	4	0	0	4/4	1	1	I|PAC}	D	I		I	I						PAC	}	M	0	0	0, 4, 1		0	0
5	4	1/2	1/2	4/4	1	1	I6{	D	I		I6	I		6					{	M	0	0	4, 1, 0		0	4
5	4	3/4	3/4	4/4	1	1	I	D	I		I	I								M	0	0	0, 4, 1		0	0
6	5	0	0	4/4	1	1	IV	D	I		IV	IV								M	0	0	-1, 3, 0		-1	-1
6	5	1/4	1/4	4/4	1	1	I	D	I		I	I								M	0	0	0, 4, 1		0	0
6	5	1/2	1/2	4/4	1	1	V65/IV	D	I		V65/IV	V		65		IV				Mm7	0	0	4, 1, -2, 0		0	4
6	5	3/4	3/4	4/4	1	1	IV64	D	I		IV64	IV		64						M	0	0	0, -1, 3		-1	0
7	6	1/2	1/2	4/4	1	1	I|PC}	D	I		I	I						PC	}	M	0	0	0, 4, 1		0	0
7	6	3/4	3/4	4/4	1	1	{	D	I										{		0	0				
8	7	0	0	4/4	1	1	IV	D	I		IV	IV								M	0	0	-1, 3, 0		-1	-1
8	7	1/4	1/4	4/4	1	1	I6	D	I		I6	I		6						M	0	0	4, 1, 0		0	4
8	7	1/2	1/2	4/4	1	1	viio6	D	I		viio6	vii	o	6						o	0	0	2, -1, 5		5	2
8	7	3/4	3/4	4/4	1	1	I[I	D	I	I	I	I								M	0	0	0, 4, 1		0	0
9	8	0	0	4/4	1	1	V6|HC}	D	I		V6	V		6				HC	}	M	0	0	5, 2, 1		1	5
9	8	1/2	1/2	4/4	1	1	I]{	D	I		I	I					]		{	M	0	0	0, 4, 1		0	0
10	9	1/4	1/4	4/4	1	1	I6	D	I		I6	I		6						M	0	0	4, 1, 0		0	4
10	9	1/2	1/2	4/4	1	1	IV	D	I		IV	IV								M	0	0	-1, 3, 0		-1	-1
10	9	3/4	3/4	4/4	1	1	viio6	D	I		viio6	vii	o	6						o	0	0	2, -1, 5		5	2
11	10	0	0	4/4	1	1	I|PAC}	D	I		I	I						PAC	}	M	0	0	0, 4, 1		0	0
11	10	1/2	1/2	4/4	1	1	{	D	I										{		0	0				
12	11	1/4	1/4	4/4	1	1	I6	D	I		I6	I		6						M	0	0	4, 1, 0		0	4
12	11	1/2	1/2	4/4	1	1	IV	D	I		IV	IV								M	0	0	-1, 3, 0		-1	-1
12	11	3/4	3/4	4/4	1	1	viio6	D	I		viio6	vii	o	6						o	0	0	2, -1, 5		5	2
13	12	0	0	4/4	1	1	I[I|PAC}	D	I	I	I	I						PAC	}	M	0	0	0, 4, 1		0	0
13	12	1/2	1/2	4/4	1	1	{	D	I										{		0	0				
14	13	1/4	1/4	4/4	1	1	V7	D	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
14	13	1/2	1/2	4/4	1	1	I	D	I		I	I								M	0	0	0, 4, 1		0	0
14	13	3/4	3/4	4/4	1	1	V	D	I		V	V								M	0	0	1, 5, 2		1	1
15	14	0	0	4/4	1	1	I	D	I		I	I								M	0	0	0, 4, 1		0	0
15	14	1/4	1/4	4/4	1	1	V7	D	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
15	14	1/2	1/2	4/4	1	1	I	D	I		I	I								M	0	0	0, 4, 1		0	0
15	14	3/4	3/4	4/4	1	1	V	D	I		V	V								M	0	0	1, 5, 2		1	1
16	15	0	0	4/4	1	1	I	D	I		I	I								M	0	0	0, 4, 1		0	0
16	15	1/2	1/2	4/4	1	1	V6	D	I		V6	V		6						M	0	0	5, 2, 1		1	5
17	16	0	0	4/4	1	1	I	D	I		I	I								M	0	0	0, 4, 1		0	0
18	17	1/4	1/4	4/4	1	1	V7	D	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
18	17	1/2	1/2	4/4	1	1	I	D	I		I	I								M	0	0	0, 4, 1		0	0
18	17	3/4	3/4	4/4	1	1	V	D	I		V	V								M	0	0	1, 5, 2		1	1
19	18	0	0	4/4	1	1	I	D	I		I	I								M	0	0	0, 4, 1		0	0
19	18	1/4	1/4	4/4	1	1	V7	D	I		V7	V		7						Mm7	0	0	1, 5, 2, -1		1	1
19	18	1/2	1/2	4/4	1	1	I	D	I		I	I								M	0	0	0, 4, 1		0	0
19	18	3/4	3/4	4/4	1	1	V	D	I		V	V								M	0	0	1, 5, 2		1	1
20	19	0	0	4/4	1	1	I	D	I		I	I								M	0	0	0, 4, 1		0	0
20	19	1/2	1/2	4/4	1	1	V6	D	I		V6	V		6						M	0	0	5, 2, 1		1	5
21	20	1/2	1/2	4/4	1	1	{	D	I										{		0	0				
22	21	1/4	1/4	4/4	1	1	I6	D	I		I6	I		6						M	0	0	4, 1, 0		0	4
22	21	1/2	1/2	4/4	1	1	IV	D	I		IV	IV								M	0	0	-1, 3, 0		-1	-1
22	21	3/4	3/4	4/4	1	1	viio6	D	I		viio6	vii	o	6						o	0	0	2, -1, 5		5	2
23	22	0	0	4/4	1	1	I|PAC}	D	I		I	I						PAC	}	M	0	0	0, 4, 1		0	0
23	22	1/2	1/2	4/4	1	1	{	D	I										{		0	0				
24	23	1/4	1/4	4/4	1	1	I6	D	I		I6	I		6						M	0	0	4, 1, 0		0	4
24	23	1/2	1/2	4/4	1	1	IV	D	I		IV	IV								M	0	0	-1, 3, 0		-1	-1
24	23	3/4	3/4	4/4	1	1	viio6	D	I		viio6	vii	o	6						o	0	0	2, -1, 5		5	2
25	24	0	0	4/4	1	1	I|PAC}	D	I		I	I						PAC	}	M	0	0	0, 4, 1		0	0
