mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	3.5	0	5/8	3/4	1	1	.b.i{	b	i		i	i						{	m	1	1	0, -3, 1		0	0
3	3	7/2	3.0	0	0	3/4	1	1	V65	b	i		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
4	4	13/2	3.0	0	0	3/4	1	1	i	b	i		i	i							m	1	1	0, -3, 1		0	0
5	5	19/2	3.0	0	0	3/4	1	1	V65/III	b	i		V65/III	V		65		III			Mm7	1	1	2, -1, -4, -2		-2	2
6	6	25/2	3.0	0	0	3/4	1	1	III	b	i		III	III							M	1	1	-3, 1, -2		-3	-3
7	7	31/2	3.0	0	0	3/4	1	1	ii%65	b	i		ii%65	ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
8	8	37/2	2.0	0	0	3/4	1	1	#viio7	b	i		#viio7	#vii	o	7					o7	1	1	5, 2, -1, -4		5	5
8	8	41/2	1.0	1/2	1/2	3/4	1	1	#viio/iv	b	i		#viio/iv	#vii	o			iv			o	1	1	4, 1, -2		4	4
9	9	43/2	2.0	0	0	3/4	1	1	vii%7/VII	b	i		vii%7/VII	vii	%	7		VII			%7	1	1	3, 0, -3, 1		3	3
9	9	47/2	2.0	1/2	1/2	3/4	1	1	#viio6	b	i		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
10	10	51/2	1.0	1/4	1/4	3/4	1	1	i(4)	b	i		i(4)	i			4				m	1	1	0, -1, 1		0	0
10	10	53/2	1.0	1/2	1/2	3/4	1	1	i	b	i		i	i							m	1	1	0, -3, 1		0	0
11	11	55/2	3.0	0	0	3/4	1	1	V6	b	i		V6	V		6					M	1	1	5, 2, 1		1	5
12	12	61/2	3.0	0	0	3/4	1	1	i6	b	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
13	13	67/2	3.0	0	0	3/4	1	1	iv	b	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
14	14	73/2	3.0	0	0	3/4	1	1	V7/III	b	i		V7/III	V		7		III			Mm7	1	1	-2, 2, -1, -4		-2	-2
15	15	79/2	3.0	0	0	3/4	1	1	III6	b	i		III6	III		6					M	1	1	1, -2, -3		-3	1
16	16	85/2	3.0	0	0	3/4	1	1	IV/III	b	i		IV/III	IV				III			M	1	1	-4, 0, -3		-4	-4
17	17	91/2	3.0	0	0	3/4	1	1	V2/III	b	i		V2/III	V		2		III			Mm7	1	1	-4, -2, 2, -1		-2	-4
18	18	97/2	2.0	0	0	3/4	1	1	III	b	i		III	III							M	1	1	-3, 1, -2		-3	-3
18	18	101/2	1.0	1/2	1/2	3/4	1	1	V/III	b	i		V/III	V				III			M	1	1	-2, 2, -1		-2	-2
19	19	103/2	1.0	0	0	3/4	1	1	III	b	i		III	III							M	1	1	-3, 1, -2		-3	-3
19	19	105/2	2.0	1/4	1/4	3/4	1	1	i6	b	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
20	20	109/2	3.0	0	0	3/4	1	1	#viio7	b	i		#viio7	#vii	o	7					o7	1	1	5, 2, -1, -4		5	5
21	21	115/2	2.0	0	0	3/4	1	1	i6	b	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
21	21	119/2	1.0	1/2	1/2	3/4	1	1	v.i	b	v		i	i							m	1	1	0, -3, 1		0	0
22	22	121/2	3.0	0	0	3/4	1	1	#viio7	b	v		#viio7	#vii	o	7					o7	1	1	5, 2, -1, -4		5	5
23	23	127/2	3.0	0	0	3/4	1	1	i6	b	v		i6	i		6					m	1	1	-3, 1, 0		0	-3
24	24	133/2	3.0	0	0	3/4	1	1	vii%7/VII	b	v		vii%7/VII	vii	%	7		VII			%7	1	1	3, 0, -3, 1		3	3
25	25	139/2	3.0	0	0	3/4	1	1	#viio6	b	v		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
26	26	145/2	3.0	0	0	3/4	1	1	V65	b	v		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
