mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	3.25	0	11/16	3/4	1	1	.b.i{	b	i		i	i						{	m	1	1	0, -3, 1		0	0
3	3	13/4	13/4	3.0	0	0	3/4	1	1	V65	b	i		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
4	4	25/4	25/4	3.0	0	0	3/4	1	1	i	b	i		i	i							m	1	1	0, -3, 1		0	0
5	5	37/4	37/4	3.0	0	0	3/4	1	1	V65/III	b	i		V65/III	V		65		III			Mm7	1	1	2, -1, -4, -2		-2	2
6	6	49/4	49/4	3.0	0	0	3/4	1	1	III	b	i		III	III							M	1	1	-3, 1, -2		-3	-3
7	7	61/4	61/4	3.0	0	0	3/4	1	1	.bII6	b	i		bII6	bII		6					M	1	1	-1, -4, -5		-5	-1
8	8	73/4	73/4	2.0	0	0	3/4	1	1	V65	b	i		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
8	8	81/4	81/4	1.0	1/2	1/2	3/4	1	1	#viio7/iv	b	i		#viio7/iv	#vii	o	7		iv			o7	1	1	4, 1, -2, -5		4	4
9	9	85/4	85/4	2.0	0	0	3/4	1	1	V65/VII	b	i		V65/VII	V		65		VII			Mm7	1	1	3, 0, -3, -1		-1	3
9	9	93/4	93/4	2.0	1/2	1/2	3/4	1	1	#viio7	b	i		#viio7	#vii	o	7					o7	1	1	5, 2, -1, -4		5	5
10	10	101/4	101/4	2.0	1/4	1/4	3/4	1	1	i	b	i		i	i							m	1	1	0, -3, 1		0	0
11	11	109/4	109/4	3.0	0	0	3/4	1	1	V7	b	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
12	12	121/4	121/4	3.0	0	0	3/4	1	1	i	b	i		i	i							m	1	1	0, -3, 1		0	0
