mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	2.25	0	15/16	4/4	1	1	d.i{	d	i		i	i						{	m	1	1	0, -3, 1		0	0
2	2	9/4	9/4	2.0	1/2	1/2	4/4	1	1	#viio7	d	i		#viio7	#vii	o	7					o7	1	1	5, 2, -1, -4		5	5
3	3	17/4	17/4	1.0	0	0	4/4	1	1	i	d	i		i	i							m	1	1	0, -3, 1		0	0
3	3	21/4	21/4	1.0	1/4	1/4	4/4	1	1	iv65	d	i		iv65	iv		65					mm7	1	1	-4, 0, -3, -1		-1	-4
3	3	25/4	25/4	2.0	1/2	1/2	4/4	1	1	V	d	i		V	V							M	1	1	1, 5, 2		1	1
4	4	33/4	33/4	1.0	0	0	4/4	1	1	i	d	i		i	i							m	1	1	0, -3, 1		0	0
4	4	37/4	37/4	1.0	1/4	1/4	4/4	1	1	VI6	d	i		VI6	VI		6					M	1	1	0, -3, -4		-4	0
4	4	41/4	41/4	1.0	1/2	1/2	4/4	1	1	vii%7/III	d	i		vii%7/III	vii	%	7		III			%7	1	1	2, -1, -4, 0		2	2
4	4	45/4	45/4	1.0	3/4	3/4	4/4	1	1	V65/III	d	i		V65/III	V		65		III			Mm7	1	1	2, -1, -4, -2		-2	2
5	5	49/4	49/4	2.0	0	0	4/4	1	1	III	d	i		III	III							M	1	1	-3, 1, -2		-3	-3
5	5	57/4	57/4	2.0	1/2	1/2	4/4	1	1	ii6/III	d	i		ii6/III	ii		6		III			m	1	1	-4, 0, -1		-1	-4
6	6	65/4	65/4	1.0	0	0	4/4	1	1	V/III	d	i		V/III	V				III			M	1	1	-2, 2, -1		-2	-2
6	6	69/4	69/4	1.5	1/4	1/4	4/4	1	1	III6	d	i		III6	III		6					M	1	1	1, -2, -3		-3	1
