mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	tuning	chord_id
1	0	0	0	0.5	0	7/8	4/4	1	1	1/8		1/8	1		2	62	D4	4	-200.0	0
2	1	1/2	1/2	1.0	0	0	4/4	1	2	1/4		1/4	1		0	36	C2	2		10
2	1	1/2	1/2	1.0	0	0	4/4	1	4	1/4		1/4	1		1	43	G2	2		13
2	1	1/2	1/2	1.0	0	0	4/4	1	3	1/4		1/4	1		-3	51	Eb3	3		12
2	1	1/2	1/2	1.0	0	0	4/4	1	1	1/4		1/4	1	1	2	62	D4	4	-200.0	1
2	1	3/2	3/2	0.25	1/4	1/4	4/4	1	1	1/16		1/16	1	-1	2	62	D4	4	-200.0	2
2	1	7/4	7/4	0.25	5/16	5/16	4/4	1	1	1/16		1/16	1		0	60	C4	4	-200.0	3
2	1	2	2	0.25	3/8	3/8	4/4	1	1	1/16		1/16	1		-2	58	Bb3	3	-200.0	4
2	1	9/4	9/4	0.25	7/16	7/16	4/4	1	1	1/16		1/16	1		3	57	A3	3	-200.0	5
2	1	5/2	5/2	0.75	1/2	1/2	4/4	1	1	3/16		1/8	3/2		-2	58	Bb3	3	-200.0	6
2	1	13/4	13/4	0.25	11/16	11/16	4/4	1	1	1/16		1/16	1		-1	53	F3	3		7
2	1	7/2	7/2	1.0	3/4	3/4	4/4	1	2	1/4		1/4	1		5	47	B2	2		11
2	1	7/2	7/2	0.75	3/4	3/4	4/4	1	1	3/16		1/8	3/2		1	55	G3	3		8
2	1	17/4	17/4	0.25	15/16	15/16	4/4	1	1	1/16		1/16	1		2	50	D3	3		9
3	2	9/2	9/2	1.0	0	0	4/4	1	1	1/4		1/4	1	1	0	48	C3	3		14
3	2	9/2	9/2	1.0	0	0	4/4	1	2	1/4		1/4	1		-3	51	Eb3	3		23
3	2	11/2	11/2	0.25	1/4	1/4	4/4	1	1	1/16		1/16	1	-1	0	48	C3	3		15
3	2	23/4	23/4	0.25	5/16	5/16	4/4	1	1	1/16		1/16	1		-2	46	Bb2	2		16
3	2	6	6	0.25	3/8	3/8	4/4	1	1	1/16		1/16	1		-4	44	Ab2	2		17
3	2	25/4	25/4	0.25	7/16	7/16	4/4	1	1	1/16		1/16	1		1	43	G2	2		18
3	2	13/2	13/2	0.75	1/2	1/2	4/4	1	1	3/16		1/8	3/2		-4	44	Ab2	2		19
3	2	29/4	29/4	0.25	11/16	11/16	4/4	1	1	1/16		1/16	1		-1	41	F2	2		20
3	2	15/2	15/2	0.75	3/4	3/4	4/4	1	1	3/16		1/8	3/2		1	43	G2	2		21
3	2	33/4	33/4	0.25	15/16	15/16	4/4	1	1	1/16		1/16	1		2	50	D3	3		22
4	3	17/2	17/2	0.5	0	0	4/4	1	2	1/8		1/8	1		-3	39	Eb2	2		35
4	3	17/2	17/2	0.5	0	0	4/4	1	3	1/8		1/8	1		1	43	G2	2		36
4	3	17/2	17/2	0.75	0	0	4/4	1	1	3/16		1/8	3/2		2	50	D3	3		24
4	3	37/4	37/4	0.125	3/16	3/16	4/4	1	1	1/32		1/32	1		0	48	C3	3		25
4	3	75/8	75/8	0.125	7/32	7/32	4/4	1	1	1/32		1/32	1		5	47	B2	2		26
4	3	19/2	19/2	0.75	1/4	1/4	4/4	1	1	3/16		1/8	3/2		0	48	C3	3		27
4	3	41/4	41/4	0.25	7/16	7/16	4/4	1	1	1/16		1/16	1		1	55	G3	3		28
4	3	21/2	21/2	0.75	1/2	1/2	4/4	1	1	3/16		1/8	3/2		-4	44	Ab2	2		29
4	3	45/4	45/4	0.25	11/16	11/16	4/4	1	1	1/16		1/16	1		1	55	G3	3		30
4	3	23/2	23/2	0.25	3/4	3/4	4/4	1	1	1/16		1/16	1		-1	53	F3	3		31
4	3	47/4	47/4	0.25	13/16	13/16	4/4	1	1	1/16		1/16	1		-3	51	Eb3	3		32
4	3	12	12	0.25	7/8	7/8	4/4	1	1	1/16		1/16	1		2	50	D3	3		33
4	3	49/4	49/4	0.25	15/16	15/16	4/4	1	1	1/16		1/16	1		0	48	C3	3		34
5	4	25/2	25/2	0.75	0	0	4/4	1	1	3/16		1/8	3/2		5	47	B2	2		37
5	4	53/4	53/4	0.25	3/16	3/16	4/4	1	1	1/16		1/16	1		-4	44	Ab2	2		38
5	4	27/2	27/2	0.25	1/4	1/4	4/4	1	1	1/16		1/16	1		1	43	G2	2		39
5	4	55/4	55/4	0.25	5/16	5/16	4/4	1	1	1/16		1/16	1		5	47	B2	2		40
5	4	14	14	0.25	3/8	3/8	4/4	1	1	1/16		1/16	1		2	50	D3	3		41
5	4	57/4	57/4	0.25	7/16	7/16	4/4	1	1	1/16		1/16	1		-1	53	F3	3		42
5	4	29/2	29/2	0.75	1/2	1/2	4/4	1	1	3/16		1/8	3/2		-2	58	Bb3	3	-200.0	43
5	4	61/4	61/4	0.25	11/16	11/16	4/4	1	1	1/16		1/16	1		3	57	A3	3	-200.0	44
5	4	31/2	31/2	0.25	3/4	3/4	4/4	1	1	1/16		1/16	1		-1	53	F3	3		45
5	4	63/4	63/4	0.25	13/16	13/16	4/4	1	1	1/16		1/16	1		-3	51	Eb3	3		46
5	4	16	16	0.25	7/8	7/8	4/4	1	1	1/16		1/16	1		-1	53	F3	3		47
5	4	65/4	65/4	0.25	15/16	15/16	4/4	1	1	1/16		1/16	1		2	50	D3	3		48
6	5	33/2	33/2	0.75	0	0	4/4	1	2	3/16		1/8	3/2		0	36	C2	2		63
6	5	33/2	33/2	0.75	0	0	4/4	1	3	3/16		1/8	3/2		1	43	G2	2		64
6	5	33/2	33/2	0.75	0	0	4/4	1	1	3/16		1/8	3/2		-3	51	Eb3	3		49
6	5	69/4	69/4	0.25	3/16	3/16	4/4	1	1	1/16		1/16	1		2	50	D3	3		50
6	5	35/2	35/2	0.25	1/4	1/4	4/4	1	1	1/16		1/16	1		0	48	C3	3		51
6	5	71/4	71/4	0.25	5/16	5/16	4/4	1	1	1/16		1/16	1		5	47	B2	2		52
6	5	18	18	0.25	3/8	3/8	4/4	1	1	1/16		1/16	1		0	48	C3	3		53
6	5	73/4	73/4	0.25	7/16	7/16	4/4	1	1	1/16		1/16	1		2	50	D3	3		54
6	5	37/2	37/2	0.25	1/2	1/2	4/4	1	1	1/16		1/16	1		-3	51	Eb3	3		55
6	5	75/4	75/4	0.25	9/16	9/16	4/4	1	1	1/16		1/16	1		2	50	D3	3		56
6	5	19	19	0.25	5/8	5/8	4/4	1	1	1/16		1/16	1		-3	51	Eb3	3		57
6	5	77/4	77/4	0.25	11/16	11/16	4/4	1	1	1/16		1/16	1		-1	53	F3	3		58
6	5	39/2	39/2	0.25	3/4	3/4	4/4	1	1	1/16		1/16	1		1	55	G3	3		59
6	5	79/4	79/4	0.25	13/16	13/16	4/4	1	1	1/16		1/16	1		-1	53	F3	3		60
6	5	20	20	0.25	7/8	7/8	4/4	1	1	1/16		1/16	1		1	55	G3	3		61
6	5	81/4	81/4	0.25	15/16	15/16	4/4	1	1	1/16		1/16	1		-2	58	Bb3	3	-200.0	62
7	6	41/2	41/2	1.0	0	0	4/4	1	2	1/4		1/4	1		1	43	G2	2		75
7	6	41/2	41/2	1.0	0	0	4/4	1	3	1/4		1/4	1		-3	51	Eb3	3		76
7	6	41/2	41/2	1.0	0	0	4/4	1	1	1/4		1/4	1	1	0	60	C4	4	-200.0	65
7	6	43/2	43/2	0.25	1/4	1/4	4/4	1	1	1/16		1/16	1	-1	0	60	C4	4		66
7	6	87/4	87/4	0.25	5/16	5/16	4/4	1	1	1/16		1/16	1		-2	58	Bb3	3	-200.0	67
7	6	22	22	0.25	3/8	3/8	4/4	1	1	1/16		1/16	1		3	57	A3	3	-200.0	68
7	6	89/4	89/4	0.25	7/16	7/16	4/4	1	1	1/16		1/16	1		-1	53	F3	3		69
7	6	45/2	45/2	0.75	1/2	1/2	4/4	1	1	3/16		1/8	3/2		1	55	G3	3		70
7	6	93/4	93/4	0.125	11/16	11/16	4/4	1	1	1/32		1/32	1		-1	53	F3	3		71
7	6	187/8	187/8	0.125	23/32	23/32	4/4	1	1	1/32		1/32	1		-3	51	Eb3	3		72
7	6	47/2	47/2	0.75	3/4	3/4	4/4	1	1	3/16		1/8	3/2		-3	63	Eb4	4	-200.0	73
7	6	97/4	97/4	0.25	15/16	15/16	4/4	1	1	1/16		1/16	1		0	60	C4	4	-200.0	74
8	7	49/2	49/2	1.0	0	0	4/4	1	2	1/4		1/4	1		-4	44	Ab2	2		86
8	7	49/2	49/2	1.0	0	0	4/4	1	3	1/4		1/4	1		-3	51	Eb3	3		87
8	7	49/2	49/2	1.0	0	0	4/4	1	1	1/4		1/4	1	1	2	62	D4	4	-200.0	77
8	7	51/2	51/2	0.25	1/4	1/4	4/4	1	1	1/16		1/16	1	-1	2	62	D4	4	-200.0	78
8	7	103/4	103/4	0.25	5/16	5/16	4/4	1	1	1/16		1/16	1		0	60	C4	4	-200.0	79
8	7	26	26	0.25	3/8	3/8	4/4	1	1	1/16		1/16	1		-2	58	Bb3	3	-200.0	80
8	7	105/4	105/4	0.25	7/16	7/16	4/4	1	1	1/16		1/16	1		3	57	A3	3	-200.0	81
8	7	53/2	53/2	0.75	1/2	1/2	4/4	1	1	3/16		1/8	3/2		-2	58	Bb3	3	-200.0	82
8	7	109/4	109/4	0.25	11/16	11/16	4/4	1	1	1/16		1/16	1		2	62	D4	4	-200.0	83
8	7	55/2	55/2	0.75	3/4	3/4	4/4	1	1	3/16		1/8	3/2		4	52	E3	3		84
8	7	113/4	113/4	0.25	15/16	15/16	4/4	1	1	1/16		1/16	1		-1	53	F3	3		85
9	8	57/2	57/2	1.0	0	0	4/4	1	2	1/4		1/4	1		4	40	E2	2		99
9	8	57/2	57/2	1.0	0	0	4/4	1	3	1/4		1/4	1		0	48	C3	3		100
9	8	57/2	57/2	1.0	0	0	4/4	1	1	1/4		1/4	1	1	1	55	G3	3		88
9	8	59/2	59/2	0.25	1/4	1/4	4/4	1	1	1/16		1/16	1	-1	1	55	G3	3		89
9	8	119/4	119/4	0.25	5/16	5/16	4/4	1	1	1/16		1/16	1		-1	53	F3	3		90
