mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	tuning	chord_id
1	1	0	0	0.5	0	0	3/4	1	1	1/8	1/8	1		1	55	G3	3		0
1	1	1/2	1/2	0.5	1/8	1/8	3/4	1	1	1/8	1/8	1		-3	51	Eb3	3		1
1	1	1	1	0.5	1/4	1/4	3/4	1	1	1/8	1/8	1		5	47	B2	2		2
1	1	3/2	3/2	0.5	3/8	3/8	3/4	1	1	1/8	1/8	1		0	48	C3	3		3
1	1	2	2	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		-4	44	Ab2	2		4
2	2	3	3	0.5	0	0	3/4	1	1	1/8	1/8	1		2	62	D4	4	-200.0	5
2	2	7/2	7/2	0.5	1/8	1/8	3/4	1	1	1/8	1/8	1		-2	58	Bb3	3	-200.0	6
2	2	4	4	0.5	1/4	1/4	3/4	1	1	1/8	1/8	1		4	52	E3	3		7
2	2	9/2	9/2	0.5	3/8	3/8	3/4	1	1	1/8	1/8	1		-1	53	F3	3		8
2	2	5	5	1.0	1/2	1/2	3/4	1	1	1/4	1/4	1		5	47	B2	2		9
3	3	6	6	0.5	0	0	3/4	1	1	1/8	1/8	1		4	64	E4	4	-200.0	10
3	3	13/2	13/2	0.5	1/8	1/8	3/4	1	1	1/8	1/8	1		-2	58	Bb3	3	-200.0	11
3	3	7	7	0.5	1/4	1/4	3/4	1	1	1/8	1/8	1		4	52	E3	3		12
3	3	15/2	15/2	0.5	3/8	3/8	3/4	1	1	1/8	1/8	1		-1	53	F3	3		13
3	3	8	8	0.5	1/2	1/2	3/4	1	1	1/8	1/8	1		1	43	G2	2		14
3	3	17/2	17/2	0.5	5/8	5/8	3/4	1	1	1/8	1/8	1		1	55	G3	3		15
4	4	9	9	0.5	0	0	3/4	1	1	1/8	1/8	1		-1	53	F3	3		16
4	4	19/2	19/2	0.5	1/8	1/8	3/4	1	1	1/8	1/8	1		-3	51	Eb3	3		17
4	4	10	10	0.5	1/4	1/4	3/4	1	1	1/8	1/8	1		5	47	B2	2		18
4	4	21/2	21/2	0.5	3/8	3/8	3/4	1	1	1/8	1/8	1		0	48	C3	3		19
