mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	tuning	chord_id
1	0	0	0	0.3333333333333333	0	1/2	2/2	1	1	1/12	1/8	2/3		1	55	G3	3		0
1	0	1/3	1/3	0.3333333333333333	1/12	7/12	2/2	1	1	1/12	1/8	2/3		-1	53	F3	3		1
1	0	2/3	2/3	0.3333333333333333	1/6	2/3	2/2	1	1	1/12	1/8	2/3		1	55	G3	3		2
1	0	1	1	0.3333333333333333	1/4	3/4	2/2	1	1	1/12	1/8	2/3		-4	56	Ab3	3		3
1	0	4/3	4/3	0.3333333333333333	1/3	5/6	2/2	1	1	1/12	1/8	2/3		1	55	G3	3		4
1	0	5/3	5/3	0.3333333333333333	5/12	11/12	2/2	1	1	1/12	1/8	2/3		-1	53	F3	3		5
2	1	2	2	1.0	0	0	2/2	1	1	1/4	1/4	1	1	1	55	G3	3		6
2	1	3	3	0.3333333333333333	1/4	1/4	2/2	1	1	1/12	1/8	2/3	-1	1	55	G3	3		7
2	1	10/3	10/3	0.3333333333333333	1/3	1/3	2/2	1	1	1/12	1/8	2/3		-1	53	F3	3		8
2	1	11/3	11/3	0.3333333333333333	5/12	5/12	2/2	1	1	1/12	1/8	2/3		-3	51	Eb3	3		9
2	1	4	4	0.3333333333333333	1/2	1/2	2/2	1	1	1/12	1/8	2/3		2	50	D3	3		10
2	1	13/3	13/3	0.3333333333333333	7/12	7/12	2/2	1	1	1/12	1/8	2/3		-3	51	Eb3	3		11
2	1	14/3	14/3	0.3333333333333333	2/3	2/3	2/2	1	1	1/12	1/8	2/3		-1	53	F3	3		12
2	1	5	5	0.3333333333333333	3/4	3/4	2/2	1	1	1/12	1/8	2/3		-3	51	Eb3	3		13
2	1	16/3	16/3	0.3333333333333333	5/6	5/6	2/2	1	1	1/12	1/8	2/3		2	50	D3	3		14
2	1	17/3	17/3	0.3333333333333333	11/12	11/12	2/2	1	1	1/12	1/8	2/3		0	48	C3	3		15
3	2	6	6	0.3333333333333333	0	0	2/2	1	1	1/12	1/8	2/3		5	47	B2	2		16
3	2	19/3	19/3	0.3333333333333333	1/12	1/12	2/2	1	1	1/12	1/8	2/3		0	48	C3	3		17
3	2	20/3	20/3	0.3333333333333333	1/6	1/6	2/2	1	1	1/12	1/8	2/3		2	50	D3	3		18
3	2	7	7	0.3333333333333333	1/4	1/4	2/2	1	1	1/12	1/8	2/3		1	43	G2	2		19
3	2	22/3	22/3	0.3333333333333333	1/3	1/3	2/2	1	1	1/12	1/8	2/3		5	47	B2	2		20
3	2	23/3	23/3	0.3333333333333333	5/12	5/12	2/2	1	1	1/12	1/8	2/3		2	50	D3	3		21
3	2	8	8	0.3333333333333333	1/2	1/2	2/2	1	1	1/12	1/8	2/3		1	55	G3	3		22
3	2	25/3	25/3	0.3333333333333333	7/12	7/12	2/2	1	1	1/12	1/8	2/3		-1	53	F3	3		23
3	2	26/3	26/3	0.3333333333333333	2/3	2/3	2/2	1	1	1/12	1/8	2/3		1	55	G3	3		24
3	2	9	9	0.3333333333333333	3/4	3/4	2/2	1	1	1/12	1/8	2/3		-4	56	Ab3	3		25
3	2	28/3	28/3	0.3333333333333333	5/6	5/6	2/2	1	1	1/12	1/8	2/3		1	55	G3	3		26
3	2	29/3	29/3	0.3333333333333333	11/12	11/12	2/2	1	1	1/12	1/8	2/3		-1	53	F3	3		27
4	3	10	10	0.3333333333333333	0	0	2/2	1	1	1/12	1/8	2/3		1	55	G3	3		28
4	3	31/3	31/3	0.3333333333333333	1/12	1/12	2/2	1	1	1/12	1/8	2/3		-1	53	F3	3		29
4	3	32/3	32/3	0.3333333333333333	1/6	1/6	2/2	1	1	1/12	1/8	2/3		-3	51	Eb3	3		30
4	3	11	11	0.3333333333333333	1/4	1/4	2/2	1	1	1/12	1/8	2/3		2	50	D3	3		31
4	3	34/3	34/3	0.3333333333333333	1/3	1/3	2/2	1	1	1/12	1/8	2/3		-3	51	Eb3	3		32
4	3	35/3	35/3	0.3333333333333333	5/12	5/12	2/2	1	1	1/12	1/8	2/3		-1	53	F3	3		33
4	3	12	12	0.3333333333333333	1/2	1/2	2/2	1	1	1/12	1/8	2/3		-3	51	Eb3	3		34
4	3	37/3	37/3	0.3333333333333333	7/12	7/12	2/2	1	1	1/12	1/8	2/3		2	50	D3	3		35
4	3	38/3	38/3	0.3333333333333333	2/3	2/3	2/2	1	1	1/12	1/8	2/3		0	48	C3	3		36
4	3	13	13	0.3333333333333333	3/4	3/4	2/2	1	1	1/12	1/8	2/3		5	47	B2	2		37
4	3	40/3	40/3	0.3333333333333333	5/6	5/6	2/2	1	1	1/12	1/8	2/3		0	48	C3	3		38
4	3	41/3	41/3	0.3333333333333333	11/12	11/12	2/2	1	1	1/12	1/8	2/3		2	50	D3	3		39
5	4	14	14	1.0	0	0	2/2	1	1	1/4	1/4	1		0	48	C3	3		40
5	4	15	15	1.0	1/4	1/4	2/2	1	1	1/4	1/4	1		0	36	C2	2		41
