mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	tuning	chord_id
1	0	0	0	0.5	0	1/4	3/8	1	1	1/8	1/8	1		1	55	G3	3		0
2	1	1/2	1/2	0.75	0	0	3/8	1	1	3/16	1/8	3/2		-3	51	Eb3	3		1
2	1	5/4	5/4	0.25	3/16	3/16	3/8	1	1	1/16	1/16	1		-1	53	F3	3		2
2	1	3/2	3/2	0.5	1/4	1/4	3/8	1	1	1/8	1/8	1		2	50	D3	3		3
3	2	2	2	0.75	0	0	3/8	1	1	3/16	1/8	3/2		-3	51	Eb3	3		4
3	2	11/4	11/4	0.25	3/16	3/16	3/8	1	1	1/16	1/16	1		-1	53	F3	3		5
3	2	3	3	0.5	1/4	1/4	3/8	1	1	1/8	1/8	1		2	50	D3	3		6
4	3	7/2	7/2	0.75	0	0	3/8	1	1	3/16	1/8	3/2		0	48	C3	3		7
4	3	17/4	17/4	0.25	3/16	3/16	3/8	1	1	1/16	1/16	1		-2	46	Bb2	2		8
4	3	9/2	9/2	0.25	1/4	1/4	3/8	1	1	1/16	1/16	1		-4	44	Ab2	2		9
4	3	19/4	19/4	0.25	5/16	5/16	3/8	1	1	1/16	1/16	1		1	43	G2	2		10
5	4	5	5	0.75	0	0	3/8	1	1	3/16	1/8	3/2		-4	44	Ab2	2		11
5	4	23/4	23/4	0.25	3/16	3/16	3/8	1	1	1/16	1/16	1		0	48	C3	3		12
5	4	6	6	0.5	1/4	1/4	3/8	1	1	1/8	1/8	1		1	43	G2	2		13
6	5	13/2	13/2	0.75	0	0	3/8	1	1	3/16	1/8	3/2		-1	41	F2	2		14
6	5	29/4	29/4	0.25	3/16	3/16	3/8	1	1	1/16	1/16	1		-3	51	Eb3	3		15
6	5	15/2	15/2	0.5	1/4	1/4	3/8	1	1	1/8	1/8	1		0	48	C3	3		16
7	6	8	8	0.75	0	0	3/8	1	1	3/16	1/8	3/2		2	50	D3	3		17
7	6	35/4	35/4	0.25	3/16	3/16	3/8	1	1	1/16	1/16	1		-3	51	Eb3	3		18
7	6	9	9	0.5	1/4	1/4	3/8	1	1	1/8	1/8	1		0	48	C3	3		19
8	7	19/2	19/2	0.75	0	0	3/8	1	1	3/16	1/8	3/2		5	47	B2	2		20
8	7	41/4	41/4	0.25	3/16	3/16	3/8	1	1	1/16	1/16	1		2	50	D3	3		21
8	7	21/2	21/2	0.5	1/4	1/4	3/8	1	1	1/8	1/8	1		1	43	G2	2		22
9	8	11	11	0.75	0	0	3/8	1	1	3/16	1/8	3/2		1	55	G3	3		23
9	8	47/4	47/4	0.25	3/16	3/16	3/8	1	1	1/16	1/16	1		-1	53	F3	3		24
9	8	12	12	0.25	1/4	1/4	3/8	1	1	1/16	1/16	1		-3	51	Eb3	3		25
9	8	49/4	49/4	0.25	5/16	5/16	3/8	1	1	1/16	1/16	1		2	50	D3	3		26
10	9	25/2	25/2	0.75	0	0	3/8	1	1	3/16	1/8	3/2		-3	51	Eb3	3		27
10	9	53/4	53/4	0.25	3/16	3/16	3/8	1	1	1/16	1/16	1		1	55	G3	3		28
10	9	27/2	27/2	0.5	1/4	1/4	3/8	1	1	1/8	1/8	1		0	48	C3	3		29
11	10	14	14	0.75	0	0	3/8	1	1	3/16	1/8	3/2		-4	56	Ab3	3		30
11	10	59/4	59/4	0.25	3/16	3/16	3/8	1	1	1/16	1/16	1		1	55	G3	3		31
11	10	15	15	0.25	1/4	1/4	3/8	1	1	1/16	1/16	1		-1	53	F3	3		32
11	10	61/4	61/4	0.25	5/16	5/16	3/8	1	1	1/16	1/16	1		-3	51	Eb3	3		33
12	11	31/2	31/2	0.75	0	0	3/8	1	1	3/16	1/8	3/2		-1	53	F3	3		34
12	11	65/4	65/4	0.25	3/16	3/16	3/8	1	1	1/16	1/16	1		-4	56	Ab3	3		35
12	11	33/2	33/2	0.5	1/4	1/4	3/8	1	1	1/8	1/8	1		2	50	D3	3		36
13	12	17	17	0.75	0	0	3/8	1	1	3/16	1/8	3/2		0	60	C4	4	-200.0	37
13	12	71/4	71/4	0.25	3/16	3/16	3/8	1	1	1/16	1/16	1		-2	58	Bb3	3	-200.0	38
13	12	18	18	0.25	1/4	1/4	3/8	1	1	1/16	1/16	1		3	57	A3	3	-200.0	39
13	12	73/4	73/4	0.25	5/16	5/16	3/8	1	1	1/16	1/16	1		-1	53	F3	3		40
14	13	37/2	37/2	0.75	0	0	3/8	1	1	3/16	1/8	3/2		1	55	G3	3		41
14	13	77/4	77/4	0.25	3/16	3/16	3/8	1	1	1/16	1/16	1		-3	51	Eb3	3		42
14	13	39/2	39/2	0.5	1/4	1/4	3/8	1	1	1/8	1/8	1		2	62	D4	4	-200.0	43
15	14	20	20	0.75	0	0	3/8	1	1	3/16	1/8	3/2		-2	58	Bb3	3	-200.0	44
15	14	83/4	83/4	0.25	3/16	3/16	3/8	1	1	1/16	1/16	1		-1	53	F3	3		45
15	14	21	21	0.5	1/4	1/4	3/8	1	1	1/8	1/8	1		4	64	E4	4	-200.0	46
16	15	43/2	43/2	1.5	0	0	3/8	1	1	3/8	1/4	3/2	1	-1	65	F4	4	-200.0	47
17	16	23	23	0.75	0	0	3/8	1	1	3/16	1/8	3/2	-1	-1	65	F4	4	-200.0	48
17	16	95/4	95/4	0.25	3/16	3/16	3/8	1	1	1/16	1/16	1		4	64	E4	4	-200.0	49
17	16	24	24	0.25	1/4	1/4	3/8	1	1	1/16	1/16	1		2	62	D4	4	-200.0	50
17	16	97/4	97/4	0.25	5/16	5/16	3/8	1	1	1/16	1/16	1		0	60	C4	4	-200.0	51
18	17	49/2	49/2	0.75	0	0	3/8	1	1	3/16	1/8	3/2		2	62	D4	4	-200.0	52
18	17	101/4	101/4	0.25	3/16	3/16	3/8	1	1	1/16	1/16	1		0	60	C4	4	-200.0	53
18	17	51/2	51/2	0.25	1/4	1/4	3/8	1	1	1/16	1/16	1		-2	58	Bb3	3	-200.0	54
18	17	103/4	103/4	0.25	5/16	5/16	3/8	1	1	1/16	1/16	1		3	57	A3	3	-200.0	55
19	18	26	26	1.5	0	0	3/8	1	1	3/8	1/4	3/2	1	-2	58	Bb3	3	-200.0	56
20	19	55/2	55/2	0.75	0	0	3/8	1	1	3/16	1/8	3/2	-1	-2	58	Bb3	3	-200.0	57
