mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	1.0	0	3/4	2/2	1	1	1/4	1/4	1		6	78	F#5	5	0
2	2	1	1.0	0	0	2/2	1	4	1/4	1/4	1		5	59	B3	3	9
2	2	1	1.0	0	0	2/2	1	3	1/4	1/4	1		6	66	F#4	4	7
2	2	1	1.0	0	0	2/2	1	2	1/4	1/4	1		2	74	D5	5	5
2	2	1	1.0	0	0	2/2	1	1	1/4	1/4	1		5	83	B5	5	1
2	2	2	1.0	1/4	1/4	2/2	1	1	1/4	1/4	1		6	78	F#5	5	2
2	2	3	1.0	1/2	1/2	2/2	1	4	1/4	1/4	1		5	59	B3	3	10
2	2	3	1.0	1/2	1/2	2/2	1	3	1/4	1/4	1		6	66	F#4	4	8
2	2	3	1.0	1/2	1/2	2/2	1	2	1/4	1/4	1		2	74	D5	5	6
2	2	3	1.0	1/2	1/2	2/2	1	1	1/4	1/4	1		5	83	B5	5	3
2	2	4	1.0	3/4	3/4	2/2	1	1	1/4	1/4	1		6	78	F#5	5	4
3	3	5	1.0	0	0	2/2	1	3	1/4	1/4	1		10	70	A#4	4	18
3	3	5	1.0	0	0	2/2	1	2	1/4	1/4	1		7	73	C#5	5	16
3	3	5	1.0	0	0	2/2	1	1	1/4	1/4	1		1	79	G5	5	11
3	3	6	0.5	1/4	1/4	2/2	1	1	1/8	1/8	1		1	79	G5	5	12
3	3	13/2	0.5	3/8	3/8	2/2	1	1	1/8	1/8	1		6	78	F#5	5	13
3	3	7	1.0	1/2	1/2	2/2	1	1	1/4	1/4	1		4	76	E5	5	14
3	3	8	1.0	3/4	3/4	2/2	1	3	1/4	1/4	1		4	64	E4	4	19
3	3	8	1.0	3/4	3/4	2/2	1	2	1/4	1/4	1		10	70	A#4	4	17
3	3	8	1.0	3/4	3/4	2/2	1	1	1/4	1/4	1		1	79	G5	5	15
4	4	9	1.0	0	0	2/2	1	3	1/4	1/4	1		2	62	D4	4	27
4	4	9	1.0	0	0	2/2	1	2	1/4	1/4	1		5	71	B4	4	24
4	4	9	1.0	0	0	2/2	1	1	1/4	1/4	1		6	78	F#5	5	20
4	4	10	1.0	1/4	1/4	2/2	1	3	1/4	1/4	1		4	64	E4	4	28
4	4	10	1.0	1/4	1/4	2/2	1	2	1/4	1/4	1		7	73	C#5	5	25
4	4	10	1.0	1/4	1/4	2/2	1	1	1/4	1/4	1		4	76	E5	5	21
4	4	11	2.0	1/2	1/2	2/2	1	2	1/2	1/2	1		6	66	F#4	4	26
4	4	11	1.0	1/2	1/2	2/2	1	1	1/4	1/4	1		2	74	D5	5	22
4	4	12	1.0	3/4	3/4	2/2	1	1	1/4	1/4	1		7	73	C#5	5	23
5	5	13	1.0	0	0	2/2	1	3	1/4	1/4	1		5	59	B3	3	37
5	5	13	1.0	0	0	2/2	1	2	1/4	1/4	1		6	66	F#4	4	36
5	5	13	0.5	0	0	2/2	1	1	1/8	1/8	1		4	76	E5	5	29
5	5	27/2	0.5	1/8	1/8	2/2	1	1	1/8	1/8	1		2	74	D5	5	30
5	5	14	0.5	1/4	1/4	2/2	1	1	1/8	1/8	1		7	73	C#5	5	31
5	5	29/2	0.5	3/8	3/8	2/2	1	1	1/8	1/8	1		2	74	D5	5	32
5	5	15	1.0	1/2	1/2	2/2	1	1	1/4	1/4	1		5	71	B4	4	33
5	5	16	0.5	3/4	3/4	2/2	1	1	1/8	1/8	1		2	74	D5	5	34
5	5	33/2	0.5	7/8	7/8	2/2	1	1	1/8	1/8	1		7	73	C#5	5	35
6	6	17	1.0	0	0	2/2	1	1	1/4	1/4	1		2	74	D5	5	38
6	6	18	1.0	1/4	1/4	2/2	1	2	1/4	1/4	1		5	59	B3	3	42
6	6	18	1.0	1/4	1/4	2/2	1	1	1/4	1/4	1		6	66	F#4	4	39
6	6	19	1.0	1/2	1/2	2/2	1	2	1/4	1/4	1		5	59	B3	3	43
6	6	19	1.0	1/2	1/2	2/2	1	1	1/4	1/4	1		1	67	G4	4	40
6	6	20	1.0	3/4	3/4	2/2	1	1	1/4	1/4	1		2	74	D5	5	41
7	7	21	1.0	0	0	2/2	1	3	1/4	1/4	1		3	57	A3	3	51
7	7	21	1.0	0	0	2/2	1	2	1/4	1/4	1		1	67	G4	4	50
7	7	21	1.0	0	0	2/2	1	1	1/4	1/4	1		7	73	C#5	5	44
7	7	22	0.5	1/4	1/4	2/2	1	1	1/8	1/8	1		7	73	C#5	5	45
7	7	45/2	0.5	3/8	3/8	2/2	1	1	1/8	1/8	1		5	71	B4	4	46
7	7	23	1.0	1/2	1/2	2/2	1	1	1/4	1/4	1		7	73	C#5	5	47
7	7	24	0.5	3/4	3/4	2/2	1	1	1/8	1/8	1		3	81	A5	5	48
7	7	49/2	0.5	7/8	7/8	2/2	1	1	1/8	1/8	1		4	76	E5	5	49
8	8	25	1.0	0	0	2/2	1	1	1/4	1/4	1		7	73	C#5	5	52
8	8	26	1.0	1/4	1/4	2/2	1	2	1/4	1/4	1		3	57	A3	3	56
8	8	26	1.0	1/4	1/4	2/2	1	1	1/4	1/4	1		4	64	E4	4	53
8	8	27	1.0	1/2	1/2	2/2	1	2	1/4	1/4	1		3	57	A3	3	57
8	8	27	1.0	1/2	1/2	2/2	1	1	1/4	1/4	1		6	66	F#4	4	54
8	8	28	1.0	3/4	3/4	2/2	1	1	1/4	1/4	1		7	73	C#5	5	55
9	9	29	1.0	0	0	2/2	1	3	1/4	1/4	1		1	55	G3	3	65
9	9	29	1.0	0	0	2/2	1	2	1/4	1/4	1		6	66	F#4	4	64
9	9	29	1.0	0	0	2/2	1	1	1/4	1/4	1		5	71	B4	4	58
9	9	30	0.5	1/4	1/4	2/2	1	1	1/8	1/8	1		5	71	B4	4	59
9	9	61/2	0.5	3/8	3/8	2/2	1	1	1/8	1/8	1		3	69	A4	4	60
9	9	31	1.0	1/2	1/2	2/2	1	1	1/4	1/4	1		5	71	B4	4	61
9	9	32	0.5	3/4	3/4	2/2	1	1	1/8	1/8	1		5	83	B5	5	62
9	9	65/2	0.5	7/8	7/8	2/2	1	1	1/8	1/8	1		1	79	G5	5	63
10	10	33	1.0	0	0	2/2	1	1	1/4	1/4	1		4	76	E5	5	66
10	10	34	0.5	1/4	1/4	2/2	1	1	1/8	1/8	1		1	79	G5	5	67
10	10	69/2	0.5	3/8	3/8	2/2	1	1	1/8	1/8	1		4	76	E5	5	68
10	10	35	1.0	1/2	1/2	2/2	1	1	1/4	1/4	1		7	73	C#5	5	69
10	10	36	0.5	3/4	3/4	2/2	1	1	1/8	1/8	1		4	76	E5	5	70
10	10	73/2	0.5	7/8	7/8	2/2	1	1	1/8	1/8	1		7	73	C#5	5	71
11	11	37	1.0	0	0	2/2	1	2	1/4	1/4	1		1	67	G4	4	79
11	11	37	1.0	0	0	2/2	1	1	1/4	1/4	1		3	69	A4	4	72
11	11	38	0.5	1/4	1/4	2/2	1	1	1/8	1/8	1		5	71	B4	4	73
11	11	77/2	0.5	3/8	3/8	2/2	1	1	1/8	1/8	1		7	73	C#5	5	74
11	11	39	0.5	1/2	1/2	2/2	1	1	1/8	1/8	1		2	74	D5	5	75
11	11	79/2	0.5	5/8	5/8	2/2	1	1	1/8	1/8	1		4	76	E5	5	76
11	11	40	0.5	3/4	3/4	2/2	1	1	1/8	1/8	1		6	78	F#5	5	77
11	11	81/2	0.5	7/8	7/8	2/2	1	1	1/8	1/8	1		1	79	G5	5	78
12	12	41	1.0	0	0	2/2	1	1	1/4	1/4	1		3	81	A5	5	80
12	12	42	1.0	1/4	1/4	2/2	1	2	1/4	1/4	1		6	66	F#4	4	84
12	12	42	1.0	1/4	1/4	2/2	1	1	1/4	1/4	1		2	74	D5	5	81
12	12	43	1.0	1/2	1/2	2/2	1	2	1/4	1/4	1		1	67	G4	4	85
12	12	43	1.0	1/2	1/2	2/2	1	1	1/4	1/4	1		4	76	E5	5	82
12	12	44	1.0	3/4	3/4	2/2	1	2	1/4	1/4	1		3	69	A4	4	86
12	12	44	1.0	3/4	3/4	2/2	1	1	1/4	1/4	1		7	73	C#5	5	83
13	13	45	1.0	0	0	2/2	1	3	1/4	1/4	1		5	59	B3	3	94
13	13	45	1.0	0	0	2/2	1	2	1/4	1/4	1		3	69	A4	4	92
13	13	45	0.5	0	0	2/2	1	1	1/8	1/8	1		2	74	D5	5	87
13	13	91/2	0.5	1/8	1/8	2/2	1	1	1/8	1/8	1		7	73	C#5	5	88
13	13	46	1.0	1/4	1/4	2/2	1	1	1/4	1/4	1		2	74	D5	5	89
13	13	47	1.0	1/2	1/2	2/2	1	1	1/4	1/4	1		5	83	B5	5	90
13	13	48	1.0	3/4	3/4	2/2	1	2	1/4	1/4	1		8	68	G#4	4	93
13	13	48	1.0	3/4	3/4	2/2	1	1	1/4	1/4	1		2	74	D5	5	91
14	14	49	1.0	0	0	2/2	1	3	1/4	1/4	1		3	57	A3	3	102
14	14	49	1.0	0	0	2/2	1	2	1/4	1/4	1		1	67	G4	4	100
