mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0.5	0	0	2/2	1	1	1/8	1/8	1		-3	39	Eb2	2	0
1	1	1/2	0.5	1/8	1/8	2/2	1	1	1/8	1/8	1		-3	63	Eb4	4	1
1	1	1	0.5	1/4	1/4	2/2	1	1	1/8	1/8	1		-2	58	Bb3	3	2
1	1	3/2	0.5	3/8	3/8	2/2	1	1	1/8	1/8	1		1	55	G3	3	3
1	1	2	0.5	1/2	1/2	2/2	1	1	1/8	1/8	1		-2	58	Bb3	3	4
1	1	5/2	0.5	5/8	5/8	2/2	1	1	1/8	1/8	1		-3	51	Eb3	3	5
1	1	3	0.5	3/4	3/4	2/2	1	1	1/8	1/8	1		1	55	G3	3	6
1	1	7/2	0.5	7/8	7/8	2/2	1	1	1/8	1/8	1		-2	46	Bb2	2	7
2	2	4	0.5	0	0	2/2	1	1	1/8	1/8	1		-3	39	Eb2	2	8
2	2	9/2	0.5	1/8	1/8	2/2	1	1	1/8	1/8	1		-3	63	Eb4	4	9
2	2	5	0.5	1/4	1/4	2/2	1	1	1/8	1/8	1		-2	58	Bb3	3	10
2	2	11/2	0.5	3/8	3/8	2/2	1	1	1/8	1/8	1		1	55	G3	3	11
2	2	6	0.5	1/2	1/2	2/2	1	1	1/8	1/8	1		-2	58	Bb3	3	12
2	2	13/2	0.5	5/8	5/8	2/2	1	1	1/8	1/8	1		-3	51	Eb3	3	13
2	2	7	0.5	3/4	3/4	2/2	1	1	1/8	1/8	1		1	55	G3	3	14
2	2	15/2	0.5	7/8	7/8	2/2	1	1	1/8	1/8	1		-2	46	Bb2	2	15
3	3	8	0.5	0	0	2/2	1	1	1/8	1/8	1		-3	39	Eb2	2	16
3	3	17/2	0.5	1/8	1/8	2/2	1	1	1/8	1/8	1		-5	61	Db4	4	17
3	3	9	0.5	1/4	1/4	2/2	1	1	1/8	1/8	1		-2	58	Bb3	3	18
3	3	19/2	0.5	3/8	3/8	2/2	1	1	1/8	1/8	1		1	55	G3	3	19
3	3	10	0.5	1/2	1/2	2/2	1	1	1/8	1/8	1		-2	58	Bb3	3	20
3	3	21/2	0.5	5/8	5/8	2/2	1	1	1/8	1/8	1		-3	51	Eb3	3	21
3	3	11	0.5	3/4	3/4	2/2	1	1	1/8	1/8	1		1	55	G3	3	22
3	3	23/2	0.5	7/8	7/8	2/2	1	1	1/8	1/8	1		-2	46	Bb2	2	23
4	4	12	0.5	0	0	2/2	1	1	1/8	1/8	1		-3	39	Eb2	2	24
4	4	25/2	0.5	1/8	1/8	2/2	1	1	1/8	1/8	1		-5	61	Db4	4	25
4	4	13	0.5	1/4	1/4	2/2	1	1	1/8	1/8	1		-2	58	Bb3	3	26
4	4	27/2	0.5	3/8	3/8	2/2	1	1	1/8	1/8	1		1	55	G3	3	27
4	4	14	0.5	1/2	1/2	2/2	1	1	1/8	1/8	1		-2	58	Bb3	3	28
4	4	29/2	0.5	5/8	5/8	2/2	1	1	1/8	1/8	1		-3	51	Eb3	3	29
4	4	15	0.5	3/4	3/4	2/2	1	1	1/8	1/8	1		1	55	G3	3	30
4	4	31/2	0.5	7/8	7/8	2/2	1	1	1/8	1/8	1		-2	46	Bb2	2	31
5	5	16	0.5	0	0	2/2	1	1	1/8	1/8	1		-3	39	Eb2	2	32
5	5	33/2	0.5	1/8	1/8	2/2	1	1	1/8	1/8	1		0	60	C4	4	33
5	5	17	0.5	1/4	1/4	2/2	1	1	1/8	1/8	1		-4	56	Ab3	3	34
5	5	35/2	0.5	3/8	3/8	2/2	1	1	1/8	1/8	1		-3	51	Eb3	3	35
5	5	18	0.5	1/2	1/2	2/2	1	1	1/8	1/8	1		-4	56	Ab3	3	36
5	5	37/2	0.5	5/8	5/8	2/2	1	1	1/8	1/8	1		0	48	C3	3	37
5	5	19	0.5	3/4	3/4	2/2	1	1	1/8	1/8	1		-3	51	Eb3	3	38
5	5	39/2	0.5	7/8	7/8	2/2	1	1	1/8	1/8	1		-4	44	Ab2	2	39
