mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	0	0	0.5	0	3/4	2/2	1	1	1/8	1/8	1		4	52	E3	3	0
1	0	1/2	0.5	1/8	7/8	2/2	1	1	1/8	1/8	1		-1	53	F3	3	1
2	1	1	1.0	0	0	2/2	1	1	1/4	1/4	1		1	55	G3	3	2
2	1	2	0.5	1/4	1/4	2/2	1	1	1/8	1/8	1		0	48	C3	3	3
2	1	5/2	0.5	3/8	3/8	2/2	1	1	1/8	1/8	1		5	47	B2	2	4
2	1	3	1.0	1/2	1/2	2/2	1	1	1/4	1/4	1		0	48	C3	3	5
2	1	4	1.0	3/4	3/4	2/2	1	1	1/4	1/4	1		0	60	C4	4	6
3	2	5	1.0	0	0	2/2	1	2	1/4	1/4	1		1	43	G2	2	13
3	2	5	1.0	0	0	2/2	1	3	1/4	1/4	1		2	50	D3	3	14
3	2	5	1.0	0	0	2/2	1	1	1/4	1/4	1		5	59	B3	3	7
3	2	6	0.5	1/4	1/4	2/2	1	1	1/8	1/8	1		3	57	A3	3	8
3	2	13/2	0.5	3/8	3/8	2/2	1	1	1/8	1/8	1		5	59	B3	3	9
3	2	7	1.0	1/2	1/2	2/2	1	1	1/4	1/4	1		1	55	G3	3	10
3	2	8	0.5	3/4	3/4	2/2	1	1	1/8	1/8	1		2	50	D3	3	11
3	2	17/2	0.5	7/8	7/8	2/2	1	1	1/8	1/8	1		4	52	E3	3	12
4	3	9	1.0	0	0	2/2	1	1	1/4	1/4	1		-1	53	F3	3	15
4	3	10	0.5	1/4	1/4	2/2	1	1	1/8	1/8	1		5	47	B2	2	16
4	3	21/2	0.5	3/8	3/8	2/2	1	1	1/8	1/8	1		3	45	A2	2	17
4	3	11	1.0	1/2	1/2	2/2	1	1	1/4	1/4	1		5	47	B2	2	18
4	3	12	1.0	3/4	3/4	2/2	1	1	1/4	1/4	1		1	55	G3	3	19
5	4	13	1.0	0	0	2/2	1	2	1/4	1/4	1		0	36	C2	2	27
5	4	13	0.5	0	0	2/2	1	1	1/8	1/8	1		1	43	G2	2	20
5	4	13	0.5	0	0	2/2	1	1	1/8	1/8	1		-1	53	F3	3	20
5	4	27/2	0.5	1/8	1/8	2/2	1	1	1/8	1/8	1		4	52	E3	3	21
5	4	14	0.5	1/4	1/4	2/2	1	1	1/8	1/8	1		2	50	D3	3	22
5	4	29/2	0.5	3/8	3/8	2/2	1	1	1/8	1/8	1		4	52	E3	3	23
5	4	15	1.0	1/2	1/2	2/2	1	1	1/4	1/4	1		0	48	C3	3	24
5	4	16	0.5	3/4	3/4	2/2	1	1	1/8	1/8	1		0	60	C4	4	25
5	4	33/2	0.5	7/8	7/8	2/2	1	1	1/8	1/8	1		5	59	B3	3	26
6	5	17	0.5	0	0	2/2	1	1	1/8	1/8	1		3	57	A3	3	28
6	5	35/2	0.5	1/8	1/8	2/2	1	1	1/8	1/8	1		5	59	B3	3	29
6	5	18	0.5	1/4	1/4	2/2	1	1	1/8	1/8	1		0	60	C4	4	30
6	5	37/2	0.5	3/8	3/8	2/2	1	1	1/8	1/8	1		1	55	G3	3	31
6	5	19	0.5	1/2	1/2	2/2	1	1	1/8	1/8	1		6	54	F#3	3	32
6	5	39/2	0.5	5/8	5/8	2/2	1	1	1/8	1/8	1		5	59	B3	3	33
6	5	20	0.5	3/4	3/4	2/2	1	1	1/8	1/8	1		0	60	C4	4	34
6	5	41/2	0.5	7/8	7/8	2/2	1	1	1/8	1/8	1		4	52	E3	3	35
7	6	21	0.5	0	0	2/2	1	1	1/8	1/8	1		2	50	D3	3	36
7	6	43/2	0.5	1/8	1/8	2/2	1	1	1/8	1/8	1		5	59	B3	3	37
7	6	22	0.5	1/4	1/4	2/2	1	1	1/8	1/8	1		0	60	C4	4	38
7	6	45/2	0.5	3/8	3/8	2/2	1	1	1/8	1/8	1		0	48	C3	3	39
7	6	23	0.5	1/2	1/2	2/2	1	1	1/8	1/8	1		5	47	B2	2	40
7	6	47/2	0.5	5/8	5/8	2/2	1	1	1/8	1/8	1		2	50	D3	3	41
7	6	24	0.5	3/4	3/4	2/2	1	1	1/8	1/8	1		6	54	F#3	3	42
7	6	49/2	0.5	7/8	7/8	2/2	1	1	1/8	1/8	1		3	57	A3	3	43
8	7	25	1.0	0	0	2/2	1	1	1/4	1/4	1		2	62	D4	4	44
8	7	26	0.5	1/4	1/4	2/2	1	1	1/8	1/8	1		5	59	B3	3	45
8	7	53/2	0.5	3/8	3/8	2/2	1	1	1/8	1/8	1		1	55	G3	3	46
8	7	27	1.0	1/2	1/2	2/2	1	1	1/4	1/4	1		2	50	D3	3	47
8	7	28	1.0	3/4	3/4	2/2	1	1	1/4	1/4	1		6	54	F#3	3	48
9	8	29	1.0	0	0	2/2	1	1	1/4	1/4	1		1	55	G3	3	49
9	8	30	1.0	1/4	1/4	2/2	1	1	1/4	1/4	1		2	50	D3	3	50
9	8	31	1.0	1/2	1/2	2/2	1	1	1/4	1/4	1		1	43	G2	2	51
9	8	32	0.5	3/4	3/4	2/2	1	1	1/8	1/8	1		5	59	B3	3	52
9	8	65/2	0.5	7/8	7/8	2/2	1	1	1/8	1/8	1		0	60	C4	4	53
10	9	33	1.0	0	0	2/2	1	1	1/4	1/4	1		2	62	D4	4	54
10	9	34	0.5	1/4	1/4	2/2	1	1	1/8	1/8	1		5	59	B3	3	55
10	9	69/2	0.5	3/8	3/8	2/2	1	1	1/8	1/8	1		1	55	G3	3	56
10	9	35	1.0	1/2	1/2	2/2	1	1	1/4	1/4	1		-1	53	F3	3	57
10	9	36	1.0	3/4	3/4	2/2	1	1	1/4	1/4	1		5	59	B3	3	58
11	10	37	0.5	0	0	2/2	1	1	1/8	1/8	1		4	52	E3	3	59
11	10	75/2	0.5	1/8	1/8	2/2	1	1	1/8	1/8	1		1	55	G3	3	60
11	10	38	0.5	1/4	1/4	2/2	1	1	1/8	1/8	1		0	60	C4	4	61
11	10	77/2	0.5	3/8	3/8	2/2	1	1	1/8	1/8	1		2	62	D4	4	62
11	10	39	1.0	1/2	1/2	2/2	1	1	1/4	1/4	1		4	64	E4	4	63
11	10	40	0.5	3/4	3/4	2/2	1	1	1/8	1/8	1		0	60	C4	4	64
11	10	81/2	0.5	7/8	7/8	2/2	1	1	1/8	1/8	1		8	56	G#3	3	65
12	11	41	1.0	0	0	2/2	1	1	1/4	1/4	1		3	57	A3	3	66
12	11	42	0.5	1/4	1/4	2/2	1	1	1/8	1/8	1		-1	53	F3	3	67
12	11	85/2	0.5	3/8	3/8	2/2	1	1	1/8	1/8	1		3	57	A3	3	68
12	11	43	0.5	1/2	1/2	2/2	1	1	1/8	1/8	1		2	50	D3	3	69
12	11	87/2	0.5	5/8	5/8	2/2	1	1	1/8	1/8	1		0	60	C4	4	70
12	11	44	0.5	3/4	3/4	2/2	1	1	1/8	1/8	1		5	59	B3	3	71
12	11	89/2	0.5	7/8	7/8	2/2	1	1	1/8	1/8	1		3	57	A3	3	72
13	12	45	0.5	0	0	2/2	1	1	1/8	1/8	1		4	52	E3	3	73
13	12	91/2	0.5	1/8	1/8	2/2	1	1	1/8	1/8	1		3	57	A3	3	74
13	12	46	0.5	1/4	1/4	2/2	1	1	1/8	1/8	1		8	56	G#3	3	75
13	12	93/2	0.5	3/8	3/8	2/2	1	1	1/8	1/8	1		6	54	F#3	3	76
13	12	47	1.0	1/2	1/2	2/2	1	1	1/4	1/4	1		4	52	E3	3	77
13	12	48	0.5	3/4	3/4	2/2	1	1	1/8	1/8	1		5	59	B3	3	78
13	12	97/2	0.5	7/8	7/8	2/2	1	1	1/8	1/8	1		4	52	E3	3	79
14	13	49	0.5	0	0	2/2	1	1	1/8	1/8	1		0	60	C4	4	80
14	13	99/2	0.5	1/8	1/8	2/2	1	1	1/8	1/8	1		3	57	A3	3	81
14	13	50	0.5	1/4	1/4	2/2	1	1	1/8	1/8	1		8	56	G#3	3	82
14	13	101/2	0.5	3/8	3/8	2/2	1	1	1/8	1/8	1		3	57	A3	3	83
14	13	51	0.5	1/2	1/2	2/2	1	1	1/8	1/8	1		5	59	B3	3	84
14	13	103/2	0.5	5/8	5/8	2/2	1	1	1/8	1/8	1		4	52	E3	3	85
14	13	52	0.5	3/4	3/4	2/2	1	1	1/8	1/8	1		0	60	C4	4	86
14	13	105/2	0.5	7/8	7/8	2/2	1	1	1/8	1/8	1		4	52	E3	3	87
15	14	53	0.5	0	0	2/2	1	1	1/8	1/8	1		2	62	D4	4	88
15	14	107/2	0.5	1/8	1/8	2/2	1	1	1/8	1/8	1		5	59	B3	3	89
15	14	54	0.5	1/4	1/4	2/2	1	1	1/8	1/8	1		3	57	A3	3	90
15	14	109/2	0.5	3/8	3/8	2/2	1	1	1/8	1/8	1		5	59	B3	3	91
15	14	55	0.5	1/2	1/2	2/2	1	1	1/8	1/8	1		0	60	C4	4	92
15	14	111/2	0.5	5/8	5/8	2/2	1	1	1/8	1/8	1		4	52	E3	3	93
15	14	56	0.5	3/4	3/4	2/2	1	1	1/8	1/8	1		2	62	D4	4	94
15	14	113/2	0.5	7/8	7/8	2/2	1	1	1/8	1/8	1		2	50	D3	3	95
16	15	57	0.5	0	0	2/2	1	1	1/8	1/8	1		0	48	C3	3	96
16	15	115/2	0.5	1/8	1/8	2/2	1	1	1/8	1/8	1		4	64	E4	4	97
16	15	58	0.5	1/4	1/4	2/2	1	1	1/8	1/8	1		5	59	B3	3	98
16	15	117/2	0.5	3/8	3/8	2/2	1	1	1/8	1/8	1		0	60	C4	4	99
16	15	59	1.0	1/2	1/2	2/2	1	1	1/4	1/4	1		4	52	E3	3	100
16	15	60	0.5	3/4	3/4	2/2	1	1	1/8	1/8	1		3	57	A3	3	101
16	15	121/2	0.5	7/8	7/8	2/2	1	1	1/8	1/8	1		8	56	G#3	3	102
17	16	61	1.0	0	0	2/2	1	1	1/4	1/4	1		3	57	A3	3	103
17	16	62	1.0	1/4	1/4	2/2	1	1	1/4	1/4	1		4	52	E3	3	104
17	16	63	1.0	1/2	1/2	2/2	1	1	1/4	1/4	1		3	45	A2	2	105
17	16	64	0.5	3/4	3/4	2/2	1	1	1/8	1/8	1		3	57	A3	3	106
17	16	129/2	0.5	7/8	7/8	2/2	1	1	1/8	1/8	1		5	59	B3	3	107
18	17	65	1.0	0	0	2/2	1	1	1/4	1/4	1		0	60	C4	4	108
18	17	66	0.5	1/4	1/4	2/2	1	1	1/8	1/8	1		6	54	F#3	3	109
18	17	133/2	0.5	3/8	3/8	2/2	1	1	1/8	1/8	1		4	52	E3	3	110
18	17	67	1.0	1/2	1/2	2/2	1	1	1/4	1/4	1		6	54	F#3	3	111
18	17	68	1.0	3/4	3/4	2/2	1	1	1/4	1/4	1		2	50	D3	3	112
19	18	69	0.5	0	0	2/2	1	1	1/8	1/8	1		1	43	G2	2	113
