mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	chord_id
1	1	0	0	4/4	1	2	1/4	1/4	1		3	57	17
1	1	0	0	4/4	1	1	1/4	1/4	1		3	69	0
1	1	0	0	4/4	1	1	1/4	1/4	1		0	72	0
1	1	0	0	4/4	1	1	1/4	1/4	1		4	76	0
1	1	1/4	1/4	4/4	1	1	1/32	1/32	1		1	55	1
1	1	9/32	9/32	4/4	1	1	1/32	1/32	1		-1	77	2
1	1	5/16	5/16	4/4	1	1	1/32	1/32	1		4	76	3
1	1	11/32	11/32	4/4	1	1	1/64	1/64	1		2	74	4
1	1	23/64	23/64	4/4	1	1	1/64	1/64	1		0	72	5
1	1	3/8	3/8	4/4	1	1	1/16	1/16	1		5	71	6
1	1	7/16	7/16	4/4	1	1	1/16	1/16	1		3	69	7
1	1	1/2	1/2	4/4	1	2	1/8	1/8	1		-1	65	18
1	1	1/2	1/2	4/4	1	1	1/16	1/16	1		3	69	8
1	1	9/16	9/16	4/4	1	1	1/16	1/16	1		8	68	9
1	1	5/8	5/8	4/4	1	1	1/8	1/8	1	1	3	69	10
1	1	3/4	3/4	4/4	1	2	1/8	1/8	1		4	64	19
1	1	3/4	3/4	4/4	1	1	1/16	1/16	1	-1	3	69	11
1	1	13/16	13/16	4/4	1	1	1/32	1/32	1		3	69	12
1	1	27/32	27/32	4/4	1	1	1/32	1/32	1		5	71	13
1	1	7/8	7/8	4/4	1	1	1/32	1/32	1		0	72	14
1	1	29/32	29/32	4/4	1	1	1/32	1/32	1		2	74	15
1	1	15/16	15/16	4/4	1	1	1/16	1/16	1		4	76	16
2	2	0	0	4/4	1	2	1/8	1/8	1		2	62	39
2	2	0	0	4/4	1	3	1/8	1/8	1		3	69	42
2	2	0	0	4/4	1	1	3/32	1/16	3/2		-1	77	20
2	2	3/32	3/32	4/4	1	1	1/32	1/32	1		4	76	21
2	2	1/8	1/8	4/4	1	1	1/16	1/16	1		2	74	22
2	2	3/16	3/16	4/4	1	1	1/32	1/32	1		0	72	23
2	2	7/32	7/32	4/4	1	1	1/32	1/32	1		5	71	24
2	2	1/4	1/4	4/4	1	2	1/8	1/8	1		9	63	40
