mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	0.75	0	0	3/4	1	1	3/16	1/8	3/2		2	50	D3	3	0
1	1	0	0	1.0	0	0	3/4	1	2	1/4	1/4	1		2	50	D3	3	5
1	1	3/4	3/4	0.25	3/16	3/16	3/4	1	1	1/16	1/16	1		4	52	E3	3	1
1	1	1	1	2.0	1/4	1/4	3/4	1	2	1/2	1/2	1		3	45	A2	2	6
1	1	1	1	1.5	1/4	1/4	3/4	1	1	3/8	1/4	3/2		4	52	E3	3	2
1	1	5/2	5/2	0.25	5/8	5/8	3/4	1	1	1/16	1/16	1		2	50	D3	3	3
1	1	11/4	11/4	0.25	11/16	11/16	3/4	1	1	1/16	1/16	1		4	52	E3	3	4
2	2	3	3	1.5	0	0	3/4	1	3	3/8	1/4	3/2		2	38	D2	2	12
2	2	3	3	1.5	0	0	3/4	1	2	3/8	1/4	3/2		3	45	A2	2	11
2	2	3	3	1.5	0	0	3/4	1	1	3/8	1/4	3/2		-1	53	F3	3	7
2	2	9/2	9/2	0.5	3/8	3/8	3/4	1	1	1/8	1/8	1		4	52	E3	3	8
2	2	5	5	0.5	1/2	1/2	3/4	1	1	1/8	1/8	1		2	50	D3	3	9
2	2	11/2	11/2	0.5	5/8	5/8	3/4	1	1	1/8	1/8	1		0	48	C3	3	10
3	3	6	6	0.5	0	0	3/4	1	1	1/8	1/8	1		-2	46	Bb2	2	13
3	3	13/2	13/2	0.5	1/8	1/8	3/4	1	1	1/8	1/8	1		1	55	G3	3	14
3	3	7	7	0.5	1/4	1/4	3/4	1	1	1/8	1/8	1		-1	53	F3	3	15
3	3	15/2	15/2	0.25	3/8	3/8	3/4	1	1	1/16	1/16	1		4	52	E3	3	16
3	3	31/4	31/4	0.25	7/16	7/16	3/4	1	1	1/16	1/16	1		-1	53	F3	3	17
3	3	8	8	0.25	1/2	1/2	3/4	1	1	1/16	1/16	1		1	55	G3	3	18
3	3	33/4	33/4	0.25	9/16	9/16	3/4	1	1	1/16	1/16	1		3	57	A3	3	19
3	3	17/2	17/2	0.25	5/8	5/8	3/4	1	1	1/16	1/16	1		-2	58	Bb3	3	20
3	3	35/4	35/4	0.25	11/16	11/16	3/4	1	1	1/16	1/16	1		2	50	D3	3	21
4	4	9	9	1.5	0	0	3/4	1	1	3/8	1/4	3/2		7	49	C#3	3	22
4	4	21/2	21/2	0.5	3/8	3/8	3/4	1	1	1/8	1/8	1		5	47	B2	2	23
4	4	11	11	0.5	1/2	1/2	3/4	1	1	1/8	1/8	1		3	45	A2	2	24
