mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	0	1.5	2	2/2	3/8	5/8					firstMeasure	2
2	2	3/2	4.0	2	2/2	1	0						3
3	3	11/2	4.0	2	2/2	1	0						4
4	4	19/2	4.0	2	2/2	1	0				line		5
5	5	27/2	4.0	2	2/2	1	0						6
6	6	35/2	4.0	2	2/2	1	0						7
7	7	43/2	4.0	2	2/2	1	0				line		8
8	8	51/2	4.0	2	2/2	1	0						9
9	9	59/2	4.0	2	2/2	1	0						10
10	10	67/2	4.0	2	2/2	1	0						11
11	11	75/2	4.0	2	2/2	1	0				line		12
12	12	83/2	4.0	2	2/2	1	0						13
13	13	91/2	4.0	2	2/2	1	0						14
14	14	99/2	4.0	2	2/2	1	0				line		15
15	15	107/2	4.0	2	2/2	1	0						16
16	16	115/2	4.0	2	2/2	1	0						17
17	17	123/2	4.0	2	2/2	1	0				line		18
18	18	131/2	4.0	2	2/2	1	0						19
19	19	139/2	4.0	2	2/2	1	0						20
20	20	147/2	4.0	2	2/2	1	0						21
21	21	155/2	2.5	2	2/2	5/8	0				line	end	1, 22
22	22	80	1.5	2	2/2	3/8	5/8			start-repeat		start	23
23	23	163/2	4.0	2	2/2	1	0						24
24	24	171/2	4.0	2	2/2	1	0						25
25	25	179/2	4.0	2	2/2	1	0				line		26
26	26	187/2	4.0	2	2/2	1	0						27
27	27	195/2	4.0	2	2/2	1	0						28
28	28	203/2	4.0	2	2/2	1	0				line		29
29	29	211/2	4.0	2	2/2	1	0						30
30	30	219/2	4.0	2	2/2	1	0						31
31	31	227/2	4.0	2	2/2	1	0						32
32	32	235/2	4.0	2	2/2	1	0				line		33
33	33	243/2	4.0	2	2/2	1	0						34
34	34	251/2	4.0	2	2/2	1	0						35
35	35	259/2	4.0	2	2/2	1	0				line		36
36	36	267/2	4.0	2	2/2	1	0						37
37	37	275/2	4.0	2	2/2	1	0						38
38	38	283/2	4.0	2	2/2	1	0				line		39
39	39	291/2	4.0	2	2/2	1	0						40
40	40	299/2	4.0	2	2/2	1	0						41
41	41	307/2	4.0	2	2/2	1	0				line		42
42	42	315/2	4.0	2	2/2	1	0						43
43	43	323/2	4.0	2	2/2	1	0						44
44	44	331/2	4.0	2	2/2	1	0						45
45	45	339/2	4.0	2	2/2	1	0				line		46
46	46	347/2	4.0	2	2/2	1	0						47
47	47	355/2	4.0	2	2/2	1	0						48
48	48	363/2	4.0	2	2/2	1	0				line		49
49	49	371/2	4.0	2	2/2	1	0						50
50	50	379/2	4.0	2	2/2	1	0						51
51	51	387/2	4.0	2	2/2	1	0						52
52	52	395/2	4.0	2	2/2	1	0				line		53
53	53	403/2	4.0	2	2/2	1	0						54
54	54	411/2	4.0	2	2/2	1	0						55
55	55	419/2	4.0	2	2/2	1	0				line		56
56	56	427/2	4.0	2	2/2	1	0						57
57	57	435/2	4.0	2	2/2	1	0						58
58	58	443/2	4.0	2	2/2	1	0						59
59	59	451/2	4.0	2	2/2	1	0				line		60
60	60	459/2	4.0	2	2/2	1	0						61
61	61	467/2	4.0	2	2/2	1	0						62
62	62	475/2	4.0	2	2/2	1	0				line		63
63	63	483/2	4.0	2	2/2	1	0						64
64	64	491/2	4.0	2	2/2	1	0						65
65	65	499/2	4.0	2	2/2	1	0						66
66	66	507/2	4.0	2	2/2	1	0				line		67
67	67	515/2	4.0	2	2/2	1	0						68
68	68	523/2	4.0	2	2/2	1	0						69
69	69	531/2	4.0	2	2/2	1	0						70
70	70	539/2	2.5	2	2/2	5/8	0				line	end	22, -1
