mc	mn	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	0	0	4/4	3/16	13/16			1			firstMeasure	2
2	1	0	4/4	1	0							3
3	2	0	4/4	1	0							4
4	3	0	4/4	1	0							5
5	4	0	4/4	1	0							6
6	5	0	4/4	1	0							7
7	6	0	4/4	1	0							8
8	7	0	4/4	1	0							9
9	8	0	4/4	1	0							10
10	9	0	4/4	1	0							11
11	10	0	4/4	1	0							12
12	11	0	4/4	1	0							13
13	12	0	4/4	1	0				end-start-repeat			14
14	13	0	4/4	1	0							15
15	14	0	4/4	1	0							16
16	15	0	4/4	1	0							17
17	16	0	4/4	1	0							18
18	17	0	4/4	1	0							19
19	18	0	4/4	1	0							20
20	19	0	4/4	1	0							21
21	20	0	4/4	1	0							22
22	21	0	4/4	1	0							23
23	22	0	4/4	1	0							24
24	23	0	4/4	1	0							25
25	24	0	4/4	13/16	0						end	1, -1
