mc	mn	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	0	-3	3/2	1/8	11/8			1			firstMeasure	2
2	1	-3	3/2	3/2	0							3
3	2	-3	3/2	3/2	0							4
4	3	-3	3/2	3/2	0							5
5	4	-3	3/2	3/2	0							6
6	5	-3	3/2	3/2	0							7
7	6	-3	3/2	3/2	0							8
8	7	-3	3/2	3/2	0							9
9	8	-3	3/2	3/2	0							10
10	9	-3	3/2	3/2	0							11
11	10	-3	3/2	3/2	0							12
12	11	-3	3/2	3/2	0							13
13	12	-3	3/2	3/2	0				end-start-repeat			14
14	13	-3	3/2	3/2	0							15
15	14	-3	3/2	3/2	0							16
16	15	-3	3/2	3/2	0							17
17	16	-3	3/2	3/2	0							18
18	17	-3	3/2	3/2	0							19
19	18	-3	3/2	3/2	0							20
20	19	-3	3/2	3/2	0							21
21	20	-3	3/2	3/2	0							22
22	21	-3	3/2	3/2	0							23
23	22	-3	3/2	3/2	0							24
24	23	-3	3/2	3/2	0							25
25	24	-3	3/2	11/8	0						end	1, -1
