mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
1	0	0	0.5	-3	12/8	1/8	11/8		1			firstMeasure	2
2	1	1/2	6.0	-3	12/8	3/2	0						3
3	2	13/2	6.0	-3	12/8	3/2	0						4
4	3	25/2	6.0	-3	12/8	3/2	0						5
5	4	37/2	6.0	-3	12/8	3/2	0						6
6	5	49/2	6.0	-3	12/8	3/2	0						7
7	6	61/2	6.0	-3	12/8	3/2	0						8
8	7	73/2	6.0	-3	12/8	3/2	0						9
9	8	85/2	6.0	-3	12/8	3/2	0						10
10	9	97/2	6.0	-3	12/8	3/2	0						11
11	10	109/2	6.0	-3	12/8	3/2	0			end-start-repeat			12
12	11	121/2	6.0	-3	12/8	3/2	0						13
13	12	133/2	6.0	-3	12/8	3/2	0						14
14	13	145/2	6.0	-3	12/8	3/2	0						15
15	14	157/2	6.0	-3	12/8	3/2	0						16
16	15	169/2	6.0	-3	12/8	3/2	0						17
17	16	181/2	6.0	-3	12/8	3/2	0						18
18	17	193/2	6.0	-3	12/8	3/2	0						19
19	18	205/2	6.0	-3	12/8	3/2	0						20
20	19	217/2	6.0	-3	12/8	3/2	0						21
21	20	229/2	6.0	-3	12/8	3/2	0						22
22	21	241/2	6.0	-3	12/8	3/2	0						23
23	22	253/2	6.0	-3	12/8	3/2	0						24
24	23	265/2	6.0	-3	12/8	3/2	0						25
25	24	277/2	6.0	-3	12/8	3/2	0						26
26	25	289/2	6.0	-3	12/8	3/2	0						27
27	26	301/2	6.0	-3	12/8	3/2	0						28
28	27	313/2	6.0	-3	12/8	3/2	0						29
29	28	325/2	6.0	-3	12/8	3/2	0						30
30	29	337/2	6.0	-3	12/8	3/2	0						31
31	30	349/2	6.0	-3	12/8	3/2	0						32
32	31	361/2	6.0	-3	12/8	3/2	0						33
33	32	373/2	6.0	-3	12/8	3/2	0						34
34	33	385/2	6.0	-3	12/8	3/2	0						35
35	34	397/2	6.0	-3	12/8	3/2	0						36
36	35	409/2	6.0	-3	12/8	3/2	0						37
37	36	421/2	6.0	-3	12/8	3/2	0						38
38	37	433/2	6.0	-3	12/8	3/2	0						39
39	38	445/2	6.0	-3	12/8	3/2	0						40
40	39	457/2	6.0	-3	12/8	3/2	0						41
41	40	469/2	6.0	-3	12/8	3/2	0						42
42	41	481/2	6.0	-3	12/8	3/2	0						43
43	42	493/2	5.5	-3	12/8	11/8	0					end	1, -1
