mc	mn	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	-1	12/8	3/2	0						firstMeasure	2
2	2	-1	12/8	3/2	0					line		3
3	3	-1	12/8	3/2	0							4
4	4	-1	12/8	3/2	0					line		5
5	5	-1	12/8	3/2	0							6
6	6	-1	12/8	3/2	0					line		7
7	7	-1	12/8	3/2	0							8
8	8	-1	12/8	3/2	0					line		9
9	9	-1	12/8	3/2	0							10
10	10	-1	12/8	3/2	0					line		11
11	11	-1	12/8	3/2	0							12
12	12	-1	12/8	3/2	0					line		13
13	13	-1	12/8	3/2	0							14
14	14	-1	12/8	3/2	0					line		15
15	15	-1	12/8	3/2	0							16
16	16	-1	12/8	3/2	0					line		17
17	17	-1	12/8	3/2	0							18
18	18	-1	12/8	3/2	0					line		19
19	19	-1	12/8	3/2	0							20
20	20	-1	12/8	3/2	0				end	line	lastMeasure	-1
