mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	volta	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	1/16	1/16	4/4	1	1	a.i{			a	i		i	i						{	m	1	1	3, 0, 4		3	3	3	16	0.15789473684210525	0.1875	1.0	0.15789473684210525
2	2	1/4	1/4	4/4	1	1	#viio7			a	i		#viio7	#vii	o	7					o7	1	1	8, 5, 2, -1		8	8	1	3	0.25	0.0625	0.1875	0.25
2	2	1/2	1/2	4/4	1	1	i6			a	i		i6	i		6					m	1	1	0, 4, 3		3	0	1	3	0.25	0.0625	0.1875	0.25
2	2	3/4	3/4	4/4	1	1	V7			a	i		V7	V		7					Mm7	1	1	4, 8, 5, 2		4	4	1	3	0.25	0.0625	0.1875	0.25
3	3	0	0	4/4	1	1	i			a	i		i	i							m	1	1	3, 0, 4		3	3	1	3	0.25	0.0625	0.1875	0.25
3	3	1/4	1/4	4/4	1	1	#viio7			a	i		#viio7	#vii	o	7					o7	1	1	8, 5, 2, -1		8	8	1	3	0.25	0.0625	0.1875	0.25
3	3	1/2	1/2	4/4	1	1	i6			a	i		i6	i		6					m	1	1	0, 4, 3		3	0	1	3	0.25	0.0625	0.1875	0.25
3	3	3/4	3/4	4/4	1	1	V7			a	i		V7	V		7					Mm7	1	1	4, 8, 5, 2		4	4	1	3	0.25	0.0625	0.1875	0.25
4	4	0	0	4/4	1	1	i			a	i		i	i							m	1	1	3, 0, 4		3	3	1	3	0.25	0.0625	0.1875	0.25
4	4	1/4	1/4	4/4	1	1	iv6			a	i		iv6	iv		6					m	1	1	-1, 3, 2		2	-1	1	3	0.25	0.0625	0.1875	0.25
4	4	1/2	1/2	4/4	1	1	i64			a	i		i64	i		64					m	1	1	4, 3, 0		3	4	1	3	0.25	0.0625	0.1875	0.25
4	4	3/4	3/4	4/4	1	1	iv7			a	i		iv7	iv		7					mm7	1	1	2, -1, 3, 0		2	2	1	3	0.25	0.0625	0.1875	0.25
5	5	0	0	4/4	1	1	V7			a	i		V7	V		7					Mm7	1	1	4, 8, 5, 2		4	4	0	8	0.0	0.0	0.5	0.0
5	5	1/2	1/2	4/4	1	1	#viio65			a	i		#viio65	#vii	o	65					o7	1	1	5, 2, -1, 8		8	5	2	6	0.25	0.125	0.375	0.25
6	6	0	0	4/4	1	1	i			a	i		i	i							m	1	1	3, 0, 4		3	3	1	7	0.125	0.0625	0.4375	0.125
6	6	1/2	1/2	4/4	1	1	V43/VI			a	i		V43/VI	V		43		VI			Mm7	1	1	1, -2, 0, 4		0	1	1	7	0.125	0.0625	0.4375	0.125
7	7	0	0	4/4	1	1	VI			a	i		VI	VI							M	1	1	-1, 3, 0		-1	-1	0	4	0.0	0.0	0.25	0.0
