mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	volta	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	3/4	1	1	C.I{			C	I		I	I						{	M	0	0	0, 4, 1		0	0	2	10	0.16666666666666666	0.125	1.25	0.09090909090909091
2	2	0	0	3/4	1	1	V6			C	I		V6	V		6					M	0	0	5, 2, 1		1	5	0	3	0.0	0.0	0.25	0.0
2	2	1/8	1/8	3/4	1	1	viio			C	I		viio	vii	o						o	0	0	5, 2, -1		5	5	0	4	0.0	0.0	0.5	0.0
2	2	3/8	3/8	3/4	1	1	V6(2)			C	I		V6(2)	V		6	2				M	0	0	5, 2, 3		1	5	0	2	0.0	0.0	0.25	0.0
2	2	1/2	1/2	3/4	1	1	V6			C	I		V6	V		6					M	0	0	5, 2, 1		1	5	2	4	0.3333333333333333	0.125	0.375	0.25
3	3	0	0	3/4	1	1	I			C	I		I	I							M	0	0	0, 4, 1		0	0	2	4	0.3333333333333333	0.125	0.375	0.25
3	3	1/4	1/4	3/4	1	1	ii7/V			C	I		ii7/V	ii		7		V			mm7	0	0	3, 0, 4, 1		3	3	0	7	0.0	0.0	0.625	0.0
3	3	1/2	1/2	3/4	1	1	V7/V			C	I		V7/V	V		7		V			Mm7	0	0	2, 6, 3, 0		2	2	1	5	0.16666666666666666	0.0625	0.4375	0.125
4	4	0	0	3/4	1	1	V			C	I		V	V							M	0	0	1, 5, 2		1	1	4	12	0.25	0.25	1.25	0.16666666666666666
5	5	0	0	3/4	1	1	ii6(4)			C	I		ii6(4)	ii		6	4				m	0	0	1, 3, 2		2	1	0	3	0.0	0.0	0.5	0.0
5	5	1/4	1/4	3/4	1	1	ii6			C	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1	3	7	0.3	0.1875	0.6875	0.21428571428571427
6	6	0	0	3/4	1	1	viio64			C	I		viio64	vii	o	64					o	0	0	-1, 5, 2		5	-1	1	5	0.16666666666666666	0.0625	0.4375	0.125
6	6	1/4	1/4	3/4	1	1	I6(2)			C	I		I6(2)	I		6	2				M	0	0	4, 1, 2		0	4	0	4	0.0	0.0	0.375	0.0
6	6	3/8	3/8	3/4	1	1	I6			C	I		I6	I		6					M	0	0	4, 1, 0		0	4	1	2	0.3333333333333333	0.0625	0.1875	0.25
6	6	1/2	1/2	3/4	1	1	vi			C	I		vi	vi							m	0	0	3, 0, 4		3	3	1	5	0.16666666666666666	0.0625	0.4375	0.125
7	7	0	0	3/4	1	1	ii7			C	I		ii7	ii		7					mm7	0	0	2, -1, 3, 0		2	2	0	7	0.0	0.0	0.625	0.0
7	7	1/4	1/4	3/4	1	1	V			C	I		V	V							M	0	0	1, 5, 2		1	1	2	4	0.3333333333333333	0.125	0.375	0.25
7	7	1/2	1/2	3/4	1	1	V7			C	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1	1	9	0.1	0.0625	0.9375	0.0625
