mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	0	0	3/4	2/2	1	1	c.i{		c	i		i	i						{	m	1	1	0, -3, 1		0.0	0.0	3	4	0.42857142857142855	0.5	0.75	0.4
3	2	0	0	2/2	1	1	V		c	i		V	V							M	1	1	1, 5, 2		1.0	1.0	4	4	0.5	0.5	0.5	0.5
4	3	0	0	2/2	1	1	i6		c	i		i6	i		6					m	1	1	-3, 1, 0		0.0	-3.0	1	3	0.25	0.125	0.375	0.25
4	3	1/2	1/2	2/2	1	1	#viio6		c	i		#viio6	#vii	o	6					o	1	1	2, -1, 5		5.0	2.0	1	3	0.25	0.125	0.375	0.25
5	4	0	0	2/2	1	1	i|PAC}		c	i		i	i					PAC	}	m	1	1	0, -3, 1		0.0	0.0	4	4	0.5	0.5	0.5	0.5
6	5	0	0	2/2	1	1	III.I{		c	III		I	I						{	M	1	0	-3, 1, -2		-3.0	-3.0	2	3	0.4	0.375	0.625	0.375
7	6	0	0	2/2	1	1	V6		c	III		V6	V		6					M	1	0	2, -1, -2		-2.0	2.0	4	4	0.5	0.5	0.5	0.5
8	7	0	0	2/2	1	1	I|PAC}		c	III		I	I					PAC	}	M	1	0	-3, 1, -2		-3.0	-3.0	5	5	0.5	0.625	1.375	0.3125
10	9	0	0	2/2	1	1	I6		c	III		I6	I		6					M	1	0	1, -2, -3		-3.0	1.0	1	3	0.25	0.125	0.625	0.16666666666666666
10	9	3/4	3/4	2/2	1	1	viio/V		c	III		viio/V	vii	o			V			o	1	0	3, 0, -3		3.0	3.0	0	1	0.0	0.0	0.25	0.0
11	10	0	0	2/2	1	1	V		c	III		V	V							M	1	0	-2, 2, -1		-2.0	-2.0	3	5	0.375	0.375	0.625	0.375
12	11	0	0	2/2	1	1	v.i		c	v		i	i							m	1	1	1, -2, 2		1.0	1.0	3	5	0.375	0.375	0.625	0.375
13	12	0	0	2/2	1	1	V|HC}		c	v		V	V					HC	}	M	1	1	2, 6, 3		2.0	2.0	2	5	0.2857142857142857	0.25	1.0	0.2
14	13	1/4	1/4	2/2	1	1	iv6		c	v		iv6	iv		6					m	1	1	-3, 1, 0		0.0	-3.0	1	3	0.25	0.125	0.625	0.16666666666666666
15	14	0	0	2/2	1	1	iv		c	v		iv	iv							m	1	1	0, -3, 1		0.0	0.0	2	3	0.4	0.25	0.5	0.3333333333333333
15	14	3/4	3/4	2/2	1	1	V		c	v		V	V							M	1	1	2, 6, 3		2.0	2.0	0	1	0.0	0.0	0.25	0.0
16	15	0	0	2/2	1	1	i		c	v		i	i							m	1	1	1, -2, 2		1.0	1.0	2	2	0.5	0.25	0.25	0.5
16	15	1/2	1/2	2/2	1	1	V6		c	v		V6	V		6					M	1	1	6, 3, 2		2.0	6.0	2	2	0.5	0.25	0.25	0.5
17	16	0	0	2/2	1	1	i|PAC}		c	v		i	i					PAC	}	m	1	1	1, -2, 2		1.0	1.0	0	3	0.0	0.0	0.75	0.0
17	16	3/4	3/4	2/2	1	1	i.#viio6/iv{		c	i		#viio6/iv	#vii	o	6		iv		{	o	1	1	1, -2, 4		4.0	1.0	2	3	0.4	0.25	0.5	0.3333333333333333
18	17	1/2	1/2	2/2	1	1	#viio/iv		c	i		#viio/iv	#vii	o			iv			o	1	1	4, 1, -2		4.0	4.0	2	2	0.5	0.25	0.25	0.5
19	18	0	0	2/2	1	1	iv		c	i		iv	iv							m	1	1	-1, -4, 0		-1.0	-1.0	2	2	0.5	0.25	0.25	0.5
19	18	1/2	1/2	2/2	1	1	#viio6		c	i		#viio6	#vii	o	6					o	1	1	2, -1, 5		5.0	2.0	0	1	0.0	0.0	0.5	0.0
20	19	0	0	2/2	1	1	V6		c	i		V6	V		6					M	1	1	5, 2, 1		1.0	5.0	1	3	0.25	0.125	0.375	0.25
20	19	1/2	1/2	2/2	1	1	i		c	i		i	i							m	1	1	0, -3, 1		0.0	0.0	1	3	0.25	0.125	0.375	0.25
21	20	0	0	2/2	1	1	V		c	i		V	V							M	1	1	1, 5, 2		1.0	1.0	4	4	0.5	0.5	0.5	0.5
22	21	0	0	2/2	1	1	i6		c	i		i6	i		6					m	1	1	-3, 1, 0		0.0	-3.0	1	1	0.5	0.125	0.125	0.5
22	21	1/4	1/4	2/2	1	1	iv	iio6	c	i		iv	iv							m	1	1	-1, -4, 0		-1.0	-1.0	1	1	0.5	0.125	0.125	0.5
22	21	1/2	1/2	2/2	1	1	V		c	i		V	V							M	1	1	1, 5, 2		1.0	1.0	1	1	0.5	0.125	0.125	0.5
22	21	3/4	3/4	2/2	1	1	VI	iv6	c	i		VI	VI							M	1	1	-4, 0, -3		-4.0	-4.0	1	1	0.5	0.125	0.125	0.5
23	22	0	0	2/2	1	1	V7		c	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1.0	1.0	3	5	0.375	0.375	0.625	0.375
24	23	0	0	2/2	1	1	i		c	i		i	i							m	1	1	0, -3, 1		0.0	0.0	2	2	0.5	0.25	0.25	0.5
24	23	1/2	1/2	2/2	1	1	V6		c	i		V6	V		6					M	1	1	5, 2, 1		1.0	5.0	2	2	0.5	0.25	0.25	0.5
25	24	0	0	2/2	1	1	i|PAC}		c	i		i	i					PAC	}	m	1	1	0, -3, 1		0.0	0.0	0	2	0.0	0.0	1.5	0.0
