mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	minDistance	offset	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	1/8	1/8	2/4	1	1	.a.V{						a	i		V	V						{	M	1	1	4, 8, 5		4	4	1	3	0.25	0.0625	0.3125	0.16666666666666666
2	2	0	0	2/4	1	1	i						a	i		i	i							m	1	1	3, 0, 4		3	3	0	2	0.0	0.0	0.25	0.0
2	2	1/4	1/4	2/4	1	1	#viio6						a	i		#viio6	#vii	o	6					o	1	1	5, 2, 8		8	5	0	2	0.0	0.0	0.25	0.0
3	3	0	0	2/4	1	1	i						a	i		i	i							m	1	1	3, 0, 4		3	3	1	4	0.2	0.0625	0.4375	0.125
4	4	0	0	2/4	1	1	v						a	i		v	v							m	1	1	4, 1, 5		4	4	0	3	0.0	0.0	0.375	0.0
4	4	1/4	1/4	2/4	1	1	viio6(2)/V						a	i		viio6(2)/V	vii	o	6	2	V			o	1	1	6, 3, 4		9	6	0	2	0.0	0.0	0.25	0.0
4	4	3/8	3/8	2/4	1	1	viio6/V						a	i		viio6/V	vii	o	6		V			o	1	1	6, 3, 9		9	6	0	2	0.0	0.0	0.25	0.0
5	5	0	0	2/4	1	1	V6						a	i		V6	V		6					M	1	1	8, 5, 4		4	8	1	3	0.25	0.0625	0.4375	0.125
5	5	1/4	1/4	2/4	1	1	v6						a	i		v6	v		6					m	1	1	1, 5, 4		4	1	1	2	0.3333333333333333	0.125	0.375	0.25
6	6	0	0	2/4	1	1	IV6						a	i		IV6	IV		6					M	1	1	6, 3, 2		2	6	1	3	0.25	0.0625	0.4375	0.125
6	6	1/4	1/4	2/4	1	1	iv6						a	i		iv6	iv		6					m	1	1	-1, 3, 2		2	-1	1	2	0.3333333333333333	0.125	0.375	0.25
7	7	0	0	2/4	1	1	V						a	i		V	V							M	1	1	4, 8, 5		4	4	1	2	0.3333333333333333	0.0625	0.3125	0.16666666666666666
7	7	1/4	1/4	2/4	1	1	i	0	-6.5		/		a	i		i	i							m	1	1	3, 0, 4		3	3	0	1	0.0	0.0	0.125	0.0
7	7	3/8	3/8	2/4	1	1	iio/v	0	-6.5		/	#viio6/v	a	i		iio/v	ii	o			v			o	1	1	6, 3, 0		6	6	0	2	0.0	0.0	0.25	0.0
8	8	0	0	2/4	1	1	v6	0	-3.83313	-5.18274	/		a	i		v6	v		6					m	1	1	1, 5, 4		4	1	0	4	0.0	0.0	0.75	0.0
8	8	1/4	1/4	2/4	1	1	V65/v						a	i		V65/v	V		65		v			Mm7	1	1	9, 6, 3, 5		5	9	0	4	0.0	0.0	0.75	0.0
9	9	0	0	2/4	1	1	v						a	i		v	v							m	1	1	4, 1, 5		4	4	1	8	0.1111111111111111	0.0625	1.1875	0.05
10	10	0	0	2/4	1	1	V7/iv						a	i		V7/iv	V		7		iv			Mm7	1	1	3, 7, 4, 1		3	3	0	9	0.0	0.0	1.25	0.0
11	11	0	0	2/4	1	1	iv						a	i		iv	iv							m	1	1	2, -1, 3		2	2	1	8	0.1111111111111111	0.0625	1.1875	0.05
12	12	0	0	2/4	1	1	V7/III						a	i		V7/III	V		7		III			Mm7	1	1	1, 5, 2, -1		1	1	0	8	0.0	0.0	1.125	0.0
13	13	0	0	2/4	1	1	III						a	i		III	III							M	1	1	0, 4, 1		0	0	4	7	0.36363636363636365	0.25	0.4375	0.36363636363636365
14	14	0	0	2/4	1	1	V2/VII						a	i		V2/VII	V		2		VII			Mm7	1	1	0, 2, 6, 3		2	0	0	7	0.0	0.0	0.75	0.0
15	15	0	0	2/4	1	1	#viio6						a	i		#viio6	#vii	o	6					o	1	1	5, 2, 8		8	5	2	4	0.3333333333333333	0.125	0.375	0.25
15	15	3/8	3/8	2/4	1	1	VI6					iv64	a	i		VI6	VI		6					M	1	1	3, 0, -1		-1	3	0	2	0.0	0.0	0.25	0.0
