mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	minDistance	offset	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	3/8	1	1	.g.i{						g	i		i	i						{	m	1	1	1, -2, 2		1	1	2	28	0.06666666666666667	0.125	1.75	0.06666666666666667
6	6	0	0	3/8	1	1	V						g	i		V	V							M	1	1	2, 6, 3		2	2	0	6	0.0	0.0	0.375	0.0
7	7	0	0	3/8	1	1	#viio65						g	i		#viio65	#vii	o	65					o7	1	1	3, 0, -3, 6		6	3	2	4	0.3333333333333333	0.125	0.25	0.3333333333333333
8	8	0	0	3/8	1	1	i						g	i		i	i							m	1	1	1, -2, 2		1	1	0	8	0.0	0.0	0.5	0.0
9	9	1/8	1/8	3/8	1	1	iv7						g	i		iv7	iv		7					mm7	1	1	0, -3, 1, -2		0	0	0	4	0.0	0.0	0.25	0.0
10	10	0	0	3/8	1	1	VII						g	i		VII	VII							M	1	1	-1, 3, 0		-1	-1	0	2	0.0	0.0	0.125	0.0
10	10	1/8	1/8	3/8	1	1	IIIM7						g	i		IIIM7	III	M	7					MM7	1	1	-2, 2, -1, 3		-2	-2	0	4	0.0	0.0	0.25	0.0
11	11	0	0	3/8	1	1	VI						g	i		VI	VI							M	1	1	-3, 1, -2		-3	-3	0	2	0.0	0.0	0.125	0.0
11	11	1/8	1/8	3/8	1	1	ii%7						g	i		ii%7	ii	%	7					%7	1	1	3, 0, -3, 1		3	3	0	4	0.0	0.0	0.25	0.0
12	12	0	0	3/8	1	1	V(4)						g	i		V(4)	V			4				M	1	1	2, 1, 3		2	2	0	2	0.0	0.0	0.125	0.0
12	12	1/8	1/8	3/8	1	1	V						g	i		V	V							M	1	1	2, 6, 3		2	2	1	1	0.5	0.0625	0.0625	0.5
12	12	1/4	1/4	3/8	1	1	V7						g	i		V7	V		7					Mm7	1	1	2, 6, 3, 0		2	2	0	2	0.0	0.0	0.125	0.0
13	13	0	0	3/8	1	1	i(4)						g	i		i(4)	i			4				m	1	1	1, 0, 2		1	1	0	2	0.0	0.0	0.125	0.0
13	13	1/8	1/8	3/8	1	1	i						g	i		i	i							m	1	1	1, -2, 2		1	1	1	1	0.5	0.0625	0.0625	0.5
13	13	1/4	1/4	3/8	1	1	v6						g	i		v6	v		6					m	1	1	-1, 3, 2		2	-1	0	2	0.0	0.0	0.125	0.0
14	14	0	0	3/8	1	1	IV(4)						g	i		IV(4)	IV			4				M	1	1	0, -1, 1		0	0	0	2	0.0	0.0	0.125	0.0
