mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	volta	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	9/8	1	1	b.i{		b	i		i	i						{	m	1	1	5, 2, 6		5	5	0	3	0.0	0.0	0.375	0.0
1	1	3/8	3/8	9/8	1	1	viio(2)/III		b	i		viio(2)/III	vii	o		2	III			o	1	1	2, 4, 1		7	2	0	3	0.0	0.0	0.375	0.0
1	1	3/4	3/4	9/8	1	1	V65/III		b	i		V65/III	V		65		III			Mm7	1	1	7, 4, 1, 3		3	7	0	3	0.0	0.0	0.375	0.0
2	2	0	0	9/8	1	1	III		b	i		III	III							M	1	1	2, 6, 3		2	2	2	7	0.2222222222222222	0.25	0.875	0.2222222222222222
3	3	0	0	9/8	1	1	iv		b	i		iv	iv							m	1	1	4, 1, 5		4	4	2	4	0.3333333333333333	0.25	0.5	0.3333333333333333
3	3	3/4	3/4	9/8	1	1	V65/V		b	i		V65/V	V		65		V			Mm7	1	1	11, 8, 5, 7		7	11	0	3	0.0	0.0	0.375	0.0
4	4	0	0	9/8	1	1	V}		b	i		V	V						}	M	1	1	6, 10, 7		6	6	3	6	0.3333333333333333	0.375	0.75	0.3333333333333333
5	5	0	0	9/8	1	1	i6{		b	i		i6	i		6				{	m	1	1	2, 6, 5		5	2	0	3	0.0	0.0	0.375	0.0
5	5	3/8	3/8	9/8	1	1	VII6		b	i		VII6	VII		6					M	1	1	7, 4, 3		3	7	1	2	0.3333333333333333	0.125	0.25	0.3333333333333333
5	5	3/4	3/4	9/8	1	1	VI6		b	i		VI6	VI		6					M	1	1	5, 2, 1		1	5	1	2	0.3333333333333333	0.125	0.25	0.3333333333333333
6	6	0	0	9/8	1	1	V7/III		b	i		V7/III	V		7		III			Mm7	1	1	3, 7, 4, 1		3	3	0	6	0.0	0.0	0.75	0.0
6	6	3/4	3/4	9/8	1	1	V65		b	i		V65	V		65					Mm7	1	1	10, 7, 4, 6		6	10	0	3	0.0	0.0	0.375	0.0
7	7	0	0	9/8	1	1	i		b	i		i	i							m	1	1	5, 2, 6		5	5	1	2	0.3333333333333333	0.125	0.25	0.3333333333333333
7	7	3/8	3/8	9/8	1	1	iv6		b	i		iv6	iv		6					m	1	1	1, 5, 4		4	1	3	3	0.5	0.375	0.375	0.5
8	8	0	0	9/8	1	1	V}	1	b	i		V	V						}	M	1	1	6, 10, 7		6	6	3	6	0.3333333333333333	0.375	0.75	0.3333333333333333
9	8	0	0	9/8	1	1	V}	2	b	i		V	V						}	M	1	1	6, 10, 7		6	6	2	11	0.15384615384615385	0.25	2.0	0.1111111111111111
11	10	0	0	9/8	1	1	i6		b	i		i6	i		6					m	1	1	2, 6, 5		5	2	2	7	0.2222222222222222	0.25	0.875	0.2222222222222222
12	11	0	0	9/8	1	1	V65/VII		b	i		V65/VII	V		65		VII			Mm7	1	1	8, 5, 2, 4		4	8	0	3	0.0	0.0	0.375	0.0
12	11	3/8	3/8	9/8	1	1	vi6/VII		b	i		vi6/VII	vi		6		VII			m	1	1	3, 7, 6		6	3	0	3	0.0	0.0	0.375	0.0
12	11	3/4	3/4	9/8	1	1	viio6/VII		b	i		viio6/VII	vii	o	6		VII			o	1	1	5, 2, 8		8	5	0	3	0.0	0.0	0.375	0.0
