mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
33	32	0	0	2/2	1	1	iv6(2)				c	i		iv6(2)	iv		6	2				m	1	1	-4, 0, 1		-1	-4	0	2	0.0	0.0	0.25	0.0
33	32	1/4	1/4	2/2	1	1	iv				c	i		iv	iv							m	1	1	-1, -4, 0		-1	-1	0	2	0.0	0.0	0.25	0.0
33	32	1/2	1/2	2/2	1	1	i6				c	i		i6	i		6					m	1	1	-3, 1, 0		0	-3	1	2	0.3333333333333333	0.0625	0.25	0.2
33	32	13/16	13/16	2/2	1	1	#viio/ii				c	i		#viio/ii	#vii	o			ii			o	1	1	7, 4, 1		7	7	0	1	0.0	0.0	0.0625	0.0
33	32	7/8	7/8	2/2	1	1	ii				c	i		ii	ii							m	1	1	2, -1, 3		2	2	0	1	0.0	0.0	0.125	0.0
34	33	0	0	2/2	1	1	V7(#4)				c	i		V7(#4)	V		7	#4				Mm7	1	1	1, 5, 7, -1		1	1	1	5	0.16666666666666666	0.0625	0.6875	0.08333333333333333
34	33	3/8	3/8	2/2	1	1	V7	-0.22662	5.42627	/	c	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1	4	6	0.4	0.25	0.375	0.4
35	34	0	0	2/2	1	1	VI				c	i		VI	VI							M	1	1	-4, 0, -3		-4	-4	1	1	0.5	0.0625	0.1875	0.25
35	34	1/4	1/4	2/2	1	1	V				c	i		V	V							M	1	1	1, 5, 2		1	1	2	3	0.4	0.125	0.5	0.2
35	34	7/8	7/8	2/2	1	1	viio6/V				c	i		viio6/V	vii	o	6		V			o	1	1	3, 0, 6		6	3	0	2	0.0	0.0	0.25	0.0
36	35	0	0	2/2	1	1	V				c	i		V	V							M	1	1	1, 5, 2		1	1	4	3	0.5714285714285714	0.25	0.4375	0.36363636363636365
36	35	1/2	1/2	2/2	1	1	#viio6				c	i		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2	1	2	0.3333333333333333	0.375	0.625	0.375
37	36	0	0	2/2	1	1	i|PAC}				c	i		i	i					PAC	}	m	1	1	0, -3, 1		0	0	3	5	0.375	0.625	1.375	0.3125
