mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	volta	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	3/4	1	1	.b.i{			b	i		i	i						{	m	1	1	5, 2, 6		5	5	0	4	0.0	0.0	1.0	0.0
1	1	1/4	1/4	3/4	1	1	viio6(2)/III			b	i		viio6(2)/III	vii	o	6	2	III			o	1	1	4, 1, 2		7	4	0	3	0.0	0.0	0.75	0.0
1	1	1/2	1/2	3/4	1	1	V/III			b	i		V/III	V				III			M	1	1	3, 7, 4		3	3	1	3	0.25	0.125	0.625	0.16666666666666666
2	2	0	0	3/4	1	1	III			b	i		III	III							M	1	1	2, 6, 3		2	2	2	4	0.3333333333333333	0.25	1.25	0.16666666666666666
3	3	0	0	3/4	1	1	iv6			b	i		iv6	iv		6					m	1	1	1, 5, 4		4	1	0	3	0.0	0.0	0.5	0.0
3	3	1/4	1/4	3/4	1	1	iio6			b	i		iio6	ii	o	6					o	1	1	4, 1, 7		7	4	1	2	0.3333333333333333	0.125	0.375	0.25
3	3	1/2	1/2	3/4	1	1	viio7/V			b	i		viio7/V	vii	o	7		V			o7	1	1	11, 8, 5, 2		11	11	0	3	0.0	0.0	0.5	0.0
4	4	0	0	3/4	1	1	V}			b	i		V	V						}	M	1	1	6, 10, 7		6	6	2	3	0.4	0.25	0.875	0.2222222222222222
5	5	0	0	3/4	1	1	i6{			b	i		i6	i		6				{	m	1	1	2, 6, 5		5	2	0	3	0.0	0.0	0.75	0.0
5	5	1/4	1/4	3/4	1	1	VII6			b	i		VII6	VII		6					M	1	1	7, 4, 3		3	7	0	3	0.0	0.0	0.75	0.0
5	5	1/2	1/2	3/4	1	1	VI6			b	i		VI6	VI		6					M	1	1	5, 2, 1		1	5	1	3	0.25	0.0625	0.4375	0.125
6	6	0	0	3/4	1	1	V7/III			b	i		V7/III	V		7		III			Mm7	1	1	3, 7, 4, 1		3	3	1	3	0.25	0.125	1.375	0.08333333333333333
6	6	1/2	1/2	3/4	1	1	V65			b	i		V65	V		65					Mm7	1	1	10, 7, 4, 6		6	10	0	3	0.0	0.0	0.75	0.0
7	7	0	0	3/4	1	1	i			b	i		i	i							m	1	1	5, 2, 6		5	5	1	3	0.25	0.125	0.625	0.16666666666666666
7	7	1/4	1/4	3/4	1	1	iv6			b	i		iv6	iv		6					m	1	1	1, 5, 4		4	1	2	3	0.4	0.25	0.75	0.25
8	8	0	0	3/4	1	1	V}	1		b	i		V	V						}	M	1	1	6, 10, 7		6	6	2	4	0.3333333333333333	0.25	1.25	0.16666666666666666
9	8	0	0	3/4	1	1	V}	2		b	i		V	V						}	M	1	1	6, 10, 7		6	6	0	6	0.0	0.0	3.0	0.0
10	9	1/4	1/4	3/4	1	1	#viio64			b	i		#viio64	#vii	o	64					o	1	1	4, 10, 7		10	4	0	3	0.0	0.0	0.75	0.0
10	9	1/2	1/2	3/4	1	1	V			b	i		V	V							M	1	1	6, 10, 7		6	6	0	3	0.0	0.0	0.75	0.0
11	10	0	0	3/4	1	1	i6			b	i		i6	i		6					m	1	1	2, 6, 5		5	2	2	5	0.2857142857142857	0.25	0.625	0.2857142857142857
12	11	0	0	3/4	1	1	V2/VII			b	i		V2/VII	V		2		VII			Mm7	1	1	2, 4, 8, 5		4	2	0	4	0.0	0.0	1.0	0.0
12	11	1/4	1/4	3/4	1	1	vi64/VII			b	i		vi64/VII	vi		64		VII			m	1	1	7, 6, 3		6	7	0	4	0.0	0.0	1.0	0.0
12	11	1/2	1/2	3/4	1	1	V43/VII			b	i		V43/VII	V		43		VII			Mm7	1	1	5, 2, 4, 8		4	5	0	4	0.0	0.0	1.0	0.0
